author,updated_at,like_count,text,public
@Ronobuildstech,2022-04-27T22:57:38Z,0,cooool,True
@headoverbars8750,2020-08-26T03:15:08Z,0,"As an Android developer and automotive software engineer I am just getting into robotics. I love the idea of using Raspberry Pi, Python, possibly some machine learning. I am looking forward to this, however will it be long before they have some in stock? Seems they are all sold out:(",True
@nabil.hamawi,2020-05-22T13:47:37Z,0,LMFAO the end,True
@andreagotovac7953,2020-03-30T20:21:37Z,0,thank you for this lesson! :),True
@FILMSync,2019-07-03T02:37:29Z,0,@1:30 changed my mind to even built one..,True
@milosvojvodic6263,2019-05-01T13:30:20Z,0,Is this compatible with The Raspberry Pi 3 Model B+?   love your videos by the way!,True
@invisibleimpostor299,2019-04-30T05:58:19Z,0,I'm gunna build it with Arduino,True
@pradhummyadav5276,2019-01-28T01:57:24Z,0,Pradhumm maphiyq,True
@kaiwang2924,2018-10-22T02:16:54Z,0,Are you... still alive?,True
@timothyhoftediaz2850,2018-09-04T17:36:42Z,0,wouldn't you be able to make something like this but from scratch without buying all those expensive parts  ? It would be cool if that would be possible,True
@kavishkartha5450,2018-05-07T04:11:22Z,0,You might be able to become an actor; 1:21,True
@raserapps8230,2018-03-01T13:41:32Z,0,Great intro - really looking forward to this set of lessons :),True
@bbssssssssssssssssss,2018-02-28T18:51:02Z,0,"Damn,you are savage! :)",True
@johnstreety642,2018-02-06T01:55:08Z,1,"have you ever thought of using deep learning to teach the GoPiGo to be a self driving car? I am taking a class with superdatascience in which they use a model of a car with sensors in the front, similar to the GoPiGo. It seemed like a cool idea. I was hoping to peak your interest",True
@juandediosponce4834,2018-01-04T06:26:04Z,0,I love this guy,True
@madleed4727,2017-12-07T15:32:37Z,3,Is he dead?,True
@yavuzkuru6720,2017-10-16T18:59:53Z,0,you are funny man. I like your videos.,True
@onercelepcikay2526,2017-07-10T16:11:42Z,18,"Great videos. I gave my 13 year-old son this as a project and if he completes it he will get a PlayStation 4. He is new to Python but very familiar with computers and did a little coding. Do you think this is do-able by a 13-year old? Any pointers, any specific order of videos we should follow?",True
@panda192012,2017-07-01T14:40:15Z,0,You guys are heroes! Keep up the good work!,True
@ultimatemayu8017,2017-06-09T02:18:19Z,1,"I knew it, you started a war when you roughly said to that robot ""settle down"".The end of humanity is visible on the horizon.",True
@abhishekchoudhary-kb5ut,2017-04-12T14:44:40Z,0,Does GoPiGO work with Rasberry pi 3?,True
@alaaeddinehamdi2802,2017-02-10T20:25:53Z,0,I just started with raspberry pi 2 and i find some difficulty to connect it to my computer with ethernet.. help!!,True
@princeibrahim1,2016-10-23T19:21:02Z,0,How can I use analog sensors with raspberry pi without GoPiGo ?,True
@jordan5253,2016-10-04T14:34:09Z,18,"0:12 LOLOLOLOL ""settle down""",True
@yogeshkumar-jr3yu,2016-10-02T15:35:50Z,0,I am new to python programming. I have got all the things needed and assembled them already. Can you give the code of the project? help me please!!?,True
@metingorpuz,2016-01-16T19:17:42Z,0,Bunu yapmak istiyorum. Bunun için gereken malzemelerin listesini paylaşır mısınız? ve yapabilirim. Yardımcı olur musunuz?,True
@metingorpuz,2016-01-16T19:17:28Z,0,I want to do this. Can you share a list of the ingredients you need for this? and I do . Can you help ?,True
@ajaykota4951,2015-12-06T11:23:21Z,0,can we install opencv (python) and drive the RPi Camera live streaming with less delay.,True
@lamjohnny2009,2015-11-22T16:02:53Z,1,Amazing! =],True
@anselm94,2015-10-25T09:28:23Z,0,haha! a nice intro!,True
@MsKillerbrain,2015-08-23T03:16:53Z,0,awesome!,True
@laissez-faire496,2015-08-22T17:42:28Z,6,No way this is way to good to one true!!!! can I build something using a 3d printer then program it with this python,True
@Bixo.,2015-08-22T16:44:47Z,0,"this is very good , I liked.",True
