author,updated_at,like_count,text,public
@Shubhankar.Banerjee,2021-04-10T02:11:29Z,0,Please share the playlist name and link in description,True
@mByyurt,2020-12-13T21:34:15Z,1,My first encounter with your videos was at around 2016. I did not like you back then because I thought you were explaining in such complicated manner for absolute beginners such as me. Now I watch your video and enjoy and understand it thoroughly.,True
@yousefnashwan3366,2020-08-11T12:44:32Z,0,Amazing vid,True
@sebastiansosa3072,2020-08-03T16:45:22Z,2,"""...and all other buzzwords tutorial"" lol",True
@GodsLittlegizmoguy96,2020-06-18T18:53:50Z,0,"I'm sorry, I'm not understanding your choice for output. It looks like if the action = 1, you set the output = [0,1], and if action = 0, you set output = [1,0]. Why is that? Also, can you give more explanation for what y actually is? e.g. what is the y labeled data that we are suppsed to be using as feedback to the current state/action pairs trajectory.",True
@arijitdas7526,2020-03-28T06:10:32Z,0,Why idle. You can use vscode.,True
@MSFTSTRIO,2019-12-18T03:00:00Z,0,The intro to this video😂😂😂 and all other buzz words tutorial,True
@cemlynwaters5457,2019-04-20T16:53:44Z,0,"How are the view numbers so low! You are an awesome teacher, thank you so much",True
@arihantparsoya,2019-04-03T16:17:52Z,0,Thank you!,True
@Celiojsf,2019-02-15T10:41:12Z,1,"im not understanding how you can train your model to ""learn"" with this training data you built, because all that you are storing is just a relation of a previous obs and the random action taken, i observed that all actions in the data will be just actions that resulted in a game score of 50 or more but..., isnt better to use the reward of the action on the prev obs, and do some reinforcement learning with that?",True
@aquater1120,2019-01-13T18:17:13Z,0,"I know this video i kinda old, but could somebody please explain to my why exactly we are setting output to be a vector and not a scalar in initial_population function? I dont get it, why does that mean exactly? If there were multiple possible outputs and not just two would we set output to be a vector where on the 0th possition is out desirable action and rest of the vector is just other possible actions in random order?",True
@greenballscience9514,2018-11-28T16:36:53Z,2,Subs 559K Views 44K Comments 42,True
@gokufujison,2018-11-22T16:54:24Z,0,"Hey does this code work for ""CartPole-v0"" too? I get -1 for all scores in that environement.",True
@thegamevids639,2018-10-19T01:01:56Z,2,"""And all other buzzwords"" LOL",True
@vaporware7572,2018-08-18T09:32:52Z,2,"I keep getting this error saying:   Traceback (most recent call last):   File ""C:\Users\Josh\Desktop\ai-cartpole\ai-cartpole.py"", line 71, in <module>     initial_population()   File ""C:\Users\Josh\Desktop\ai-cartpole\ai-cartpole.py"", line 65, in initial_population     print('Average accepted score:',mean(accepted_scores))   File ""C:\Users\Josh\AppData\Local\Programs\Python\Python36\lib\statistics.py"", line 311, in mean     raise StatisticsError('mean requires at least one data point') statistics.StatisticsError: mean requires at least one data point",True
@thiagomunich,2018-07-29T03:40:30Z,0,Can you do this series for MountainCar-v0 ? Cheers from Brasil !,True
@zaidangaming1288,2018-07-26T05:55:39Z,0,"Sometimes when I watch your videos, I wonder Why I'm not like you. :( you're so awesome.  Love from Pakistan.",True
@tobias-stein,2018-05-12T16:23:54Z,1,"Nice tutorial sentdex, thanks.  And by the way, it seems you have to train the model with data samples consisting of (Obs_n, Action_n+1) [where n is the frame]. In my case if if samples data in form of (Obs_n, Action_n) I would not be able to get a final score above 10.0. Once I fixed that, I easily got higher scores.",True
@MauricioMartinez0707,2018-04-26T22:09:43Z,0,"env.reset() returns the initial observation, so you can:  obs = env.reset() for step in range(game_steps):     action = env.action_space.sample()     data.append([obs, action]) # since that's the action taken based on the observation     obs, rew, done, _ = env.step(action)  something like that",True
@MACHINEBUILDER,2018-04-21T03:15:06Z,1,"One of mine got 144, that's my boy! ;)  Great video, I love to learn machine-learning, keep it up",True
@mathemovie5520,2018-04-16T19:30:03Z,3,"thanks man, you're just opening so many new doors to me. Cheers.",True
@rafaj9507,2018-03-11T01:38:03Z,0,"I am getting below Warnings and no output at all. Could any one help me to fix it ? Warning (from warnings module):   File ""D:\Users\Rafal\AppData\Local\Programs\Python\Python36\lib\site-packages\h5py\__init__.py"", line 36     from ._conv import register_converters as _register_converters FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`. [33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m",True
@BlogsityPasch,2018-02-25T22:38:36Z,6,"3 typos, just awful",True
@-xeL,2017-11-17T00:57:44Z,0,was looking for a good nn example - found it! thank you!,True
@shashisuman8302,2017-09-22T16:40:13Z,17,I just heard that your keyboard has been hospitalized . Is she fine ?,True
@ClaDOS562,2017-09-02T19:29:30Z,1,"I know i'm kinda late to the party but first of all thank you for the very awesome tutorials, you are awesome :D Secondly i've got this really weird problem where when I try to install 'pip3 install gym[all] I get this error on some modules like e.g. Box2D that asks me if 'make' is installed. I have installed cmake via pip3 and follow along this guide here: https://github.com/j8lp/atari-py but nothing worked. Would be really awesome if you've got a hint on that? pip3 install make does nothing and I had a really hard time finding any docs related to 'make'.",True
@robertgization,2017-07-20T16:53:15Z,0,Are there classes available for all of this?,True
@Froxiyahu,2017-07-17T00:05:18Z,4,dude this is wonderful but fuck man.. watching you work in this editor makes me wanna kill myself :( use like a free student license of PyCharm or something... no typos there man   great job with the tutorial other than that :),True
@dLoLe,2017-07-09T14:27:41Z,6,"Awesome.   A few notes:  goal_steps is actually the upper threshold of steps you're willing to do for a game, is that correct? If that's so, the chance of getting 500 steps on random is really small. Either way, I'm not sure goal_steps is really explained too well also, I'm sure there's a method already written for one_hot conversion, but surely you could at least convert it on the fly in the original loop with ""[0,1] if action else [1,0]"" instead of writing a separate for loop for that and iterating   Thank you very much for your help, really helping me there :)",True
@knaveen17,2017-04-14T20:56:27Z,0,What exactly is the input format for the training data to feed the model? I have a csv with flattened arrays of images and labels next to it. How do I feed this to the model?,True
@adriannajera8013,2017-03-29T04:49:23Z,1,this same kind of method could work in others games in openai gym? or it has to be a different approach?,True
@rafaelcavalcante2939,2017-03-18T20:57:03Z,0,you is amazing!! tks.,True
@kaiocesar8578,2017-03-14T23:11:56Z,10,"I think that  ""if len(previous_observation) > 0:"" is the same of  ""if previous_observation:"" because empit lists are False anyway",True
@ug0ts3rvd,2017-03-13T16:18:44Z,0,interesting series,True
@edisoner97,2017-03-13T15:32:56Z,22,how come you are so awesome?,True
