author,updated_at,like_count,text,public
@coreyms,2023-01-09T18:49:04Z,577,"Hey everyone. LONG TIME NO SEE. I know this is the first video in a long time but I plan on getting back to tutorials in 2023 and hope for many more uploads this year. I hope everyone had a safe holiday and is enjoying their new year.  Also, I had some issues with my code formatter in this video. I plan on fixing this today. I usually try to keep the screen clutter free for you all, so please try to ignore the editor adding in a lot of unneeded suggestions and filling stuff in for me. I need to uninstall a couple of experimental packages to my editor and it should be back to normal.",True
@rlifts,2024-02-20T03:01:20Z,0,"Welcome back, we miss you! :)",True
@der_dataanalyst,2024-01-11T13:12:17Z,0,It took 12914 years for me 😀,True
@georged9709,2023-12-18T04:56:20Z,0,Best anti-gambling education ever❤,True
@withpikachu2402,2023-09-01T10:41:10Z,1,How do you guys get those IT jobs? It feels like I've wasted time studying all the math for a CS degree. I should have learned everything from YouTube and Udemy.,True
@rverm1000,2023-08-15T00:56:42Z,0,nice!,True
@nealagashi4620,2023-08-01T16:28:45Z,0,Hey can i get your number or contact any how its urgent,True
@user-ri2od9fx5m,2023-07-16T11:52:15Z,0,Could you add something in your code ... When people purchase in a group of 10 or 20 or 100  people  for one draw ...  they got more chance to win ... I'm curious to know how your program will handle it ... @coreyms  by the way thank you for sharing your great video with us ... continue your great work ...  have a nice day,True
@ChiefGuest,2023-06-22T18:03:33Z,0,"You are just a great teacher.. even python documentations sometimes get failed to make us understand, but you always do it very easily  😊",True
@VaurionX,2023-06-08T00:07:56Z,1,"Great tutorial, you should title this video ""The cure for a gambling addiction"".",True
@ruzibayevich1693,2023-06-06T12:24:16Z,0,make a video about matrix too please,True
@Kahitar1,2023-06-03T15:34:04Z,0,So happy you are back! I regularly checked your channel in the past two years and was always sad when there was no update :(,True
@noorulali1184,2023-05-22T20:53:59Z,0,What interesting casino or Bitcoin style project are you working on Corey?,True
@vinayvadlapudi5243,2023-05-17T01:30:17Z,0,We want DSA in python,True
@yashmore7732,2023-05-13T17:48:47Z,0,@corey congratulations on your graduation from CU. I could see you as I was there with you as graduate 05/13/2023,True
@tupaiadhikari,2023-05-08T19:39:13Z,0,"Dear Corey, Thank you for being back. I fell in love with Python, and your tutorials are one of the reasons. I am super happy on your return.",True
@jagadesh.d2563,2023-04-21T05:47:14Z,0,Which playlist video is need for the beginners pls☺️replay bruda 🥰🤚,True
@AdithyaSankar-dq8do,2023-04-11T03:06:39Z,0,hey corey love your videos can you do a tutorial on machine learning,True
@intick13intick44,2023-04-05T05:20:00Z,0,"Welcom back from France ! Learned so much from your videos, thanks for all the efforts you're putting on these tutorials, keep going, we all love your work. Many thx again",True
@yellowfungus3576,2023-03-31T01:40:04Z,0,I share a similar story to that of @dawidkrol  I got a gig as a jr python dev and then got promoted to mid lever. I would not be here had it not been for Corey :) ♥,True
@wonkyu1qlee66,2023-03-30T01:27:07Z,0,"Oh my, you're back.... Please don't' leave us again...:(",True
@jjeverson2269,2023-03-29T19:27:42Z,0,Missed you bro!,True
@LusoCMD,2023-03-26T10:16:18Z,0,Welcome back 🤟,True
@yelaman_serikov,2023-03-22T20:31:49Z,0,The greatest comback of all time! I'm glad you decided to release great videos again <3,True
@Just_Hu,2023-03-19T11:30:24Z,0,"Welcome back! Is it possible to make a new 2023 django website, deployed online?",True
@pedrodias9505,2023-03-18T10:06:57Z,2,"Hey Corey, I've been wanting the right opportunity to thank you for the all amazing free and tutorials you've posted on your channel, it has helped immensely and I've been working as Software Engineer since the autumn 2021 essentially thanks to you🙏🏿, I hope you know you've had a positive impact on many people's lives and have a community eager to support you and welcome you back!! Looking forward to amazing future content ❤",True
@aabbccddcc7792,2023-03-13T19:28:24Z,0,Oh man! Your voice is changed :D It has been a really long time. I cannot express how grateful I am for all the great stuff you have uploaded. I hope you and your loved ones are well!,True
@ibekwevictor1158,2023-03-12T16:15:24Z,0,"Never thought you would upload a new video again.... I really gained A Lot from your videos, made me a better programmer and paved my way up and you impacted more knowledge into me.... Am really grateful Mr corey Schafer... God bless you sir ❤️❤️❤️",True
@UrbanNilssonOssian,2023-03-11T00:22:43Z,0,"I came here because of your ""Hi Ren"" comment on another channel. I think I will stay for a bit!",True
@LocdnessMomster,2023-03-10T03:48:47Z,0,Glad to see you're doing well! Everyone forgets their password now and again :) Hope this time finds you well!,True
@adityaraj10953,2023-03-09T13:46:20Z,0,Where are you sir this is very long brake   I have a suggestion for you please remake tutorial of python video's to regrow in YouTube And get some love from your student 🙂,True
@ashim9898,2023-03-08T12:22:59Z,0,"Could you make video about stacks and queues,please?",True
@MrMits92,2023-03-07T19:48:35Z,0,"Corey, thx for that update !!",True
@babakhabibnejad508,2023-03-07T18:05:18Z,0,"Hi Corey, so glad that you are back. your tutorials really helped me to understand Python's core features back in 2019 and also helped me in several technical interviews. as many others have already said it, you are a big part of why I have an IT job now, thank you for everything!",True
