author,updated_at,like_count,text,public
@soumenmitra1900,2022-02-28T07:00:21Z,0,"Hi Krish Naik,  I found this project throuth analytisdimag blogs. I find the project very interesting. But i want to know what can be a real life application of this project. I mean what is the thought process behind the project?  Thanks.",True
@SS-ct3pe,2020-06-25T13:19:20Z,0,"Hai bro, what are the advantages I will get, if I joined in the group?",True
@RAZONEbe_sep_aiii_0819,2020-06-24T14:10:58Z,0,So basically he just made a note scanner.,True
@RAZONEbe_sep_aiii_0819,2020-06-24T14:04:54Z,0,"Where it can be used anyway? There are sensors already in the market that can detect all the currency notes in a split second, in a nutshell I don't see any future or direction in this project.  Anyone agree?",True
@helloworld7488,2020-06-24T12:11:22Z,0,"hello sir,  few days prior you started a course on deep learning, machine learning can i join the course now??",True
@v1pilot241,2020-06-24T08:01:34Z,0,I was speechless man.,True
@Vaibhav_Mohite,2020-06-24T06:47:50Z,0,Sir also do such types of project for Data Analyst,True
@anjupandey3881,2020-06-24T03:57:40Z,0,Amazing project with proper documentation...Very professional... It is highly recommended to all data science and ML enthusiasts.,True
@raghavsharma6430,2020-06-24T03:45:49Z,0,sir could you tell me how can i make my github repository searchable on google search???,True
@subhamsarkar8507,2020-06-24T03:16:31Z,1,If I take a paper instead of a real note and write 100 or 500 will it still predict the answers?,True
@techguybiswa,2020-06-24T03:08:21Z,1,This is such a cool project! Also the best part is that the code is totally opensource with proper documentation. Really good work Rohit!,True
@premkumarvijayakumar1849,2020-06-24T02:28:45Z,1,AWESOME,True
@mr.nobody1943,2020-06-23T21:00:54Z,1,Please tell us... Which books to read for machine learning and deep learning which have things you have taught in the 2 Playlists...,True
@azizulhakim1534,2020-06-23T20:09:54Z,1,Sir please create a different playlist for videos like this.,True
@libinkoshy632,2020-06-23T19:27:27Z,7,"Looking at such projects and such github profiles make me feel demotivated and I look at myself with inferiority. I studied all the algorithms and the statistics used,   data visualization tool, then started with flask but yet it is difficult to understand. To implement as a webpage it is important to learn web development principles, and then everyday you come across new terms, and you feel more disappointed. Then there is DL, NLP, image processing, Big Data, and the list goes on and on and on. Most of the time I feel directionless. I tried hackathons, never ever closer to good rankings. And then i see toppers solution, it is hard to understand. All this is disappointing. Would I ever get a job? Would I ever make any difference?",True
@srinivasans2646,2020-06-23T18:44:10Z,1,Hi sir can u post a working video on how to install dlib cause I could find one and it's needed for video moduls sir  Thanks in advance,True
@pradeepganghishetti1800,2020-06-23T18:28:49Z,1,"Looks Good!!! However krish, in github code I cannot see how training is done. Its not clear how features are extracted. Also which ML algorithm utilized in prediction? Is any hyperparameter tuning done? Also can you  make a video on different ways of feature extraction in images. when what method to select.",True
@arunmohan7841,2020-06-23T18:13:01Z,2,IAM an  experienced ml engineer(1 year).but currently we don't have any projects in my company.please suggest me some expert level project that which I can work on and put in my resume.I mainly focus on predictive analytics and computer vision,True
@Abhishek-fw7oo,2020-06-23T18:04:01Z,1,I can see steam running in background XD,True
@rohitswami8938,2020-06-23T17:29:09Z,1,Thank you so much Krish for taking out your valuable time to tell about my project. I'll definitely work on dockerizing the application as suggested by you 😊,True
@Sai-tek,2020-06-23T17:24:53Z,2,That's so intriguing and exciting.,True
@rejuwanshamim1870,2020-06-23T17:17:30Z,2,"Can u tell me sir which combination will be good data science and artificial intelligence and machine learning or data science and blockchain  or something others ?? Plzz sir I need to know ,my preference is to become a good data scientist and my college is providing an option to take take  dual specialization ,,,",True
@sukanthenss914,2020-06-23T17:11:34Z,2,Nice and different project,True
@priyansurout215,2020-06-23T17:05:08Z,4,"Hello sir,                 I am Priyansu rout my age is 15 years old and first i like thank you for making amazing playlist of deep learning. It is very simple to understand all concepts in it. And now I am learning more about Python, numpy and Pandas.   I want to make my own advanced AI assistant( like javes) better than Google assistant And I know i will make it one day. But I need some guidance  for you. I did not know what i  will to suffice learning to make it happen. Please Help in that.   Thank you.",True
