author,updated_at,like_count,text,public
@ashraf_isb,2024-04-03T09:33:55Z,0,Thank you,True
@husamjon5971,2023-11-06T03:54:30Z,0,so we do scaling either for ensuring correct results (like K mean algorithms or for efficiency like anyone which uses gradient decent - correct?,True
@pravinacharya4411,2023-06-29T12:17:46Z,0,Do we need to do scaling for time series data and which scaling method would be best,True
@junaidlatif2881,2022-11-19T18:02:04Z,1,Sir. I used my data for RF without scaling. Model performance is worst and in - ve value. Because my Y (output) variable range from 10E14-10E20. I tried many ways. But i found better accuracy when i used standard scaler of Y variable. Other ways my model performance is worst! Still my question is: if i used scaler in RF and ensamble method is it right? Can I use it?,True
@arrow94,2022-10-21T13:40:17Z,0,Thobada dikhane  se acha  pdf thought dikhana,True
@ishantyagi2701,2022-04-08T22:24:14Z,0,can  i  apply standariztion for logstic regression,True
@louerleseigneur4532,2021-08-10T22:45:14Z,0,Thanks Krish,True
@ayubaalim2201,2021-06-05T17:58:09Z,0,helpful..............my DREAMS from Somalia,True
@kaushikumang,2021-05-24T11:03:55Z,0,Thanks for the information sir.,True
@atiladursun7075,2021-05-02T14:08:07Z,0,"Hi Karish, do you do Normaluzation before pca or after? Thanks",True
@naehalmulazim,2021-03-04T12:56:28Z,0,"Sir, your lectures are always very helpful. Have a subscriber. But maybe you might consider writing some of the points on the whiteboard. It became a little hard for me to keep up.",True
@maxwellpatten9227,2021-03-02T19:17:54Z,0,I LOVE these videos!!!! Excellent!!!,True
@hridayanandadas3528,2020-12-26T01:20:40Z,0,I have trained my model using feature scaling. now i want to predict the real data. do i need to scale whose data also?,True
@akhandpratap__,2020-09-28T10:49:03Z,0,2:10,True
@anugantisuresh5935,2020-06-27T13:22:06Z,0,"What about Logistic Regression, SVM, Naive Bayes? We should apply standardization or not required?",True
@priyanshuvats4066,2020-06-27T07:19:06Z,0,"Scaling features helps make gradient descent faster by changing the shape of the cost function Also, it improves the performance of distance-based models by reducing bias. Here is a link for deeper understanding. https://www.youtube.com/watch?v=P3xPA7XFGCQ",True
@GAURAVRAUL95,2020-06-02T09:25:51Z,1,"So can I say, scaling is just needed to improve running time of a model but it doesn't affect the accuracy or other metrics?",True
@the_imposter_analyst,2019-10-06T18:53:07Z,0,This was so helpful!! Thank you so much sir.,True
@sunnysavita9071,2019-10-06T13:17:19Z,0,sir please upload the various feature scaling technique practicals,True
@siddarthbali12,2019-10-02T12:31:39Z,1,"You mentioned that where ever we use euclidean distance we should apply feature scaling, but what about the computation that involves the cosine similarity, does we should perform normalization in that case and the also the score return by the cosine similarity should be normalized or not???",True
@AmitYadav-ig8yt,2019-10-01T19:42:02Z,2,How about classification problem problems or In Algorithms like Logistic Regression ? Can we use Feature Scaling?,True
@vineshcool5826,2019-10-01T13:28:45Z,3,Can you please explain on local outlier factor concept.  It will be helpful..,True
@vijaynale7893,2019-10-01T12:25:03Z,1,"I am only waiting for next kaggle competition - House price prediction video , to see..",True
@anandacharya9919,2019-10-01T09:51:25Z,1,"Thank you sir for this one more excellent video. I request you to make a video, on how to choose a correct machine learning algorithms . Thank you very much!",True
@kalangiprasad4073,2019-10-01T08:48:48Z,1,9 min great explanation sir.,True
@hemantsah8567,2019-10-01T07:59:50Z,1,Is course started?...  where to pay ?,True
@VVV-wx3ui,2019-10-01T07:04:11Z,3,Thanks Krish. Such insights are the key and makes the difference. Thanks once again for Sharing with All.,True
@akshaykrishnan7985,2019-10-01T02:14:32Z,1,Superb sir.. This was the video I was looking for. You cleared all my doubts related to feature scaling in the video,True
@gvsmchaithanya2847,2019-10-01T02:10:40Z,3,Feature Scaling will be applicable to SVM also I think because in that mostly i taken the data set like the binary classification of the dataset like 0 or 1. In this case of that problem and i have also applied min - max scala by using sklearn library. I think my usage of feature scaling what i applied this may correct.,True
@mahery_ranaivoson,2019-09-30T21:19:59Z,2,Do we need to scale values we have when we do prediction?,True
@anubhavsood6160,2019-09-30T20:43:45Z,5,"Hi krish,  Could you please make a video on end to end steps to be followed for a ML project. For example... 1. Import dara 2. Impute data 3. Remove outliers 4. Perform univariate EDA 5. Train test split 6. Scale features 7. Call algorithm classes like KNN, random forest, linearregression...  8. Perform k Cross validation to validate which algorithm is suitable 9. Perdorm feature reduction 10.perform feature selection technique",True
@muhammadusmanakram406,2019-09-30T17:17:37Z,1,can you make a video on how can we make our own dataset and how much rows will be enough for that particular dataset??,True
@muhammadusmanakram406,2019-09-30T17:16:45Z,1,hello sir...can I get your email or WhatsApp...i have some personal questions related to my machine learning project...i really need your help,True
@subhashgupta9847,2019-09-30T16:31:09Z,0,Please suggest some website or WhatsApp group where I can ask machine learning Doubts,True
@ashishsangwan5925,2019-09-30T15:31:31Z,1,Awesome 👍 Do we need to do feature scaling in logistic regression?,True
@mrrasel871,2019-09-30T15:29:32Z,3,Just amazing ❤️,True
@syedtasleem2827,2019-09-30T15:15:15Z,6,"Sir, please try to solve analytics vidhya amexpert hackthon challenge problem..!!",True
@RamCharan-bn5cb,2019-09-30T15:12:08Z,1,Bhai I am in ML 3 group how to pay amouny,True
@MrSawan27,2019-09-30T15:06:40Z,1,Quite useful information. Can you also explain when to use which type of scaling mechanism like standard scaler and minmax scaler?,True
@akshaypratap7390,2019-09-30T15:05:33Z,1,Sir plz edwisor k baare m btaye,True
@rusteze4710,2019-09-30T14:48:58Z,3,What happens when we apply feature scaling when there are outliers?,True
