author,updated_at,like_count,text,public
@KenJee_ds,2021-12-17T09:22:26Z,3,"Thanks for watching everyone! I'd love to hear about your experience with WSL 2 or how you would use it in your workflow!  If you want to check it out yourself, you can do so here: https://docs.microsoft.com/en-us/windows/wsl/install",True
@F2H16,2024-01-26T09:30:23Z,0,"Hey, nice content, thanks a lot. By the way, which monitor are you using, if I may ask ? :)",True
@ahmadbilal3568,2023-09-03T10:34:48Z,0,"I remember in 2018, i was working on one my project and i need GPUss for that. My Prof. bought me HASEE Kingbook laptop (So very nice of him) but the problem was that, despite my earnest effort i couldnt install Ubuntu on it because of hardware incompatibility. It tried many means to overcome that like using VM etc. but i couldnt, as they dont support GPUs. If they had released WSL2 at that time, a lot of my problems would have been solved. ALASSSSSSSSSSSSSSSSS..........  Still KUDOS to Microsoft to be lenient about their UNIX systems policy and start developing such amazing tools.",True
@megasuperlexa2,2023-06-16T05:59:13Z,0,does it work via Windows VPN? is it fast accessing Windows files?,True
@paherbst524,2023-05-19T14:56:06Z,1,My general setup is to run Linux on bare metal and windows in a VM. One thing WSL 2 offers is the ability to share the gpu. that's a pretty big win. I wish there was a way to do the same with Linux as the host OS,True
@ayushjain1887,2023-04-12T04:13:40Z,1,Love the way! You will also love if you know how wsl2 works behind the hood.,True
@sundarganesan5502,2023-03-03T13:34:01Z,1,Do we need qualys in WSL2 application in Windows Laptop?,True
@adriancoanda9227,2022-12-23T18:49:48Z,1,Nice in the future support for Mac os will be added,True
@sasek118,2022-12-17T00:08:37Z,1,Why don't you just use linux as your OS?,True
@lardosian,2022-12-12T22:54:48Z,1,Have been using it a bit and so far everything works perfectly!,True
@howardlau7749,2022-08-20T04:46:32Z,1,"Hi, Ken. How would you set up the environment in WSL? would you recommend installing Anaconda in WSL?",True
@starship1701,2022-01-16T21:46:25Z,2,"Is WSL 2, or just linux in general, something I should be familiar with before getting my first job as a data scientist?  What resources should I use to learn?",True
@manutexas,2021-12-29T19:20:17Z,2,Literally hit it on the nail for me. Combining BI tools on Windows and my Data Science work on Linux will be huge for me!,True
@harshitsati,2021-12-27T19:01:09Z,2,"I started using WSL since the last 5 months, it's really handy!",True
@piyushzope10,2021-12-27T05:45:00Z,2,Booting process is sometimes very boring... This is a best way 🙌,True
@williamguesdon400,2021-12-22T07:54:42Z,1,I am a huge fan of WSL2. It make it easier to have one machine to do everything locally.,True
@miamiwalking,2021-12-21T05:06:59Z,0,WSL 2 on my Dell Laptop with a Ryzen 5 chip was a huge headache.  Constant Blue Screens of Death.  Total waste of time.,True
@_XY_,2021-12-20T17:45:38Z,1,Nice,True
@vladislav148,2021-12-20T08:36:42Z,1,"I don't know what magic WSL2 uses, but it can consume up to 5.5 gigs of RAM of my 7 avaliable (1 gig is allocated to intergated GPU as VRAM). Can you even imagine launching virtual machine which can consume 80% with 1.5 gigs remained for host system?",True
@imamansoni,2021-12-19T07:53:34Z,1,"Wsl consumes so much ram, just open a  very small react app with vs-code running with wsl-remote-extension and it   uses 1.7 GB of ram. I have 8Gigs on my laptops and with running wsl it literally uses 85% of ram, and also got the BSOD multiple times. So Disappointed !",True
@hiroxh6366,2021-12-19T03:36:08Z,1,Would love to know the specs of a machine that can handle these!,True
@lecryptojames,2021-12-19T02:54:10Z,1,"Hey Ken? Just a heads up, I will be using your LinkedIn profile in a motivational YouTube video w/ basketball theme to motivate LinkedIn professionals optimize their LinkedIn profile. :)",True
@Ibraheem_ElAnsari,2021-12-18T14:22:30Z,1,D-did Ken cheat on Papayas with Persimmon ? I guess there's room for both of them now with WSL 2 :3,True
@fazliimaam1641,2021-12-18T05:55:33Z,2,Is it possible to have GUI with wsl2?,True
@TinaHuang1,2021-12-18T00:26:47Z,3,Oh I thought it would be a cat pot which I must say has changed my life. BUT DIS RLY COOL TOO :D,True
@adarshsuma5081,2021-12-17T19:53:29Z,1,"While WSL2 is certainly a great addition, but working with GPU model training and Docker Desktop on WSL is... well quite a task for me",True
@LukeBarousse,2021-12-17T19:39:18Z,8,"1:38 I feel attacked, Ken!!! 😡🤬We need Power BI on Linux (and Mac)!!  Moving past this, I will say that I love me some WSL2!!  I think it's great for learning and practicing Linux commands in the terminal, which IMO is a core skill to have for data science.",True
@shrutijain1628,2021-12-17T17:26:05Z,2,This was my first time knowing about this but it really sounds interesting and something worth look into💯✨,True
@samihaislam3487,2021-12-17T16:41:19Z,0,NEVER liked or could use VM,True
@teyang666,2021-12-17T16:01:39Z,20,"Hi Ken, was wondering if you can do a video on how you have used Linux for data science and what are the advantages of using it over windows? Thanks and great content as always!",True
@danielq1985,2021-12-17T15:29:30Z,3,"Great explanation! I absolutely hated using a VM (crappy performance) so I went with a dual boot setup. I will definitely have to give this a try, thanks!",True
@averysmith,2021-12-17T14:56:53Z,2,"Had never heard of this before!!!! But that’s really useful! Thank you for sharing. I have a Mac laptop, PC with windows and Linux. Lot of working switching back and forth",True
@mattRRgraham1996,2021-12-17T14:54:58Z,1,Give your glowing T-rex a good pat on the head for me. What a lovely companion.,True
@supermarkethobo9567,2021-12-17T14:21:07Z,0,idk for me there aren’t enough tools that aren’t on windows,True
@anubhavgoyal3211,2021-12-17T14:13:13Z,2,Thanks for the clear explanation! Now I  surely know what it is xD,True
