author,updated_at,like_count,text,public
@alokmishra5367,2023-07-25T15:42:46Z,0,48.5 percent,True
@ritikgupta6825,2023-01-09T17:14:11Z,0,"how can we do this all calculation during the interview, did they give this much time",True
@ashabhumza3394,2022-05-09T20:25:43Z,0,4.74%,True
@sandhyar490,2022-04-26T07:25:58Z,0,"Z- score = (75-100)/15 = -1.666 -ve Z table for -1.666 is 0.5480 0.5-0.5480 = -0.048 0.048*100 = 4.8% Please verify this, if its wrong, please suggest me where I did wrong.",True
@bharatfordata,2022-04-23T07:03:56Z,0,Z score  is -1.66 and the Z Table Value for that is .04846(4.84%). So total 4.84% of population would be having an IQ lower than 75%.,True
@kadourkadouri3505,2022-04-22T07:04:38Z,0,"Most answers here are turning around 4.5% which is totally unrealistic as the majority of the population falls in the segment of IQ < IQ@75%, more precisely IQ<150 in which case the answer would be slightly below .499 according to the problem. The issue is that IQ like wealth doesn't necessarily follow a normal distribution",True
@harshavardhansvlkkb2290,2022-04-21T13:07:34Z,1,0.04846 where z score is -1.6667 taken as -1.66 if -1.67 then it is 0.4746,True
@Su-ec7pj,2022-04-21T04:53:52Z,0,4.75% of the population has IQ lower than 75.,True
@kadourkadouri3505,2022-04-21T02:54:44Z,2,X -> 150 (IQ at 75% as IQ per se is not a percentage but a scale) therefore (150-100)/15= 3.333  Left Z-score meaning -3.333,True
@h.m.mahbubrabbani679,2022-04-20T23:54:43Z,1,45.25%,True
@RahulSharma-bs6if,2022-04-20T17:01:37Z,1,"Hi sir, I am planning to take the course of full stack data science boot camp job guarantee program and I read the job guarantee page and in point no 10 it’s written that The candidate should not have a gap of more than 2 years. Sir I am a graduate of 2014 and since then I am doing my business and now I want to learn data science. So will that affect my job placement in any way?? Could you please clarify this to me.",True
@remrem6681,2022-04-20T16:25:24Z,1,Bcs of krish naik i changed my domain to data science after 10 yeras.working in mnc with good package,True
@karthikbhandary879,2022-04-20T13:43:40Z,1,I got 45.15%. Used the z-score and the z-table,True
@saikumarreddy5994,2022-04-20T12:33:37Z,1,Krish when will ineuron app release,True
@mansigupta3126,2022-04-20T08:02:07Z,1,sir i need your help. how to apply GASearchCV on ANN . i have prediction data. Or any other method to use Genetic Algo Optimization on ANN. waiting for ur reply.,True
@sharinair1480,2022-04-20T07:23:11Z,1,My answer is 45.15 %.,True
@SnehaKumari-mb4px,2022-04-20T06:14:26Z,1,my answer is 45.154 % sir. please tell us the answer. How people are getting 4%,True
