author,updated_at,like_count,text,public
@upekhasharma8048,2020-12-14T16:57:22Z,0,Hey do u also provide something for mothers restarting career in data science,True
@akashprabhakar6353,2020-09-11T20:41:40Z,0,thak u veryyyyyyyyyyyyyyy much Krish,True
@SpellboundHaven,2020-08-23T23:10:24Z,0,"Guys, Please do a video on the Story of a person without a degree become Data Scientist. I don't care whether it is a Successful one or not.",True
@sajidchoudhary1165,2020-08-22T09:15:09Z,0,"Sir Please makes video on Mathematics behind on  SVM Regression, AdaBoost Regression, Gradient Boost Classification",True
@priyankarai7947,2020-08-21T13:26:32Z,0,"I misses that. Even I wanted to join. I am working as Android and IoT developer  in Philips Innovation Campus having 5 year experience.  I am planning to move to AI and machine learning technology . If you can help that its right decision as I was in good math and cracked ISRO, Bel kind of exam before.",True
@kavithamanishjain4167,2020-08-18T05:09:15Z,0,"I missed it sir, pls let me know the next batch of the same",True
@farrahtittle6675,2020-08-18T04:12:29Z,0,That was very nice of you to have this giveaway. 🌹,True
@pritik47,2020-08-17T21:19:17Z,0,"I missed it, when do you another give away.",True
@snehasneha3822,2020-08-17T15:19:01Z,1,Congratulations girls.. 🥳 I missed it 🙄,True
@afreenzoya8472,2020-08-17T13:12:57Z,0,Sir ... I missed this opportunity... ☹️,True
@AbiramiSubbiah369,2020-08-17T09:45:23Z,0,I missed it .. When will be the next giveaway for women,True
@poonamjoshi3261,2020-08-17T07:07:46Z,0,I missed this...when will be the next give away..,True
@tanvishinde805,2020-08-17T06:57:43Z,0,I missed it,True
@shreyareddy2984,2020-08-17T04:45:47Z,0,missed it sir,True
@ArunKumar-sg6jf,2020-08-17T02:38:07Z,0,Why can't mens giveaway,True
@rupampatil6425,2020-08-16T20:18:10Z,0,Missed this give away😣 tomorrow give it to them who r having birthday today 💖😂😂😂I will not miss it😋,True
@YouYou-te5em,2020-08-16T19:26:00Z,0,Can u mentioned again website where community classes scheduled placed,True
@rm4321,2020-08-16T18:46:02Z,0,"Missed this opportunity, when will b the next",True
@vaibhavkumar7745,2020-08-16T17:49:08Z,1,India is suffering from data scientist crisis and he is having about 215k data scientists as subscribers.impressed😃.,True
@udaymishra3238,2020-08-16T17:29:17Z,1,"I am confuse , why people disliking this video? There was just an announcement of those participated for free give away classes, and here is the list, what is the point of disliking here, Are you sick guy's get treatment somewhere.",True
@vinitkanse5703,2020-08-16T17:01:13Z,1,"Hello @krish , Can you host a giveaway for Beginners-men  in Data science too?",True
@jahnavijaanu5622,2020-08-16T16:48:40Z,0,"But you said, first 15 members",True
@shindepratibha31,2020-08-16T16:33:38Z,13,when will be the next give away for women? I missed it.,True
@raghavendhrasv,2020-08-16T16:23:38Z,0,i can hear,True
@raghavendhrasv,2020-08-16T16:22:57Z,0,really appreciate,True
@raghavendhrasv,2020-08-16T16:21:59Z,0,hey,True
