author,updated_at,like_count,text,public
@statquest,2022-05-07T18:51:12Z,17,Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/,True
@sweetlemon4625,2024-05-26T17:04:27Z,1,i watched it on 2x speed to save time  ...except I had to repeat it 3 times,True
@trondasdam6443,2024-05-05T04:54:10Z,1,Statland actually is a place in Norway,True
@jackfrost8969,2024-04-30T14:19:46Z,1,omg I finally understood it,True
@user-oy6ks5vo5x,2024-04-29T06:51:59Z,1,defiinitely clealy explained. thank you  Edit: ofc BAM!,True
@MrWoaaaaah,2024-04-16T16:05:25Z,0,"I'm still struggling... please can somehow help me with this example:  1. If someone is white and male, I can detect lies 80% of the time. 2. The chances of someone being white where I live is 81.7%. 3. The chances of someone being male where I live is 49%.  What is the probability of me detecting a lie in these conditions? Please can you include it into the formula to help me apply it?",True
@babakmozaffari3860,2024-04-03T15:38:39Z,0,"i recommend to change your approach from completely bottom up approach to top down/bottom up approach , its better to first explain the topics that you want to cover up, its importance , the required topics that we should know in order to understand that and then start to explain based on the that from bottom up. Its a little bit hard for people to listen to the things that they don't know where its going to lead them,  (coming from a machine learning teacher for over 8 years)",True
@nuwantattygalle5645,2024-03-23T17:53:32Z,1,"undrestood ""BAM"" context meaning after watching 5 videos. your videos are super super helpful. thankyou and please keep up. please consider including an example scenario for one sided statistical test",True
@davenport8,2024-03-17T23:01:04Z,2,StatQuest RULES,True
@F104Gaming,2024-03-10T16:59:22Z,0,Only here because my math teacher cannot teach,True
@muditsingh1969,2024-03-05T08:02:11Z,1,Nice video,True
@rudraksh111,2024-02-29T08:58:24Z,1,I am your 400th comment🎉❤,True
@Oilfishing,2024-02-15T06:14:06Z,0,what's the probability he says soda in each sentence in this video?,True
@user-hv2fr4ec8m,2024-01-18T18:14:41Z,1,"Greetings from Brazil. You are simply a legend, mr. quest. Love the content and the dorky intros! Thank you for everything! ❤",True
@FengyuanHu,2024-01-03T14:53:27Z,1,"Dear Josh, your videos are super fun to watch and learn as well as your book, hope you have a chance to revisit the idea of making a series of Bayesian Statistics in 2024. Triple KUDOs to you.",True
@pedrazzinig,2023-12-28T04:18:42Z,1,"The ""slightly"" redundant notation is very important and I do agree that it deserves to be there/used. And,  the/your explanation is excellent. Thank you.",True
@tmonkey3323,2023-12-13T12:07:03Z,0,w channel,True
@Fatimah-kt9if,2023-12-12T17:23:51Z,0,Is there’s a quiz for it ??,True
@GoddamnAxl,2023-12-04T21:39:04Z,0,"I know this might be a new viewer thing, but BAM definitely makes bayes theorem more clear to me",True
@exoticcoder5365,2023-12-03T16:42:03Z,1,"12:35 it’s tricky, meaning the same thing but with different words, thanks Josh for making it clear",True
@IshaFemur,2023-11-30T14:21:50Z,1,YAYYYYY BAYES THROREMREMREM!!!!!!!!!!!!111,True
@jim2376,2023-11-09T21:58:43Z,0,(what you're looking for)/((what you're looking for +  not what you're looking for but with the same condition)),True
@katka7634,2023-11-02T00:04:18Z,1,"After this video, I wouldn’t say I understand because this is the first time I dove in this topic, but now I certainly have the idea and I’m fascinated! Great video",True
@lg2058,2023-10-25T22:32:08Z,3,Bam.,True
@user-ij2um2oj7g,2023-09-08T14:06:03Z,3,Thank you! I didn't understand Bayes while I was studying in high school. Now I understand it! Your explain is so clear!,True
@saravanakumarv4705,2023-09-07T13:38:52Z,0,"Suppose we have 3 cards identical in form except that both sides of the first card are colored red, both sides of the second card are colored black, and one side of the third card is colored red and the other side is colored black. The 3 cards are mixed up in a hat, and 1 card is randomly selected and put down on the ground. If the upper side of the chosen card is colored red, what is the probability that the other side is colored black?   I have seen few explanations for this problem, but couldn't understand why they are using Bayes theorem for this..  Can you please explain?",True
@black_crest,2023-09-04T08:44:48Z,1,I love BAM! so muchhh,True
@Lemurai,2023-08-31T00:13:38Z,1,Statsquatch 😂😂😂boy I have to take my hat off to this guys creativity.,True
@whateew,2023-08-23T22:22:33Z,1,"Studying philosophy of probability,  this vid was a massive help for understanding logical theory type stuff !",True
@randlyce,2023-08-17T13:39:33Z,0,your ads are annoying everytime i try to get it there's another ad keep it simple don't put a billion ads during the video,True
@ivancarlson953,2023-08-13T19:05:53Z,0,"People who doesn't love candy are 2.50x more likely love soda than love candy. People who love candy are 1.33x more likely doesn't love soda than doesn't love candy. People who doesn't love soda is 2.00x more likely love candy than love soda. People who love soda are 1.67x more likely to doesn't love candy than doesn't love soda. People who love soda given doesn't love candy is 1.88x more likely than love soda given love candy. People who doesn't love soda given love candy is 1.78x more likely than doesn't love soda given doesn't love candy.  Let’s say the prevalence or prior probabilities for people who love candy is 42.86% (odds of 0.75x or chances of 100 for every 233), and for doesn't love candy is 57.14% (1.33x or 100 for every 175), whether or not love soda. In a world of people who love candy, 33.33% (0.50x or 100 for every 300) is love soda, let’s say, and 66.67% (2.00x or 100 for every 150) is doesn't love soda. In a world of people who doesn't love candy, 62.50% (1.67x or 100 for every 160) is love soda, let’s say, and 37.50% (0.60x or 100 for every 267) is doesn't love soda. Thus, people who love candy is 0.53x as likely love soda as doesn't love candy. Also, love candy is 1.78x as likely doesn't love soda as doesn't love candy. We know this as the Likelihood Ratio, Risk Ratio, or Bayes Factor.  Therefore, which is more likely? In a world of people who love soda, the posterior probability of love candy is 28.57% (0.40x or 100 for every 350), and doesn't love candy is 71.43% (2.50x or 100 for every 140). In a world of people who doesn't love soda, the posterior probability of love candy is 57.14% (1.33x or 100 for every 175), and doesn't love candy is 42.86% (0.75x or 100 for every 233). The probability of people who love candy, and love soda is 14.29% (0.17x or 100 for every 700). The probability of people who love candy, and doesn't love soda is 28.57% (0.40x or 100 for every 350). The probability of doesn't love candy, and love soda is 35.71% (0.56x or 100 for every 280). The probability of doesn't love candy, and doesn't love soda is 21.43% (0.27x or 100 for every 467).  Sensitivity analysis:  What would the prevalence or prior probabilities for people who love candy, and doesn't love candy, whether or not love soda, need to be such that in a world where love candy given love soda, and doesn't love candy given love soda, that both these posterior probabilities are equally likely? In other words, we’d be indifferent? The prevalence of love candy would need to be 65.22% (1.88x or 100 for every 153), and doesn't love candy would need to be 34.78% (0.53x or 100 for every 288), all else being equal. Similarly, what would the prevalence or prior probabilities for people who love candy, and doesn't love candy, whether or not doesn't love soda, need to be such that in a world where love candy given doesn't love soda, and doesn't love candy given doesn't love soda, that both these posterior probabilities are equally likely? In other words, we’d be indifferent? The prevalence of love candy would need to be 36.00% (0.56x or 100 for every 278), and doesn't love candy would need to be 64.00% (1.78x or 100 for every 156), all else being equal.  What would the consequent probabilities or likelihoods for people who love soda given love candy, and doesn't love soda given love candy, need to be such that in a world where love candy given love soda, and doesn't love candy given love soda, that both these posterior probabilities are equally likely? In other words, we’d be indifferent? The likelihood of love soda given love candy would need to be 83.33% (5.00x or 100 for every 120), and doesn't love soda given love candy would need to be 16.67% (0.20x or 100 for every 600), all else being equal. Similarly, what would the consequent probabilities or likelihoods for people who love soda given doesn't love candy, and doesn't love soda given doesn't love candy, need to be such that in a world where love candy given love soda, and doesn't love candy given love soda, that both these posterior probabilities are equally likely? In other words, we’d be indifferent? The likelihood of love soda given doesn't love candy would need to be 25.00% (0.33x or 100 for every 400), and doesn't love soda given doesn't love candy would need to be 75.00% (3.00x or 100 for every 133), all else being equal.  What would the consequent probabilities or likelihoods for people who love soda given love candy, and doesn't love soda given love candy, need to be such that in a world where love candy given doesn't love soda, and doesn't love candy given doesn't love soda, that both these posterior probabilities are equally likely? In other words, we’d be indifferent? The likelihood of love soda given love candy would need to be 50.00% (1.00x or 100 for every 200), and doesn't love soda given love candy would need to be 50.00% (1.00x or 100 for every 200), all else being equal.  Similarly, what would the consequent probabilities or likelihoods for people who love soda given doesn't love candy, and doesn't love soda given doesn't love candy, need to be such that in a world where love candy given doesn't love soda, and doesn't love candy given doesn't love soda, that both these posterior probabilities are equally likely? In other words, we’d be indifferent? The likelihood of love soda given doesn't love candy would need to be 50.00% (1.00x or 100 for every 200), and doesn't love soda given doesn't love candy would need to be 50.00% (1.00x or 100 for every 200), all else being equal.",True
@elliotyip9844,2023-08-01T06:02:56Z,1,Small bam? No. TRIPLE! Thank you for explaining the logic behind Bayesian statistics so clearly.,True
@onlined4563,2023-07-21T15:38:07Z,0,"Great video, but please stop with the Bam shit.. its so annoying!!",True
@nonameneeded7996,2023-06-07T19:59:05Z,1,you are the best! now im going to BAM the subscribing button,True
@hemm2333,2023-06-03T14:08:42Z,25,One of the best key points to take is the longer form of representation of conditional probability. Never seen this explained in such great and easy detail than here. The longer notation makes everything so easy and simple to understand. You've a great talent to make the subject easily comprehensible for everyone. No other video in YouTube has put this concept in such a simple way to understand. Thanks & Triple Bam....❤,True
@defiverr4697,2023-06-03T06:06:29Z,0,"The probability of the video being clear is zero. Clear means to explain it to an ant or a gnat in such a way to get the concept, no matter how small brained and illiterate the ant or the gnat are.",True
@diato2993,2023-05-31T04:54:10Z,0,"Thanks for the brilliant Video! It really helps me a lot. :) Besides, I have a question.  As far as I understand, this Video explains about that Posterior Probability is closed to Likelihood X Prior Probability.  Well I am reading a Paper about VQ-VAE and the author has written on the paper  ""the prior is learned rather than static"", which I assume that is about prior distribution.  I want to know if there's any difference between prior distribution and prior probability. Or are they the same?  Or am I missing something important?",True
@hemm2333,2023-05-29T12:11:55Z,1,"How many of you, like me, love to watch his videos to listen to Bam, Double Bam,  Triple Bam... ❤❤❤",True
@shae6557,2023-05-09T23:17:44Z,2,I was struggling to understand Bayes Theorem in my biostats class and this video explained it so well. Thank you Josh!,True
@sdsa007,2023-05-09T21:35:37Z,1,"another brilliant insightful tutorial, perfectly memorable!",True
@koryhardcastle81,2023-04-20T07:32:24Z,1,I started this video and instantly jumped to subscribe. I love stats and you are the BEST at teach stats! Had to come back and comment just to make sure you know it :),True
@dlsgaming18,2023-02-20T11:13:15Z,1,Dude how do you do this?   You save my nearly 50 hour of time.,True
