author,updated_at,like_count,text,public
@krishnaik06,2024-03-05T13:26:30Z,21,"If you like the video,please consider subscribing the channel 😊",True
@kennyokoye4927,2024-05-23T09:58:41Z,0,"Good video. However there's a mistake you made. You said Django and flask are only for front end, but that's not accurate. It can be used for backend and API integration.",True
@user-ns6et8lz2x,2024-03-11T08:52:43Z,0,Please Make Web Development Full Course in one Video Please bro please,True
@prateekkhodke92,2024-03-10T03:45:10Z,0,How I use cloud concept in my project,True
@rishiraj2548,2024-03-09T11:06:11Z,0,Great thanks,True
@ShubhamNarkhede1920,2024-03-08T00:53:19Z,0,"sir can you share some perfectly resume and projects , like one giving idea how it should look like",True
@Hariharan-yy7nu,2024-03-07T18:33:40Z,0,"Hlo sir,I request you to tell me or upload a video on your YouTube channel about any open source gen ai that gets videos as an input and respond to it in text format.",True
@Farshid_Hesami,2024-03-07T03:04:55Z,0,🙏🙏🙏🙏🙏🙏🙏,True
@mahikhan5716,2024-03-06T23:07:06Z,7,Please Krish make a end to end data science project with taking much time where everything can be covered as required so that it will be really beneficial for us,True
@mahikhan5716,2024-03-06T23:03:30Z,0,"But Krish just would like to know that humbly whatever u mentioned some projects as for “resume for data science “ will they cover what u mentioned this video ? Secondly , u r implemented many end to end videos so from that we typically do the same just follow ur videos but actually what we need to focus for aiming interviews perfectly ?",True
@acousticyuvi3989,2024-03-06T20:40:43Z,0,Can you help me to perform aspect based sentiment analysis? I want to calculate the polarity score of different features available in each review according to their polarity words. I really need to implement this for my college project. Please reply me as soon as possible. I really need to implement this as soon as possible.,True
@pabloparacetamol1714,2024-03-06T13:00:27Z,0,"just a simple question Krish, as an undergrad, should i pursue ai /ml (scope hai) or not . I am very much interested in this domain but it isnt worth if theres no job for undergraduates",True
@mohsinkh8004,2024-03-06T05:19:43Z,1,sir pls  make video on data science project implementing mongodb database,True
@pubgclutch7719,2024-03-06T04:13:20Z,0,Can you please create same for the data analyst sir?,True
@Glorytroly9092,2024-03-06T02:39:37Z,0,Ai will replace data scientists 😢😢😢😢,True
@Glorytroly9092,2024-03-06T02:38:49Z,0,Make a video on latest video advancements in AI replacing Data Science,True
@harmandeepsingh8683,2024-03-05T20:55:11Z,0,can you provide one of project which covers all aspects,True
@yashkesharwani8419,2024-03-05T20:45:54Z,0,Thank you krish,True
@godgdfhackergod3836,2024-03-05T18:47:56Z,2,vai plzz make video how to make Freshers Resume With ATS Friendly. with tutorial Please,True
@sathya.r3148,2024-03-05T15:47:43Z,0,Thank's a lot sir!,True
@firastlili,2024-03-05T15:20:06Z,0,"Very informative video , I appreciate your effort .",True
@HariHaraChandar,2024-03-05T14:06:43Z,1,@krishnaik06 Do we really need to create ML Pipelines using software designs and principles?,True
@ku_lifestyle2639,2024-03-05T13:54:37Z,0,Hi Krish... what is the software name you used for writing ?,True
@denissobczyk9363,2024-03-05T13:09:55Z,0,"So much appreciation for this video, many thanks Krish!",True
@rahulme,2024-03-05T13:09:04Z,0,I want to share my project please krish its best. U will ve impressed,True
@RamakrishnaThogari-qn1ds,2024-03-05T12:57:15Z,0,Thankyou Sir for your support in letting us know about real world industry projects❤,True
@shubhamsharmaofficial04,2024-03-05T12:56:09Z,20,thanks for making this video sir please bring a video on how to come in top1% data scientists of world it really needed sir,True
@nosaadel99,2024-03-05T12:41:28Z,0,Just on time!!!,True
@amolnayakawadi6713,2024-03-05T12:36:38Z,0,"sir, as a data scientist should i also need to learn javascript,react ,node js or html becoz there is some companies mention these skills in there GD",True
@user-mi9ho1ro2r,2024-03-05T12:35:49Z,1,github link not working,True
@sci-fiedu1699,2024-03-05T12:34:15Z,0,Krish your github link are not working,True
@divyaramesh0101,2024-03-05T12:33:56Z,0,Thank you Krish sir.,True
@akshayvanjare8,2024-03-05T12:31:27Z,0,"Hello Sir, I am getting a 404 error for GitHub Link",True
@AV_Kumar,2024-03-05T12:31:13Z,2,Can you make a video on how to explain the project to the interviewer ?,True
@redaabakhti768,2024-03-05T12:22:42Z,0,Thanks a lot.,True
@rishiraj2548,2024-03-05T12:20:43Z,0,🙏🙂👍,True
@Shakthihome,2024-03-05T12:16:19Z,0,Useful info sir. Thanks a lot,True
