author,updated_at,like_count,text,public
@sandipankarmakar,2022-02-12T13:03:55Z,0,Can anybody enlighten me how to get a new battery for MSI GF63? Battery of my lappy is fully down...,True
@altraacegaming,2021-06-29T08:33:55Z,1,Is that GTX 1660ti is enought for deep learning as a student perspective. Pls reply sir 🙏🙏🙏,True
@ashiqsubair8349,2021-01-09T07:08:02Z,1,Should i get ryzen or intel for machine learning/deep learning,True
@aliali-ds9zj,2020-12-02T17:38:58Z,0,What piece of iron is in the bag with the instruction book? Kan you help,True
@SpellboundHaven,2020-08-23T23:12:22Z,0,"Guys, Please do a video on the Story of a person without a degree become Data Scientist. I don't care whether it is a Successful one or not.",True
@rish_hyun,2020-08-06T04:27:41Z,1,"Sir , is MSI alpha 15 suitable for machine learning?? It has Radeon RX 5500 M graphics",True
@hrushikeshsawant9997,2020-07-17T19:01:47Z,0,Acer predator Helios 300 or asus Zephyrus m gu502 for Machine learning and deep learning???????,True
@chidipothusandeep9928,2020-07-14T01:40:09Z,1,"Sir , can you please make a video on hyperparameter tuning of isolation forest algorithm and what should be the scoring parameter in RandomizedsearchCV to find the outliers best I have already seen your video on credit card fraud detection (dataset from kaggle) can you please add the hyperparameter tuning part for that video",True
@fantomraja9137,2020-07-13T12:58:27Z,5,"so, guys if u r getting a laptop of desktop for deep learning, go for the one with rtx series.",True
@fantomraja9137,2020-07-13T12:56:56Z,1,Could have bought rtx 2060 for extra 10k rupees. Has 250 tensor cores. (Facepalm),True
@anilkrajamoni1484,2020-07-13T10:54:57Z,0,"Hello sir , could you please make a video how to setup GPU for DL in gaming laptop",True
@raveensharma6738,2020-07-13T08:52:03Z,1,Sir you must try Dell products they have amazing engineering laptops with much more advanced tech after merger with EMC ... Please let me know if you need any info for Dell products..I work in Dell International as Data Analyst ...,True
@chitranshtarsoliya7378,2020-07-13T05:03:21Z,0,"Should I buy this for deep learning   ASUS TUF Gaming FX505DV 15.6"" FHD 120Hz Laptop RTX 2060 6GB Graphics (Ryzen 7-3750H/16GB RAM/512GB NVMe SSD/Windows 10/Gun Metal/2.20 Kg), FX505DV-AL026T https://www.amazon.in/dp/B07VRLX5Y9/ref=cm_sw_r_wa_apa_i_25VcFb95CBS05",True
@OriginalBernieBro,2020-07-12T21:38:11Z,2,I have the rog zephyrus g14,True
@unknownone3532,2020-07-12T19:28:08Z,1,"i have send you a mail, pl check it sir...🙏🙏🙏",True
@darshitsolanki7352,2020-07-12T18:34:52Z,1,Grt laptop 💻 krish,True
@mdkhalidsiddique5052,2020-07-12T17:36:17Z,8,It has corona Lol😂,True
@yashkhurana9170,2020-07-12T17:19:49Z,4,I am planning to buy the Dell XPS 15 for Deep Learning. Can someone share if it is good or not?,True
@saishdalvi,2020-07-12T16:47:08Z,2,hp laptop vs dell laptop,True
@Tech_Bitz,2020-07-12T16:36:27Z,1,Can you please send configuration ? URL for that system,True
@socially_apt,2020-07-12T15:48:37Z,3,Legion muja da do krisk bhai,True
@K-mk6pc,2020-07-12T15:11:26Z,1,Sir are you from karantaka ??,True
@sultanehind5884,2020-07-12T15:02:24Z,6,"Sir, believe me Legion is a far better laptop than GL63 as it simply has a transient charm on unboxing for its new. Time will prove the machine",True
@neerajshrm17,2020-07-12T15:01:14Z,1,Hello,True
@tajammultajju5073,2020-07-12T14:57:57Z,3,Hi sir  I want to know abouth your qualification becous i want to become a data scintist and sir which is better Bsc or Btech to becom a data scintist   Sir plz reply me,True
@siddheshbalsaraf1776,2020-07-12T14:56:04Z,1,hello sir,True
@42xzero,2020-07-12T14:53:45Z,3,You should have gone for GS66 😩,True
@tneuron83,2020-07-12T14:41:44Z,2,Mr. Naik thanks for complete deeplearning playlist your teaching method is nice,True
@JaydeepSinghTindori,2020-07-12T14:38:37Z,2,I am looking for a laptop for climate imformatics. Please let me know.,True
