author,updated_at,like_count,text,public
@Sdaye-on5ix,2024-03-01T11:40:13Z,0,Thank you for sharing this opinion,True
@kaushiki.sharma,2024-01-12T07:29:04Z,0,"Alexa, play Alextheanalyst",True
@m.riddle824,2023-12-10T23:37:02Z,0,Or you end up paying for the name of the institute offering the course..,True
@MrItachitee,2023-09-25T18:21:33Z,0,What do you look out for in a good curriculum?,True
@gohilpravin7157,2023-09-23T15:18:06Z,1,Subscribe😮😮😮😮😮,True
@SlishSlosh,2023-09-20T04:45:40Z,0,"If you want the strongest chance of getting a data analyst job while spending the least amount of time and spending the least amount of money, well keep dreaming. But through WGU you can realistically graduate start to finish with a bachelors in 1 year. That’s $8k in tuition I think. You’ll have a solid amount of information and a solid foundation to learn new things as they show up in the tech world.",True
@brendamg7298,2023-09-10T14:21:59Z,0,Good,True
@keepitshort4208,2023-09-10T07:04:23Z,7,"Information is suppose to be free, so its better to make an effort to learn it from somewhere else that offers it.",True
@autobotstracker638,2023-09-07T02:32:20Z,0,I need a mentor,True
@syedzain2446,2023-09-04T15:30:20Z,1,Is data analyst from Coursera is good ...! Please give your review on that because I'm planning to switch to this field and I have limited budget. Your review can save my money and time.,True
@robincoorewa3110,2023-08-30T18:09:05Z,0,"@alextheanalyst  Please, can I just learn python alone for data analyst, or is it compulsory to learn all(python, Excel, sql, tableau)?",True
@collinschukwualuka8706,2023-08-30T11:59:16Z,0,When is your Data Bootcamp starting?,True
@zr0114,2023-08-29T17:10:41Z,1,"When you were an Analytical Manager, and was hiring a new employee. Would you look at their school, or would you accept that everything they learn was from YT by Alex?",True
@franciscocampos7197,2023-08-29T14:23:10Z,0,What do you guys think of TripleTen Data Analyst and Data Science Bootcamps?,True
@saverna1,2023-08-29T09:48:10Z,4,I save up for grad school courses through my University after spending time studying free content. It's a great way to network and build a formal portfolio along with building a formal foundation that is recognized internationally. Many courses cover memberships to professional publications and groups that would be out of a typical self study persons reach. 10 courses is a Masters degree and you can usually take your time to do a few certifications before rolling your experiences into a degree,True
@juninlow5972,2023-08-28T10:48:57Z,0,What about data analyst bootcamp from Vertical Institute? Worth it?,True
@suyunovasilbek5705,2023-08-27T13:41:43Z,14,Presently I am learning data analysis from coursera and I hope the skills and technology i learn from them still valuable,True
@vishalgoswami7512,2023-08-27T08:33:15Z,0,hey  i am learning sql and want to practice it  can you please suggest me how to do that ?,True
@mayowaadeolamrmighty3731,2023-08-26T10:46:46Z,0,How do I join this bootcamp,True
@ahmedel-barbary6552,2023-08-25T15:34:20Z,0,How to join this bootcamp?,True
@ordinaryguy4181,2023-08-25T13:14:07Z,1,Can you recommend some boot camps?,True
@donnelly5757,2023-08-25T05:44:58Z,0,"Alex’s Bootcamp, a few portfolio projects, some Pro Bono work if you can find some, and NETWORKING, that’s mostly all that you need. I know of people who did bootcamps and or have degrees and still cannot find a job.",True
@mr.legrandzeh3577,2023-08-24T21:29:33Z,4,The great Alex the Analyst. I want to be behind you. I'm almost done with your Analyst bootcamp and I have taken some courses in udemy.  I hope for the best Sir,True
@emilbobev8381,2023-08-24T19:11:30Z,1,I feel like my masters degree in Data Science is just like the boot camps you are talking about,True
@andresramirezortega6218,2023-08-24T16:56:35Z,7,What about your bootcamp?,True
@reshuraj5005,2023-08-24T16:15:24Z,2,Me too confused between two options.. Alex always on Time...!!,True
@justicenwachukwu6109,2023-08-24T15:40:19Z,0,"Hello Alex,  Please can you help me data consultation proposal template? I am trying to reach out to companies as a data consultant, please I need a proposal template. I will sincerely appreciate of you could help with one or any info that could help.  Thank you.",True
@jamiuabdulhameed6380,2023-08-24T15:30:05Z,3,"I thought this only happens in Nigeria, data analysis is an entire career you; you need more than 3 months of learning to excel",True
@vishalgoswami7512,2023-08-24T13:37:49Z,1,Hey Alex Just completed the SQL course from your videos  Can you please suggest what I should do now?,True
@kimmaekhyun,2023-08-24T13:28:34Z,3,What a coincidence! I'm planning on joining a 12 weeks (345 hrs) data science bootcamp that cost about 1300 usd (in my country that's like 3-4 months worth of income) with an internship & job connector program. I'm curious as to how can I make the most of this opportunity so I wonder if you can talk about it more on this platform :),True
