author,updated_at,like_count,text,public
@tusharmishra1405,2020-03-28T20:15:31Z,0,Sir Upload a video of applying ML algo with use caes having multiple training datasets.Thank you for your motivational videos..👍,True
@pratikpotdar5683,2020-03-28T18:33:21Z,0,"Hi krish, I have year of experience in data science I worked as a data scientist in startup company,but now I am placed in one MNC company as informatica developer. Could you please suggest me that how can I get a position of Data scientist there?",True
@ankushbose5078,2020-03-28T17:47:30Z,1,"I'm revising my 3rd sem subjects, brushing my coding skills and making android apps in Flutter. And most importantly helping my mom.",True
@DonutTechBites,2020-03-28T17:45:37Z,1,Sir I have taken ineuron course it's great start 😃,True
@farazahmed1668,2020-03-28T16:42:39Z,1,"Hello Krish sir please make a video on Coursera courses regarding machine learning and python programming, thank you",True
@rameshg5170,2020-03-28T16:18:38Z,1,Thank you brother,True
@arnabchanda2609,2020-03-28T16:10:43Z,3,"Btw I love how you're contributing to this Data Science & AI community.. You're guiding a lot of learners like Us, Thank you Sir.",True
@arnabchanda2609,2020-03-28T16:08:27Z,1,"Being an IT student, I've completed the IBM specialization in Coursera. But, It's not enough still, my question is, Is it mportant too gather certificates in DataScience to show competency ? Are the high end certification courses worth it to acquire jobs or put weightage in the resume?",True
@anketlale3945,2020-03-28T15:49:44Z,2,"For us , IT person need this type of videos ❤️",True
@sarathmaya6083,2020-03-28T15:35:06Z,1,Thank you sir..,True
@varmaakash1,2020-03-28T15:29:24Z,1,No one is responding from ineuron can you pls help me want to take course,True
@therelatablecoder4223,2020-03-28T15:25:37Z,1,"Hi Krish,will you be going live on Sunday?",True
