author,updated_at,like_count,text,public
@krishnaik06,2021-04-25T13:53:39Z,31,Remember before using you need to have basic knowledge of all the plots :),True
@FnuHasham,2024-04-29T06:52:58Z,0,How do we install?,True
@eswarreddy549,2024-01-21T14:08:31Z,0,Is this applicable for any file dude...i had like to do it with Excel file,True
@user-wb7kd3vs3q,2023-12-22T12:30:26Z,0,dope intro,True
@wasifuad2842,2023-08-05T01:38:12Z,0,What if there is multiple dataframes/tables from a database? Is it possible to use this?,True
@vyankateshkongari5128,2023-07-09T12:55:02Z,0,Thank you very helpful information within a minute we got a all bivarate analysis,True
@owoyaleismail2898,2023-01-20T15:01:04Z,0,"How can I solve this error : ""image size of 1500x87200 is too large. It must be less than 2^16 in each direction",True
@obaydullahalnumanhasib451,2023-01-09T07:02:30Z,0,"why i get error ""'str' object has no attribute 'AutoViz_Main'"" in dtf=AV.AutoViz line.",True
@daneshrepalle6408,2022-08-20T12:39:00Z,0,Thanks for amazing video Krish.  I have a small doubt mostly when we are doing EDA at least  categorical variables always  combine with target variable and do right? Do we have that option  as well?,True
@laythherzallah7421,2022-06-29T17:26:49Z,0,Thank you Krish,True
@nidhi_singh9494,2022-05-21T08:14:27Z,0,ImportError: cannot import name 'TypeGuard' from 'typing_extensions' (C:\Users\nidhi\anaconda3\lib\site-packages\typing_extensions.py)   Why I m getting this kind of ImportError after installing AutoViz . please Reply . Thank you,True
@_SanchitaPatil,2022-05-18T12:10:32Z,0,"Its showing  Could not draw wordcloud plot for Order ID Could not draw wordcloud plot for Product ID??",True
@soloveyandriy,2022-04-10T06:25:33Z,0,"I tried it on my dataset, got the following a message, however no plots were displayed. Please, advise  Shape of your Data Set loaded: (476, 42) ############## C L A S S I F Y I N G  V A R I A B L E S  #################### Classifying variables in data set...     42 Predictors classified...         12 variables removed since they were ID or low-information variables 5 numeric variables in data exceeds limit, taking top 30 variables Number of All Scatter Plots = 15 Could not draw wordcloud plot for geoPath Could not draw wordcloud plot for ownerName Time to run AutoViz = 11 seconds    ###################### AUTO VISUALIZATION Completed ########################",True
@naveedahmed9785,2022-03-07T15:56:22Z,0,"Hi,  Everything works fine. It shows 'Auto Visualization Completed' but i do not see a single visual there. Anything wrong that i am doing there.",True
@technoriderssquad2951,2021-11-23T17:42:30Z,0,Sir if data is excel ...what we have to write in Sep ??? Plz tell sir,True
@sandipansarkar9211,2021-09-30T20:39:54Z,0,finished watching,True
@NCHANDRASEKHARPHD,2021-09-17T07:16:32Z,0,"from autoviz.AutoViz_Class import AutoViz_Class  AV = AutoViz_Class()  when i run above code line in jupyter   it shows error : ModuleNotFoundError: No module named 'wordcloud'  what to do?",True
@louerleseigneur4532,2021-07-19T21:44:57Z,0,Thanks Krish,True
@basfriends,2021-05-26T08:12:13Z,0,Very useful for quickly impressing management :P,True
@Amir-gt7xn,2021-05-08T10:41:52Z,0,"Amazing, man! Thanks for sharing",True
@adarshkumar2542,2021-05-07T06:47:01Z,0,Got file encoding decoder does not work for this file,True
@kandulasatish8032,2021-05-04T15:36:14Z,0,When we should use if data set contains missing values,True
@ramseshadri8404,2021-05-02T13:28:44Z,0,Thank you Krish for a fantastic video on AutoViz - really appreciate it!,True
@alperensayar9679,2021-05-02T03:26:00Z,0,Thanks for everything. U re amazing.,True
@nadeemqureshi9779,2021-04-30T12:49:36Z,2,Superb! Autoviz just saved me a ton of effort in preparing such detailed plots.,True
@subhamsaha2235,2021-04-30T11:43:31Z,0,ImportError: cannot import name 'delayed' from 'sklearn.utils.fixes' showing me this dont know what to do,True
@doraveeravenkatasaisrisuja3565,2021-04-29T12:58:09Z,0,"please make a video on google model search sir https://github.com/google/model_search",True
@dennissamuel324,2021-04-29T07:48:07Z,0,Pandas profiling - 🙄,True
@ashwing8920,2021-04-29T03:08:49Z,0,"Im getting these errors ...   File encoding decoder utf-8 does not work for this file File encoding decoder iso-8859-11 does not work for this file File encoding decoder cpl252 does not work for this file File encoding decoder latin1 does not work for this file None of the decoders work... Not able to read or load file. Please check your inputs and try again...   did some search online to understand that the UTF-8 error needs to be fixed and saved my csv file as ""CSV UTF-8 (Comma delimited) (*.csv)"" as the desired file format but no luck ... Can you help ? ..",True
@suneethach4052,2021-04-27T13:00:17Z,1,"Hi Krish. Awesome work, I just now worked on it, successfully done. So much informative. Thank you so much.. 👍👍👍",True
@ajithanbharathi6272,2021-04-27T11:48:51Z,0,"AutoViz() missing 1 required positional argument: 'filename'....  i am getting this error .what i have to do?",True
@shahfahadhossain284,2021-04-27T10:11:09Z,0,So much informative. Thanks for sharing. Now It will reduce the time and LOC also.,True
@0SIGMA,2021-04-27T02:44:31Z,2,❤️❤️ thanks !,True
@vamsikrrishrocks,2021-04-26T22:49:22Z,1,Anything similar for R ?,True
@OriginalBernieBro,2021-04-26T16:03:38Z,1,"Holy sh!t, adding this to my library quiver.",True
@baskarkevin1170,2021-04-26T11:52:25Z,0,TypeError: AutoViz() missing 1 required positional argument: 'filename' I am getting above error,True
@abhijeetpandey1253,2021-04-26T11:34:14Z,2,"I am unable to load the dataset. It is showing there ""Not able to read or load file. Please check your inputs and try again...""",True
@data_analytics_study,2021-04-26T09:38:49Z,0,Thanks it's useful,True
@suvarnadeore8810,2021-04-26T09:09:26Z,0,Thank you sir,True
@santhiyar8349,2021-04-26T06:58:38Z,1,Do we have something like this for analysing an image dataset,True
@RaviTeja-fx7ob,2021-04-26T05:23:51Z,1,"I tried this using time series data set, the time series is not considered as continuous variable. the run shows, Number of Date Time Columns =  0, Is there any specific format for date ?",True
@mehreenkhan7356,2021-04-25T23:18:14Z,2,how we import the file name ? I am trying it but i am getting the error. kindly help me that which folder i will ulpoad in filename?,True
