author,updated_at,like_count,text,public
@KenJee_ds,2023-11-29T19:09:30Z,1,"Thanks for watching! What is the answer to my secret question?  Also, thanks to RaskAI for supporting the channel check out their awesome translation platform here: https://bit.ly/rask_ken Use ""KEN20"" for 20% off!",True
@atharvamohite66,2024-02-26T17:08:21Z,0,Sorry for disturbance I has a question about From where to start to become data scientist For example which institute are good in india,True
@__a8as,2024-02-20T23:44:39Z,0,you looked sma rter before you started talking,True
@huda6738,2024-01-19T21:49:57Z,0,"Hi Ken,   What do you think of studying a double major in data science and information technology?",True
@borishagain,2023-12-08T09:03:27Z,1,"Loved the analysis, very detailed on the things that chat GPT is good at doing; which shows how important we have to be mindful of the tasks we give to it and the answers it generates. Thank you for the video👍",True
@LukeBarousse,2023-12-01T04:15:12Z,1,Phew 😅that was a close one 😂,True
@mamamikazala,2023-11-30T22:03:11Z,0,"If you want to take legit online IQ test try danish and norwegian websites of mensa - scores from those tests have very strong correlation with official mensa tests. Also: there are no different types of intelligence. It's an interesting idea, but it has been debunked.",True
@Ibraheem_ElAnsari,2023-11-30T13:41:32Z,1,You've always been Ken Jeenius for us 🌻 Also btw that IQ ranking video was suggested to me right after the end of your video 😂 I'm glad tho it seems this type of tests has not been a huge part of the model training behind ChatGPT,True
@patfov,2023-11-30T13:00:41Z,2,Hi Ken. The secret question in Spanish is ¿Eres más listo que ChatGPT? Thanks for the video!,True
@jekyl-gaming,2023-11-30T12:47:25Z,5,"If you want to actually learn about IQ I would recommend talking to a psychologist instead of researching consumer web-based IQ products.  When a psychologist tests for intelligence they use the Wechsler Adult Intelligence Scale version 4. This test is administered in person, and ChatGPT couldn't do it because you need to have a physical body to take the test.  If we research the embodied nature of cognition (see Metaphors we Live By - Lakoff) we learn that human cognition separated from the body is impossible - which makes us wonder what we would be measuring with the intelligence of a bot",True
@codingcrashkurse6429,2023-11-30T12:13:30Z,1,"Interesting. I did a quite extensive IQ Test too and it scored 65, which was honestly quite underwhelming. I used GPT-4-Vision and German language and it did 0/10 tasks correct in the math category.",True
