author,updated_at,like_count,text,public
@venkatasaitejamothukuri272,2023-09-10T07:15:19Z,0,"Hello sir You explained topics very clearly with real time examples where we can get the idea of applying these stats in real time, but there is one concern about  where can I get the videos of Population Distribution, Sample Distribution, Sampling Distribution, concept fo skewness, variance, standard deviation and some of the topics you didn't cove",True
@aleenakotadiya8629,2023-07-05T14:25:07Z,0,How do you select sample from the population? Is it done randomly or are their any specific criteria to it?,True
@techsigmarobots,2023-05-29T12:19:01Z,0,Thank you sir.   All clear,True
@krishnavamsi7656,2022-08-22T02:46:40Z,0,"Hi sir, In the last part of video you said sample mean is smaller than population mean, but it need not be the case right, if the sample selected has more values higher than population mean? Or is my understanding wrong?",True
@nikitajain9398,2022-08-17T18:14:05Z,0,Why population mean more than sample mean..... . Sample we have selected might be also have higher values,True
@kishorswami3602,2022-04-10T04:04:40Z,0,sir your lecture is good but audio quality is very bad...,True
@TheDataEnthusiast,2022-02-23T18:16:58Z,2,3:03 What is population 4:13 Mean 5:40 Sample 7:46 Population mean vs Sample mean,True
@indirajithkv7793,2022-02-19T17:14:56Z,0,❤💫,True
@eminembts2832,2022-02-02T16:21:04Z,0,the main purpose of using sample mean is that we cant calculate huge mean for population then what is the use of the formula for h(i) in poppulation mean  shouldnt that be x bar instead of h(i),True
@write2ruby,2022-02-01T10:09:14Z,1,• Population is a collection of all items of interest (N). • Sample is a subset of a population (n) . • Parameter – It is a value that refers to a population.  • Statistics – It is a value that refers to a sample.,True
@kuldipmishra864,2022-01-31T15:53:51Z,1,Hi Krish video was really helpful but I am not agree with you last point where you have concluded that population mean will be grater than sample mean,True
@INDRAJEETKUMAR-vz3dw,2021-10-06T09:33:07Z,0,I think sample mean is not always less than the  Population means its may be some time greater than the population means.,True
@msarkar1960,2021-09-09T16:48:43Z,0,"Hello, dear Krish, Please create and upload on statistics that required Data science. Because your 31 viedos is not enough for data science according to your mentioned syllabus . So please please",True
@sushnandy44,2021-08-28T11:38:08Z,0,Your lecture is very good and easy to understood.Plz improve sound quality on this video,True
@veerji3467,2021-08-17T06:36:39Z,0,Example :- How sample mean will be Greater by Population mean.  50 over match.  For sample :- balls hitting for boundaries (4&6).  So S.M> P.M. 😀,True
@spadbob24,2021-07-15T14:49:37Z,0,Aap modern day guru ho 🙏🏻🙏🏻,True
@darklord1781,2021-07-07T09:32:36Z,1,How the population mean always greater than sample mean ? As we can select a sample with size n with all the n maximum blues of the population in that case sample mean would be greater,True
@louerleseigneur4532,2021-07-04T22:18:05Z,0,Thanks Krish,True
@abrahamowos,2021-05-29T11:10:08Z,0,"Lol, Krish your writing has gotten a lot better as compared to your recent videos. Thank you for all you do.",True
@ittecheval1868,2021-05-16T08:22:31Z,0,it is awesome explination,True
@abu.selim26,2021-05-10T15:24:47Z,1,Thanks,True
@prashantkumarvishwakarma8645,2021-02-22T09:33:51Z,0,Sir it's useful in data science,True
@kapilpoonia9283,2021-01-14T08:14:48Z,1,"Thank you sir for the video, but why is sample mean smaller than population mean, what i feel like is, it most probably it can't be equal to population mean, but smaller or greater will depend on sample",True
@ashishdhiman4097,2021-01-05T08:15:36Z,0,"Why is the sample mean less than population mean. I mean it can be larger or smaller depending on sample data. Where am I misinterpreting ,please help!!!",True
@ravinirala9990,2020-12-18T19:59:31Z,0,why population mean is greater than sample mean? It may be possible that people in sample set are people who come in upper range of height and in that case sample mean will be greater.,True
@nothingwrong988,2020-10-09T07:20:04Z,0,"Hello Sir,  In the case of Sample Mean, we need to divide it with (N-1), where N represents the total number of population. Please share your response..",True
@vijaykumar-yq7sf,2020-09-30T18:21:34Z,1,Note: The sample size is 10% of the population.,True
@mridulaggarwal6229,2020-09-29T11:37:06Z,1,Why will sample mean be less than population mean?,True
@shubhamkhanapure8780,2020-09-18T03:59:45Z,0,Hey Krish your content is amazing but the sound quality of this series is not good. Please try to improve and your efforts is really appreciated. Thank for giving such a good content.,True
@sandipansarkar9211,2020-09-14T11:39:25Z,1,great explanation kirsh about the basics of stats to be used in data science,True
@shivaprasadshirawar6235,2020-09-14T06:42:11Z,1,I decided to enter into data science field by watching your videos only Sir. The content and your efforts are really amazing.BTW Are you from karnataka sir?. I'm from karnataka,True
@suggemsharathchandra5991,2020-09-07T17:17:44Z,1,Are this videos in right ordered ?,True
@anilkumarsahu3895,2020-08-20T04:42:16Z,3,Video is really appreciable ..  Sir audio quality improve kariye please.,True
