author,updated_at,like_count,text,public
@shet999,2024-05-28T14:48:59Z,0,very nice,True
@reginaldmaisonneuve7594,2024-05-25T12:40:25Z,0,Great tutorial.,True
@nighthawkgaming1962,2024-04-30T22:25:25Z,0,when i add in a new entry it leaves out the  comma between entrys how do i fix that because it messes with being able to read it also im just using the same code as the write but in the open() i use a to apend it,True
@Vamsibl,2024-04-26T20:02:25Z,1,Crisp & clear to the point! explained beautifully.,True
@NeumsFor9,2024-04-11T14:32:48Z,0,"One thing I would add, Corey. Oftentimes when it comes to exchange rates, precision greater than float is required...... usually to 6 decimal places to the right.   Hope the liver and you are doing well.",True
@adam872,2024-04-09T01:23:36Z,0,That's a fantastic tutorial,True
@tsunningwah3471,2024-04-01T07:31:20Z,0,zhina,True
@kapibara2440,2024-02-23T12:43:51Z,0,Absolutely fantastic tutorial ❤,True
@user-zi8dr7wq7u,2024-02-04T15:40:51Z,0,"great video, how to do this if we have 1600 json files in one folder. Is it possible to do with one function or we need to do one by one opening them ?",True
@niflag,2024-01-26T14:50:31Z,0,How would you use a chainmap with a json response?,True
@AmaroInnovision,2024-01-22T08:53:38Z,0,"The original owner of Angkor Wat was an ancient Thai king which used Indian engineers and Cambodian labors to build it.  King Jayavarman VI belong to Thai​land​. Thailand has clear evidence that Angkor​Wat belongs to Thai​ ​history.  The dynasty of “Mahidharpura” centered on “Phimai” castle and belonged to the same family. (In Phimai district, Nakhon Ratchasima province, Thailand).  -King 6th Jayavarman, the founder of the “Mahitarapura” dynasty in the early 17th century B.E., located at Phimai Castle.  -King Dharnindravarman I (A brother and sister of King Jayavarman VI). Descended from the ""Mahidharpura"" dynasty, located at Phimai Castle.  -King Suryavarman II (Father is King Kasitindradit, mother is daughter of King Hiranyavarman [grandfather] and Queen Hiranya Lakshmi [grandmother]), who built Angkor Wat. Descended from the ""Mahidharpura"" dynasty, located at Phimai Castle.",True
@Yafatttah-sn5nk,2024-01-21T02:12:46Z,0,"I had  404  not found error how i can fix it""¿.",True
