author,updated_at,like_count,text,public
@krishnaik06,2020-10-20T04:49:39Z,34,121/2 is 60.5 :),True
@AnandPrakashIITISMDHANBAD,2024-05-10T01:14:42Z,0,"Thank you so much for this wonderful session, one silly mistake in the video is 121/2 = 65.5, remaining contents are okay.",True
@lol-ki5pd,2024-02-21T12:15:53Z,0,so only one column per decision tree?,True
@chrisogonas,2024-01-31T04:22:25Z,0,"Well illustrated, Naik! Thanks 👏👏👏",True
@khubeb1,2024-01-28T14:25:34Z,0,How you are selecting < 2 and > 2 ? Please clarify,True
@pranavreddy9218,2024-01-18T11:25:26Z,0,"how can we consider first prediction as average, in xgboost regressor using Scikit learn, we see 0.5 as initial prediction,  how to change this 0.5 to average value, can u please ML  model with same data",True
@inderaihsan2575,2023-11-16T08:22:56Z,0,thank you very much!,True
@avinashajmera80,2023-10-18T08:51:10Z,1,similarity weight you  have written fromula sigma (x square) while you are doing square ( sigma x),True
@kdmyt8709,2023-10-12T06:16:51Z,0,Please make one video on in depth intuition on Gradient Boost Classifier Problem.,True
@jamalnuman,2023-07-24T20:15:27Z,0,really great. one of the best explination i've ever seen,True
@alishazel,2023-07-03T08:32:56Z,1,I like this video as among alll videos i can understand your accent i hope you can redo the video .....,True
@karthikeyapervela3230,2023-06-14T07:05:31Z,0,@Krish thanks for the video! If two features have the highest gain and both gains are similar on what basis Xgboost choose which feature to make the split on?,True
@deepkumarprasad6277,2023-04-20T14:01:22Z,0,at 14:17 you output will be average but you say again 20,True
@vatsalkachhiya5796,2023-03-28T21:28:56Z,0,"Hi Kris there is an issue with the similarity formula it should be "" (sum for residuals) squared/ number of residuals+ lambda"" you have written ""sum( ( residuals) squared)/ number of residuals+ lambda"".",True
@bill-billy-bo-bob-billy-jo2573,2023-02-17T21:47:29Z,0,"Krish, RockStar of actually teaching",True
@gouravnaik3273,2022-08-30T11:49:41Z,0,so xgb and gb are similar just the approach for tree creation is differetn in gb we use entropy or gini for information gain and in xgb we use similarity weight for information gain. with some added pruning facility,True
@anmol_seth_xx,2022-08-17T13:09:35Z,0,"After watching the XGBOOST classifier video, this lecture is a bit easy for me to understand. Lastly 1 query, I have, i.e. Till when we have to repeat this XGBOOST REGRESSOR  process?",True
@sidindian1982,2022-08-17T04:36:09Z,0,19:20  .  How The Gamma - Value   150  ..  is set ???   Who assign this ???,True
@suganyasuchithrra6992,2022-06-16T02:40:15Z,0,good morning sir...can you please share LGBM algorithm....,True
@pravinshende.DataScientist,2022-05-07T02:56:27Z,1,I feel xgboost too much complecated so i chose this vedio of krish naik sir  because he make the things very simple so  .. and now lets go ..  Thank you sir very much !!!,True
@santoshhonnungar5543,2022-04-21T10:57:30Z,1,Lots of mistake in this video Krish,True
@vishalpateshwari,2022-04-15T06:23:38Z,0,Can I get more info on Feature Importance calculation and regularization?,True
@v1hana350,2022-03-06T10:19:36Z,0,How can parallelization work in the Xgboost algorithm?  Please explain it with an example,True
@puleengupta3656,2022-02-09T09:14:18Z,0,"When you changed 41 to 42,Average also change",True
@ahimaja2261,2022-01-26T14:12:12Z,0,Thanks,True
@pawangupta8948,2022-01-25T12:30:11Z,0,How did you know which root feature to take?,True
@priyadarshinigangone2490,2021-11-20T15:01:37Z,1,Hey can you please do a video on XGBOOST Regression implementation using Pyspark,True
@ashwinshetgaonkar6329,2021-11-19T05:11:37Z,0,"nice implementation explaination, statquest + this tutorial is a very effective combination to grasp this concept",True
@aryankaushik3761,2021-10-23T05:25:02Z,0,Idk why I'm not understanding this splitting. Why you create output of all on behalf of just one split?,True
@mat4x,2021-10-23T03:12:28Z,2,"For the similarity weight of the root, the square will add up to 405. You just cancelled them all?",True
@anuragshrivastava7855,2021-10-10T17:20:39Z,1,at 12:36 u have calculated gain which shd be 243.58 bt u calculated 143.48,True
@gauravverma365,2021-10-05T13:24:38Z,1,Can we generate the mathematical equations between adopted inputs and output after successful implementation of xgboost?,True
@mdmynuddin1888,2021-07-07T19:38:40Z,5,"avg(-11,-9) will be 10?",True
@samratsakha4274,2021-06-16T07:16:52Z,0,Then. whats the difference between XGBOOST and GradientBOOST sir ?,True
@atomicbreath4360,2021-06-13T18:32:29Z,1,Sir what exactly is difference between base model trees created in gradient boosting and xgboost.?,True
@chenqu773,2021-06-13T09:39:39Z,0,"The moment when your wrote 20/2=10 (instead of -10) as the gain of left branch, I realized what means ""gradient exploding"" :D:D:D Many thanks for these awsome tutorials !",True
@ajaykushwaha-je6mw,2021-06-01T14:52:36Z,0,Best of the Best,True
@phanik377,2021-05-13T04:45:32Z,2,One question: Is it sum of Residual and Square. (or) Sum of Square of residuals ? I think it should be sum of Square of Residual. Which mean we need to Square first and then sum,True
@madhusriram2860,2021-04-21T17:18:20Z,0,Excellent,True
@rafsunahmad4855,2021-03-19T13:43:28Z,0,is knowing  the math  behind algorithm  must or just knowing that how algorithms works is enough? please please please give a reply.,True
@NaimishBaranwal,2021-02-24T06:38:45Z,0,In the output value's formula regularization parameter should be added in the denominator.,True
@morrigancola6154,2021-02-10T16:29:44Z,0,"Hello! The Res 2 will be computed by the difference between the Res1 and the predictions made by the tree 1, right?",True
@ronylpatil,2021-02-09T07:02:37Z,0,Very clear and understandable explanation. Keep posting and keep growing.,True
@sravanakumari3626,2021-02-02T02:52:45Z,0,sir while creating the tree every time from which feature we have to start from. is there any metric for that .,True
@ashwanikumar-zh1mq,2020-12-21T18:34:51Z,1,You are so good,True
@ashwanikumar-zh1mq,2020-12-21T18:33:26Z,0,"Sir please make a video where we start the process for solving a problem and where we use this technique like pca visualize xg boost  Fearure selection , logistic regressions svm liner regression etc  Then we can easily understand the the right path for solving the problem because we have read more things but confused where I start and what use for problem solving  please make a video sir",True
@shivanshjayara6372,2020-12-18T19:44:29Z,0,@14:06 how output could be  the average.....average is taken only for the base model only?,True
@sandipansarkar9211,2020-12-01T10:40:36Z,0,Greatvideo.Veryvery important to gain success in product based companies,True
@gauthammn,2020-11-11T22:15:11Z,0,Very nicely explained. Thank you. Had a quick question. Why do we not use the similarity weight to determine output in regressor xgboost? In classifier xgboost the output is based on sigmoid of similarity weight,True
@mohammadyawar2016,2020-11-06T05:22:19Z,1,Hello Krish! Thank you for making XGboost extremely easy for us :P I have a question: Is that alpha or lambda that you refer to in the similarity weight equation during the lecture?,True
@marijatosic217,2020-11-02T16:33:21Z,2,"First of all, thank you so much for everything you do here on YouTube.  I do have a question,  why is the base value sometimes the AVG and sometimes we calculate it by using the Loss function and finding the first derivative?? Thank you! :)",True
@MittalRajat,2020-10-30T09:07:40Z,0,Kindly send a new discord link. It has expired.,True
@MittalRajat,2020-10-30T09:07:13Z,0,Your discord link has expired,True
@nishiraju6359,2020-10-23T12:02:08Z,0,Nicely explained .. keep uploading more n more videos .. @Krish Naik Sir,True
@devaganeshnair5883,2020-10-22T04:05:42Z,0,Thanks sir,True
@sparshgupta2931,2020-10-21T00:28:28Z,0,"Sir, is this video enough for Interviews?   Like if I have applied XgBoost Regressor to a project & the interviewer asks me to explain the algo.",True
@lakshmipriyaanumala7331,2020-10-20T11:36:21Z,0,"Hi sir,  Can you please make a video or provide with some insights on how to get research papers on deep learning",True
@shantanusingh2388,2020-10-20T03:00:20Z,7,121/2 is 60.5  i know its not a big mistake but sometimes i take notes from your video and while revising  after a month if the values are wrong i need to do the calculation again and it also creates doubt,True
@nizarscoot2844,2020-10-20T00:21:13Z,0,please do self organizing map i had an exam after 3 days and i failed to understand it,True
@iftiyarkhan7310,2020-10-19T19:31:20Z,0,please deploy one model in fast API,True
@MuriloCamargosf,2020-10-19T16:28:57Z,4,"In the similarity weight computation, you're squaring the residual sum instead of summing the residual squares. Is that correct?",True
@tejas5872,2020-10-19T16:21:08Z,1,Please create a playlist on reinforcement learning,True
