author,updated_at,like_count,text,public
@statquest,2021-04-21T14:50:51Z,1,"NOTE: I have expanded, updated and revised this StatQuest. Please watch the new video on Expected values: https://youtu.be/KLs_7b7SKi4  Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/",True
@bashiransari6258,2023-10-21T13:55:12Z,1,Cristal clear !!,True
@MDMAx,2022-04-18T16:41:40Z,1,"I just watched the n-1 explanation where you mentioned you'll cover ""why not n-0.5 or n-2"" in the expected values video. Watched all your vids on expected values, still no answer :(  Nonetheless, your concise way to chew all the information for the viewer helps to follow through extremely efficiently. Thank you for your work!",True
@saraths9044,2022-02-16T17:43:48Z,1,a really nice videos,True
@sdsa007,2022-02-12T04:40:11Z,1,I am very grateful to be the recipient of you excellent teaching abilities!,True
@phildegreat,2021-07-17T11:35:06Z,0,is it only me but that die face caught my attention....,True
@taijenseng,2021-07-06T05:55:27Z,1,So talented,True
@vijayendrashrivastava0511,2021-06-29T03:10:31Z,1,Wow.. This is one very nice and simple explanation ever.. Thanks Josh,True
@cgraider,2021-06-06T16:51:31Z,0,please teach Reinforcement learning too,True
@cgraider,2021-06-06T16:51:13Z,0,please part 2 please,True
@zhihuxu7286,2021-04-21T02:55:36Z,1,I love you three thousands times,True
@christianmv4666,2021-04-12T01:02:01Z,1,"Uff, I really love this channel",True
@harshkondkar3193,2021-04-06T14:11:46Z,0,"Hey Josh, great video! would love to see a video on Conditional expectation :)",True
@amitgp2007,2021-04-01T14:39:35Z,0,"Hi Sir, Big fan. SVM explaination is out of the word.  I have question here if for 100 experiements i m expected to get 0.66 dollers. But practically i will not why because i either +1 or -1.. It will give me value always integer like 3 or -60 or 77 etc. I will never get 0.66. So why it is expected value? I m confused...😂",True
@vigneshvicky6720,2021-03-21T15:00:31Z,1,E(x) for 100 times right,True
@imad_uddin,2021-03-20T17:17:41Z,1,"Hi Josh, Loving your videos! I was referred here form your video which was mean to explain (n-1) thing. You said it had to do with expected values.... Still scratching my head...",True
@erickcardozogalvez6229,2021-03-01T03:22:52Z,0,"When the book!, is necesary!!!, please!!!.  Saludos desde Perú.",True
@suriyapriya2606,2021-02-21T10:32:55Z,0,Post videos on random variables n probabilities!,True
@shashankshekhar390,2021-02-08T16:30:39Z,1,There's a Tabla in the background 😍😍,True
@dragutinvujadinovic4789,2021-02-01T22:06:02Z,0,"When you ask those people if they heard  about Troll 2, just at that point in time they heard about it from you, so you have to categorize them as ""Heard of Troll 2"" BAM! :D",True
@karannchew2534,2021-01-30T06:37:09Z,0,"""I bet you $1 the next person had heard of Troll 2""  => If the person has NOT heard of Troll 2, I win   I thought it's the other way around",True
@karannchew2534,2021-01-29T21:18:50Z,13,BAMMM! Didn't know Josh is so handsome!!!,True
@mohsenzakeri747,2020-11-17T16:05:34Z,2,"Dear Josh, I've been looking for videos like yours for quite some time now and I finally found them in your page. I'm learning a lot thanks to your beautiful method of explaining and simplifying these concept which might seem complicated at first. I absolutely love all of them. Thank you a million times and may God bless you!",True
@minweideng4595,2020-11-05T08:35:02Z,1,Just joined as a member. Please keep it going. What you are doing is so valuable and I plan to introduce your videos to my daughter (she is 9!) and I think she can understand some of them.,True
@minweideng4595,2020-11-05T08:32:02Z,0,"Great video again. Thank you. On your final example of the expected value which is 8.3. You mentioned it's based on a lot of bets as obviously if you only make one bet, you either win 100 or you lose 10. Can you talk about the implication of making this bet 100 times vs making this bet, saying, 5 times? Many thanks!!",True
@shwetadevadiga1380,2020-10-04T14:51:14Z,0,"I wanted to know why divide by N-1, when is that video going to come??",True
@utkarshsaxena3511,2020-09-21T07:57:33Z,2,"Thank you very much for this lecture. In India, most of the teachers and students only belive in mugging up the formulas and they don't really care for the concept, but I m one of those few Indians who always learn things conceptually. This lecture was a great help. It will help me a lot in my exams.",True
@sameerg5068,2020-09-17T16:29:25Z,1,TRIPLE BAM!!! :-),True
@activelylazy9993,2020-09-08T10:52:05Z,2,"you just introduced your viewers to Troll 2, now more of the population know about Troll 2. Definitely, I wouldn't be betting on that now, if your friends ask me to bet. Lol! :D  Thanks for the video, I always find the easiest explanation for everything on your channel.",True
@ladkikavpn2606,2020-08-11T06:55:24Z,1,Double BAM!!!,True
@serden8804,2020-08-06T18:05:02Z,1,best explanation for the expected value so far. i dont know how to thank but thanks,True
@specbug,2020-07-17T06:56:33Z,3,"Love from India, looking forward to the Bayesian series. Also do make a future series on Markov chains!",True
@thisatisavailable,2020-07-14T14:37:54Z,1,Super helpful! thank you!!,True
@pranavpawar1894,2020-06-25T17:26:04Z,0,"As you said earlier, Can you please explain why we use (n-1) and not (n-.5) or something for calculating sample mean",True
