author,updated_at,like_count,text,public
@racingonly2639,2022-02-03T03:50:47Z,0,I made this model in my final year project in b tech🤩🤩,True
@sejalsanjaybhattad3354,2022-01-31T11:35:18Z,0,tutorial?,True
@prakashdalvi9598,2022-01-20T04:42:00Z,1,Hi sir please make video on SAS also,True
@karthikeyanr1804,2022-01-20T04:27:09Z,1,"Krish sir, what is model documentation?",True
@alexnova1717,2022-01-20T02:08:01Z,1,Tutorial?,True
@AdvDevraj,2022-01-19T19:18:55Z,0,Superb! 🔥🔥🔥,True
@riju1956,2022-01-19T18:14:12Z,1,too much zoom in and out.....,True
@apnapython,2022-01-19T17:33:49Z,0,Sir please tell when will be drone course part of one neuron??,True
@raghunandanraman2388,2022-01-19T16:56:51Z,0,Will there be an Arduino course in one neuron?,True
@paraschaurs,2022-01-19T16:41:20Z,0,Where is the full tutorial?,True
@samiulla9311,2022-01-19T15:51:22Z,0,Please make a full video on it,True
@dvp1678,2022-01-19T15:46:34Z,1,One good thing about you is your consitent in content creation. And progressive as well,True
@amanguhair6501,2022-01-19T15:37:03Z,0,😍😍😍😍,True
@Ai_Vijay4,2022-01-19T15:36:51Z,0,Super sir 💕,True
