author,updated_at,like_count,text,public
@Pankaj-Verma-,2024-03-16T21:16:10Z,0,Thanks.,True
@sera7483,2022-05-27T17:02:08Z,1,"Thank you so much.  A lot of videos on this topic assume a prior level of understanding, and dive into showing you without explaining or drawing analogies. I found the lists/dict comparison very useful. 10/10!!",True
@robertsedgewick1266,2021-08-04T11:03:40Z,0,Brilliant explanation!,True
@willjohnson4579,2021-05-15T16:49:54Z,1,"I got scared when you typed ""=[]"" and ""={}"" in the function parameters, most painful gotcha in the entire language",True
@Still_Thinking,2021-02-28T21:36:09Z,0,"Awesome tutorial dude.  But you have to buy a soft keyboard or type like a ninja, otherwise I won't subscribe :)",True
@antesajjas3371,2021-02-13T12:52:04Z,0,*args are tuples not lists,True
@carlosfabila1401,2020-11-21T18:24:01Z,1,"Thank you for this. I never quite understood this while I was learning the basics, but now that I need it, you made it very clear. :)",True
@ashanlingam2713,2020-11-06T05:17:23Z,1,"hey man just wanted to say I happened to come across this video and it really helped me get a better understanding of args and kwargs in python. im a beginner to coding/programming (learning online self taught) taking a couple courses on UDEMY for python, but I was searching for more explanations/examples and thats when I saw this video. helped me gain a better idea of how to use them in functions and what the purpose was. just subscribed and going to check out more content of yours",True
@tielessin,2020-10-19T20:45:30Z,1,Args and kwargs sounds like a currency they made up in futurama,True
@TalsonHacks,2020-09-25T01:58:22Z,1,"I just found out  about your channel, and I'm loving it!  where can I find the playlist for the rest of the series?",True
@heshankumarasinghe3159,2020-09-05T11:39:06Z,0,Thanks..... This video has been helpful....,True
@mouadkerdoud9428,2020-09-02T18:12:55Z,0,bro you don't have to fight your keyboard,True
@IBITZEE,2020-08-04T23:15:52Z,0,that's odd... and strange...  dynamically resolving a variable name from other variable... nevertheless... it's very useful.. ;-),True
@jeremiahv6498,2020-07-13T00:42:54Z,0,Great explanation and example. Thank you!!,True
@ukaszkiepas57,2020-07-02T14:42:55Z,1,Fajny z Ciebie gość !,True
@JollyBeJolly,2020-05-19T02:01:54Z,0,Thank you sir,True
@TheRealKopkip,2020-03-28T23:20:55Z,0,camelCase > snake_case   def changeMyMind():,True
@pythonaboveclevel272,2019-12-06T03:52:46Z,0,"Liked your video boss, Please do suggest on mine too There is another example where we can use *args and **kwargs together. This is so helpful in learning the exact functionality of args and kwargs. Tutorial on args and kwargs, Concise and to the point explanation with important examples. https://www.youtube.com/watch?v=UEd0yQVGb1Q",True
@vikitor21,2019-09-06T11:44:58Z,0,"Thanks, awesome video. Gonna check out the series.",True
@abianchi0226,2019-02-02T20:53:54Z,1,You make a great typist. Too fast for teaching.,True
@parinda1001,2019-01-01T04:11:12Z,1,"This is awesome explanation. thanks, do you have any series for learning Pythin?",True
@trouserpython3857,2018-11-03T04:35:47Z,1,Sentdex I'm pregnant.,True
@alfredanto05,2018-10-18T05:32:31Z,0,Plz teach slowly,True
@noo-sho8500,2018-09-29T12:45:37Z,0,Thanks a lot! I needed that explained clearly,True
@cristianscript5649,2018-09-11T01:23:41Z,0,Now you think Go is a better language than Python?,True
@keerthivasang1178,2018-07-15T14:56:10Z,1,Awesome !!!!!!!,True
@RahulSoshte,2018-06-27T14:30:10Z,1,are you from the future? I love people from the future!,True
@cristianscript5649,2018-04-17T15:38:12Z,0,why don't you use sublime text,True
@sdr224,2018-04-17T14:00:42Z,0,Iv been seeing *args and **kwargs all over the place not knowing what to make of them. Thanks so much for making an easy to understand video,True
@viktoryx,2018-02-03T16:31:20Z,0,Awesome series. What do you recommend I do now since this series is finished?,True
@williamkwan3153,2017-12-10T00:27:35Z,0,ur a nerd,True
@OTTO2794MD,2017-11-14T12:29:22Z,2,Thank you for this amazing series!,True
