author,updated_at,like_count,text,public
@miquelr2353,2024-04-19T13:13:21Z,0,Thanks for being so clear. Learning by yourself can be like decyphering hierogrypics,True
@lomar-om6hc,2024-04-07T22:00:44Z,0,"Your videos are awesome! Very helpful! I have one question, how would I load up a list of dictionaries from a CSV file, but without the CSV module (csvreader)? My professor does not want me to use that for some reason, and I’m confused on how.",True
@Cloudxxx23,2024-03-29T16:14:59Z,0,7:50 My output has blank rows in between. I copied all your code. hmm🤔 I have to add newline='' after the 'w'.,True
@danminto,2024-03-19T17:36:05Z,0,"Hi, I have a CSV file that contains entries such as ""78 MPH"" {TAB} ""107 Yards"" (it's from a golf monitor). I can read the file in but would need to convert each value from ""78 MPH"" to 78 as an integer (I want to calculate the average, max etc). How can I iterate each line to strip the text out and convert it to an integer? There's a beer riding on this Corey!",True
@DarkAcademyUniversity,2024-03-05T14:45:14Z,0,Thanks!,True
@marcosrenan93,2024-02-23T14:37:15Z,0,my csv file only returns '\00' or '\002'...really don't know what to do,True
@cringeyonmain,2024-02-16T20:49:20Z,0,Saved my life when doing my higher computing science coursework. Thanks so much!,True
@kapibara2440,2024-01-29T17:39:04Z,0,Wow what a great video! Thank you a hundred ❤,True
@Dhanishthecoder-yc7gp,2024-01-28T18:04:07Z,0,tq very much,True
@HatlessChimp1,2024-01-28T03:22:07Z,0,I followed your code and for some reason the generated file has blank rows between each row of text.,True
@Deepnil,2024-01-18T16:31:16Z,1,Orz ❤,True
@shuvadeepsil2513,2024-01-05T15:03:41Z,0,🙂you are a god🙂,True
@bdcash,2023-11-07T20:16:00Z,0,I always forget this and end up using Pandas,True
@Asad9348,2023-10-28T15:17:35Z,0,Why u did not use pandas library?,True
@henryvasquez1814,2023-10-16T03:08:50Z,0,15:07,True
@henryvasquez1814,2023-10-14T03:44:43Z,0,7:16,True
