author,updated_at,like_count,text,public
@Claudia-bo7fk,2023-07-24T15:06:27Z,0,"Your videos have been invaluable in my journey, Alex! I am really looking forward to seeing the platform you release!! Great live as always!",True
@Dex-dt1br,2023-06-05T01:03:21Z,0,"Hi, i went through your SQL videos. In the first video, when you were creating the table you mentioned that you will explain about data types(int, varchar, etc) in some other video but i couldn't find any..  Why do you use varchar and not char? Then in later videos you used nvarchar.. what's the difference? And how to choose the right data type?",True
@davidgustavsson4347,2023-06-03T03:55:10Z,0,When do you have to download,True
@cindystokes8347,2023-06-02T13:43:43Z,0,I have a linguistics degree and I HOPE employers recognize that as as an analytical degree. But most people don’t understand what the degree is. Most who graduated with it when I was in school became translators of new languages for which a grammar had never been constructed. Do you think employers are aware of the value of that degree?,True
@davidgustavsson4347,2023-06-02T10:21:46Z,0,I agree,True
@davidgustavsson4347,2023-06-02T10:18:48Z,0,David gustavsson Australia,True
@newenglandnomad9405,2023-05-31T17:38:50Z,0,Def some gold info nuggets. Thanks Alex.,True
@baashemohamud6515,2023-05-31T09:01:12Z,0,"Hi, I'abdirahman mohamud hepl me pls.  A few days ago, I needed to confirm my account through ID Verification. My real name on ID ABDIRAHMAN MOHAMUD SAID OSMAN but it shows wrong name after ID verification. That shows ABDIRAHMAN SAID instead of showing ABDIRAHMAN MOHAMUD SAID OSMAN. Today I completed a course and got a certificate there also shows ABDIRAHMAN SAID instead of showing my proper name. Also, the name on my old certificates it my proper name have been changed in to ABDIRAHMAN SAID . I am not satisfied with this, because I can't use this certificates if they are not by my real name. Is there any possible way to change my name that has been identified through ID Verification and Is it possible to show my proper name on the certificate what already completed?",True
@AmiTVerma-to3vn,2023-05-31T04:08:11Z,0,2:57 -  about confidence,True
@StarGazer10189,2023-05-31T03:32:51Z,0,"Hi Alex, I started  your bootcamp. But got bumbed when I noticed that a simple LinkedIn search for DA jobs were only available to those with college degrees.  Is it hard to find a job without a college degree and just DA Certificate and portfolio ? Im a mom of 2 whose trying to prepare to go back out to work but not sure if this journey will be the best?",True
@mrbartuss1,2023-05-30T19:08:14Z,7,Waiting for the hero who would put the timestamps,True
@YR-up8vk,2023-05-30T16:37:26Z,3,1:27:00 I'm soo excited for your platform to be released globally! You've been a great help to my Data Analytics path 🙏🏻👊🏻,True
@joeltorres1237,2023-05-30T16:36:12Z,2,I just took a data analyst test for a job and I got a good amount statistics.,True
@stefanyvizcarra9981,2023-05-30T16:21:09Z,1,"Hi! For anyone who is starting in Data Analytics and considering the new developments in AI would you recommend learning any other types of software alongside the typical SQL, Python, Tableau, Power BI, etc…?",True
@vierastudioproductions1797,2023-05-30T16:16:14Z,1,What are the very real possibility of mid-career change into an entry level data analyst role at the age of 60 with no portfolio? Love cleaning in excel learning SQL.,True
@sridharindarapu6681,2023-05-30T16:07:48Z,0,"How to start learn Java, who new to programming/coding",True
@explorer8279,2023-05-30T16:06:55Z,0,Hi,True
@sridharindarapu6681,2023-05-30T16:06:29Z,0,Hope you are doing good,True
@sridharindarapu6681,2023-05-30T16:05:54Z,0,Hi,True
