author,updated_at,like_count,text,public
@harekrishnaharerama..2416,2023-06-20T23:19:02Z,0,Can we use it for machine learning code in python ??,True
@christernilsson1,2021-09-20T02:29:11Z,0,You should compare with and without numba. How much faster is numba? That is the question. Compilation time is not important.,True
@richarddankwah3088,2021-08-23T14:19:32Z,0,"Hi Mr. Krish please can you help me with this one, I am looking for a Python Scientific Library that when rapped with a Specific Code, It output table Returns with a Scientific Equations together with the outPut in Jupyter note book??.  Eg, When you write df.corr(), it will return the correlation Coefficient table together with the Correlation Sceintific Equation behind the Code and all other Scientific Notations. Please kindly Help me. Thanks",True
@vashistnarayansingh5995,2021-05-28T12:42:39Z,0,i have tried dataframe converting it to numpy array but still it did not work for it. tell me how can i use it for data frame,True
@akash_thing,2021-05-15T17:50:55Z,0,Thanks for keep teaching new library.,True
@raneshmitra8156,2021-04-20T18:58:06Z,1,Please make a video of Data Table,True
@AVyt28,2021-04-20T06:03:27Z,2,Could you teach C++ for data science. Some people say we need to use c++ instead of python for faster implementation.,True
@Azariven,2021-04-20T03:14:15Z,4,"Wow, this is a really great tutorial. Have you looked into the bodo library that also use jit and is made to handle dataframes? Bodo builds upon numba for faster machine learning applications",True
@AepSaepudin-kk8kg,2021-04-19T22:03:34Z,0,"➡️ cams.downloadz.to ⤵️    B.e.S.T f'u""l'l D.a.T.i.n.G h.o.T G.i.r.L's  —L—o—V—e—S—e-X———❤️😘  ..👍  !💖🖤❤️今後は気をライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！１万人を超える人が見ていたもん（笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした,.   💖🖤在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`'守和貧窮成員。然而，人類的生存意願迫使那些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。.   說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品市場上被忽略的部分家用蔬菜和肉類，並且學會了使用芳香的木煙（如山核桃，山核桃和豆科灌木 來調味g食物煮的時候 1618869767",True
@gokulyc,2021-04-19T18:08:58Z,1,please do the pypy tutorial,True
@AVyt28,2021-04-19T17:07:07Z,1,"Great video.....i just came across numba recently.i didn't understand how to use it initially, but now I know.....will definitely try to use numba",True
@sonalijain3497,2021-04-19T13:04:32Z,3,Krish please make a detailed vedio on EDA with lots missing value and messey data,True
@sonalijain3497,2021-04-19T13:03:30Z,3,I have completed your 100 likes,True
@nikunjgarg4791,2021-04-19T12:14:05Z,3,Sir please make videos on computer vision projects,True
@myrahulanand,2021-04-19T11:24:40Z,3,This is great. Can you also do a video on drawdata library in python,True
@bhargavikoti4208,2021-04-19T11:09:56Z,2,👍,True
@developerashish6849,2021-04-19T10:06:27Z,3,"So now the main question is, can we use Python for Self Driving car with Numba Library as now we have Faster Python🤔🤔🤔🤔",True
@vinitkumar2273,2021-04-19T09:18:02Z,4,Whooooooooooooooooaaaaaaaa that banger intro \m/,True
@Liftsandeats,2021-04-19T08:55:42Z,2,Really helpful,True
@techtam3505,2021-04-19T08:40:26Z,3,I was trying out this right now to make tokenizer on large corpus. And u came with a video.,True
@jaypatel2436,2021-04-19T08:37:11Z,5,Just incredible how you always come up with new libraries with such an amazing explanation ❤️,True
@ketanchikhalkar9326,2021-04-19T08:35:57Z,2,Can you help me to solve my problem of project  I am having date and pm2.5 these two columns and I have to analyse the Air quality index for 4 months  Please solve it I am finding it difficult to build the code,True
@yashsolanki069,2021-04-19T08:34:00Z,4,First with 10 others😁,True
@ketanchikhalkar9326,2021-04-19T08:33:49Z,2,Very nice bro,True
