author,updated_at,like_count,text,public
@louerleseigneur4532,2021-08-21T07:14:47Z,0,Thanks Krish,True
@sunilachoudhary806,2020-09-05T14:32:40Z,1,HAPPY TEACHER'S DAY SIR,True
@raviyadav2552,2020-09-05T03:32:08Z,1,Happy teachers day sir,True
@alfinesam,2020-09-04T22:12:13Z,1,please tell me about yourself,True
@saeedkhan246,2020-09-04T19:11:36Z,1,"Krish sir, as karndeep took the help of google to explain the faster CNN through the diagram, so if we are giving an real interview online, can we use google image,just to explain the concept?",True
@rajputjay9856,2020-09-04T17:35:57Z,2,Ye sab kuch Krish sir ne feature engineering main sikhaya hai 😍😍😍 thats the best part of Krish sir ! 😍😍😍,True
@pyclassy,2020-09-04T17:26:39Z,1,Hi krish these sessions are really good and helpful. I want to be a part of this so if you think i am capable.,True
@lisamiranda967,2020-09-04T17:16:29Z,2,Congrats karan . Keep it up  .,True
@gta7,2020-09-04T16:12:55Z,4,Best Interview of all time in this channel,True
@dhirajprai,2020-09-04T15:33:52Z,2,Is there a reason why krish n sudhanshu chose to wear black,True
@kshitizomar6730,2020-09-04T15:28:00Z,5,This guy is so humble. It makes me glad to see his interview. Thank You!,True
