author,updated_at,like_count,text,public
@vinayacademy,2021-06-15T04:35:06Z,0,"Hello krish sir, I am Vinay and got IIT Dhanbad for data analytics and IIT Patna for CSE so I am confuse which is better for me on the basis of placement",True
@StudyHard,2020-12-16T13:21:04Z,0,"Krish Sir, I am also student of Ineuron. Now M working in Operation Profile in a e-commerce company. I have always a question in my mind that how I will show my experience in resume.  i am able to understand all the thing which is covered in course till. please suggest me.",True
@manojchavan6917,2020-12-11T16:48:21Z,1,4:40 started interview questions,True
@tintintintin576,2020-12-11T13:35:56Z,1,Many congratulations Krish!! ☺️,True
@AlgoTribes,2020-12-11T13:08:42Z,1,ineuron jindabaad..krish bhai kamaal ka kaam kar rahe ho..,True
@bolthirani9504,2020-12-11T08:34:17Z,5,"8:11 got the call,  can anyone guess that ringtone? u r just an extraordinary .",True
@hussainsharieff7046,2020-12-11T05:02:35Z,1,Hi sir  Can I do data science after puc is this possible,True
@avinashshanmonteiro6075,2020-12-11T01:01:25Z,1,Why don't you give transition story from non programmer to data scientist. The transition you are giving are very common ones. Help us non programmers gain confidence as well.,True
@soniasimran5426,2020-12-10T18:13:24Z,1,Congratulations  krish  Sir Wish you  a  very very happy married life. Always be happy. God bless you,True
@alanhenry9850,2020-12-10T17:44:09Z,1,His(ishant) words  at end are  amazing ......,True
@sachinr3823,2020-12-10T16:39:45Z,3,Krish you are uploaded video on your wedding,True
@thulasikumar770,2020-12-10T16:21:57Z,5,"Great words at the end, follow the process not the results. If our process is clear the results will come",True
@somalishant,2020-12-10T15:45:35Z,5,Thank you all and specially krish sir 👍,True
@shubhamchoubey-sessions,2020-12-10T15:19:32Z,3,How did you apply for Ericsson  ? Because i had applied for several time but did'nt got any interview. So please help me how to get any interview for any compan ?  Any preffered site or anything  ?,True
@JaiSreeRam466,2020-12-10T15:17:24Z,5,full stack data science course in 3540 ?,True
@shubhamgarg5621,2020-12-10T15:11:25Z,5,Sir can you please suggest me by whome i can learn java 8?,True
@simrankumari1870,2020-12-10T15:04:03Z,7,"Krish Sir, when will you start the full-stack data science course...?",True
@PrashantSingh-yh7nw,2020-12-10T14:41:38Z,7,"If he got with this kind of communication skills fruits, karam, na etc, I'm sure  i will get job as well in future. Topu",True
@harshbhojak520,2020-12-10T14:23:48Z,4,Sir I'm from non technical field and just starting to learn data analysis through online classes I hope my dedication help me to get into this in 6months😇,True
@saif-gn7qr,2020-12-10T14:22:14Z,4,How do we enroll in your course?,True
@mohank6540,2020-12-10T14:19:45Z,4,Hi sir may I know data science course fee and duration,True
@sukhbirsinghsohal2895,2020-12-10T14:19:02Z,4,Good sir ... I m also interested to do course in data science,True
@jaisingh-rj7lz,2020-12-10T14:14:15Z,10,Sir enjoy marriage 😅😅😅😅,True
