author,updated_at,like_count,text,public
@amithedaoo5619,2019-07-07T14:28:51Z,1,I have Question what is your Salary...?,True
@mahdinmahboob,2018-12-18T07:30:41Z,0,"Hi, in the convolution step, the 3x3 window moves 2 pixels horizontally, but 1 pixel downwards, why is that?",True
@moizkhalid2714,2018-10-10T17:30:30Z,1,how can we use CNN for Person Pose recognition?,True
@yujiaozhu7380,2018-06-08T19:08:25Z,0,What if I want to colorize gray scale images rather than identify it,True
@manalelai2598,2018-06-07T23:54:30Z,1,"Thanks a lot for this great serie, love the explanation and THANK YOU for sharing the knowledge !",True
@Sakonii_,2018-05-18T10:58:11Z,1,4:38 That's how Microsoft logo was designed,True
@chiranshuadik9818,2018-03-25T19:02:28Z,1,You are much better than Siraj Raval!,True
@wilhallman2890,2018-02-28T05:55:05Z,0,Anyone else notice the hidden frog? lol brutalist.me/kek.jpg,True
@macienrique,2018-02-07T23:55:48Z,0,"That ""if you remember"" part cracked me up so hard",True
@wazza8614,2017-12-27T14:57:25Z,0,"Sorry I am not the greatest at stuff like this - what are the numbers in the boxes? Other than that I actually understood this, thanks!",True
@SachinSethi,2017-11-11T04:26:51Z,0,"http://www.ee.surrey.ac.uk/CVSSP/demos/chars74k/#download  Sir, I have used this dataset for character recognition and my code is this -   import tensorflow as tf import tflearn from tflearn.layers.core import fully_connected, dropout, input_data from tflearn.layers.conv import conv_2d, max_pool_2d from tflearn.layers.estimator import regression import numpy as np from sklearn.utils import shuffle from sklearn.cross_validation import train_test_split from tqdm import tqdm import os import cv2  def create_dataset():     dataset = []     for sample in tqdm(os.listdir(""fnt"")):         for img in os.listdir(os.path.join(""fnt"", sample)):             img_name = img.split('-')[0]             img_index = list(img_name[3:])             img_num = int(img_index[1])*10 + int(img_index[2]) - 1             img_data = cv2.imread(os.path.join(""fnt"", sample, img), cv2.IMREAD_GRAYSCALE)             img_data = cv2.resize(img_data, (40, 40))             dataset.append([np.array(img_data), img_num])                  for sample in tqdm(os.listdir(""img"")):         for img in os.listdir(os.path.join(""img"", sample)):             img_name = img.split('-')[0]             img_index = list(img_name[3:])             img_num = int(img_index[1])*10 + int(img_index[2]) - 1             img_data = cv2.imread(os.path.join(""img"", sample, img), cv2.IMREAD_GRAYSCALE)             img_data = cv2.resize(img_data, (40, 40))             dataset.append([np.array(img_data), img_num])                  return dataset      dataset = create_dataset() dataset = shuffle(dataset)  X, Y = [], [] for data in dataset:     X.append(data[0])     Y.append(data[1])       n_labels = len(Y) n_unique_labels = len(np.unique(Y)) one_hot_encode = np.zeros((n_labels, n_unique_labels)) one_hot_encode[np.arange(n_labels), Y] = 1 Y = np.array(one_hot_encode, dtype = np.float32)      X = np.array(X, dtype = np.float32).reshape(-1, 40, 40, 1)  X_train, X_test, Y_train, Y_test = train_test_split(X, Y, test_size = 0.1)  convnet = input_data([None, 40, 40, 1], name = 'input')  convnet = conv_2d(convnet, 32, 3, activation = ""relu"") convnet = max_pool_2d(convnet, 3)  convnet = conv_2d(convnet, 64, 3, activation = ""relu"") convnet = max_pool_2d(convnet, 3)  convnet = fully_connected(convnet, 1024, activation = ""relu"") convnet = dropout(convnet, 0.8)  convnet = fully_connected(convnet, 62, activation = ""softmax"") convnet = regression(convnet, optimizer = ""adam"", learning_rate = 0.01, name = 'targets')  model = tflearn.DNN(convnet, tensorboard_dir = ""log"", tensorboard_verbose = 0)  model.fit({'input': X_train}, {'targets': Y_train},            validation_set = ({'input': X_test}, {'targets': Y_test}),           snapshot_step = 500, show_metric = True, run_id = 'char_recog')  model.save(""char_recog"")  But, accuracy is not increasing above 15-20 %, even after 50 epochs...........Plz tell me why it is so?",True
@ranjanp2955,2017-06-23T08:45:44Z,0,How is the filter decided?,True
@heri_prieto,2017-06-15T23:21:31Z,0,I love this stuff. Thank you!,True
@sukumarh3646,2017-02-18T06:18:41Z,4,this sounds so weird. How does this method of changing the image like this lead to faster and more accurate understanding of the image? How is this similar to how we humans interpret an image?,True
@avatar098,2017-01-20T22:26:58Z,3,4:27 Aren't you supposed to shift down by 2 then?,True
@brianxia,2016-11-25T00:33:36Z,3,"For the pooling example, it makes me wonder if you're using a stride of 2 or 1. You moved two indices to the right, but only one index down, is it allowed?",True
@sarthaksachdeva2090,2016-11-07T00:04:23Z,0,"thanks for these tutorials ,you're great and doing a wonderful job ,these tutorials helped me a lot",True
@aryopradiptagema6677,2016-10-27T08:01:43Z,0,"Hi again, @sentdex i got a problem (again) on designing the dataset. I'm using dataset from char 74k, and when i tried to train the CNN, it gives a resource error (i guess due to my limited memory) and i read that i need to separate it into batches, but i'm confuse on how to make those batches? is there any tutorial or something that you know? Thanks!!",True
@ivoribeiromusica,2016-09-30T20:47:16Z,1,"Good work, thanks :)",True
@rumirama,2016-09-19T18:54:07Z,1,"Great series, man! Really helpful and enjoyable to watch. A question: is it possible to do a multilayer regression network (kind of a deep regression)? Like, having a regular linear regression network and then adding hidden layers? Thank you very much.",True
@StefanSchneider871,2016-09-19T15:01:08Z,14,Will you be doing an example of a RNN and CNN using data other than the mnist data set? Keep up the great work!,True
