author,updated_at,like_count,text,public
@Ananya.Worley,2024-05-04T18:59:56Z,1,"Love this, thank you for being so transparent! I completely agree that switching companies is the most surefire way to increase your income but I was wondering if you had any suggestions for situations where the company you're working at is amazing, lets you work remotely, and gives you an above industry average salary increase annually.   I know that I am capable of earning more if I switched jobs, but the current job market is terrifying and I don't want to risk ending up at a company that doesn't give me as much flexibility/benefits. I'd love to hear your thoughts, thank you!",True
@kestrel5,2024-04-24T15:23:02Z,0,This has been pretty much my experience too!,True
@tigerch333,2024-04-20T06:34:36Z,1,In India they also pay 20k but in rupees.,True
@omniaabdalmotamed914,2024-03-29T18:50:07Z,0,For year ?,True
@AM-Boluke1210,2024-03-02T02:05:04Z,0,Stay at a job for about a year then promote yourself with new job w/higher wage 👍 Some of us learned the hard way 😅,True
@ukamakaomeke,2024-02-07T08:00:30Z,0,"Please, I need coaching",True
@michaelfung694,2024-01-25T04:15:58Z,0,"Absolutely true for any job in any industry. You must jump around to get those large salary increases, staying in one place and getting only 2-3% raise each year, you’re simply losing out on the market.",True
@dafaichlasul,2023-12-30T16:09:15Z,3,"Sir, could you please explain about freelancer data analyst too? I'm so appreciated if you make a video for it",True
@jalego800,2023-12-29T06:38:20Z,0,"Hey, Alex! is it possible to get 65K in entry level with 3 projects I created & almost all the skills you teach without the knowledge of Azure? I don't have the authorization to work in the US at the moment.",True
@Passion84GodAlways,2023-10-02T19:56:35Z,2,THANK YOU SO MUCH FOR SHARING these details with us!!! 💎,True
@kokokiki,2023-09-23T02:48:12Z,6,Landed my first role as a data analyst with the city at 50k and was feeling a little discouraged about my salary but so glad I saw this right before starting because there’s hope!,True
@parkshermoso1012,2023-09-20T16:25:48Z,12,I love the transparency with your videos. Best Data analyst content out there,True
@Vintagetube310,2023-09-19T03:50:17Z,0,I love the grind.,True
@jelenawhite9253,2023-09-08T17:32:03Z,1,I really needed to hear this. Thank you so much for the motivation ❤,True
@ghizlank,2023-09-01T14:00:10Z,0,I can get this salary if I worked remotely ? Worldwide or this salaried only in usa / and thank you for helping us,True
@yamiali1783,2023-08-27T18:53:16Z,2,Don't think the UK pays that much but it's certainly promising. Still pushing for that first job 🤞,True
@kaierickson3424,2023-08-21T19:56:19Z,4,Do you work remotely most of the time or were you in an office for any of these positions? Thanks!,True
@ankitsolanki01,2023-08-18T04:26:02Z,0,I am from India and can I get job in Us or any other country 😊,True
@hotcarlsf,2023-08-18T02:40:29Z,0,"Just curious what city/region you started out in and if you made some of those job changes to a remote role during COVID with companies based in a different region? I'm searching indeed for entry level jobs in the San Francisco bay area. They don't seem too entry level, and they're only offering $50k which is considered low income in San Francisco",True
@tolulopejayeoba2448,2023-08-17T20:59:42Z,1,Congratulations 🎉,True
@kristeng.4241,2023-08-17T20:11:47Z,1,"Do you mind sharing the year(s) when you were in the position (2019, 2022, etc.)?",True
@Mita0.0.0,2023-08-17T16:29:53Z,1,This is inspiring even when times are tough. Of course it is all dependent on location and I assume this was before Covid? Things have changed a bit and the job market is rough but the need for these positions won’t be going anywhere. Were all of these in healthcare?,True
@ryuhayabusa3540,2023-08-17T16:18:19Z,0,"Hey Alex, how do I send you my resume so you could check and give me your professional advice?",True
@vdtb1758,2023-08-17T15:40:37Z,0,"Alex, how old are you? It too late when i am 28 ?",True
@aronmadhimba6458,2023-08-17T15:09:22Z,55,Woooww. This makes me not to give up at all. Thank you for this sir.,True
@Christian_Ajibodu,2023-08-17T14:51:30Z,1,Hi Alex. Are there companies that accept remote interns you're aware of and do you think it's a good idea to learn that way? Thank you.,True
@Joseph-Thomas,2023-08-17T14:22:42Z,44,"A normal starting spot is 55-65, but remember he started over 3 years ago.",True
@funmiakinniyi6350,2023-08-17T13:33:13Z,3,Were you an intern at any point?,True
@tahanawfal,2023-08-17T13:23:41Z,14,"Thanks for your transparency, Isn't your first job below average for entry position? Is it normal these days?",True
@mubastudio,2023-08-17T13:09:47Z,4,Wow. So incredibly helpful 🎉❤,True
