author,updated_at,like_count,text,public
@rajkumarmaity1243,2024-05-20T15:50:52Z,1,Such a grate explanation i have ever seen at youtube. many many thanks sir for creating videos like this.,True
@sudeepmane9473,2024-04-03T09:25:42Z,0,how to get data set for practice,True
@vigneshStack,2024-03-28T01:42:15Z,0,"Can anyone explain this K(x,y)=(xT y +c)*d I don't understand this formula means  xT.y becomes x1 square ,x2square, x1x2 but where is the remaining formula means +c and power d",True
@yokeswarans2903,2024-01-26T17:15:18Z,0,I have an doubt if the accuracy was 1.0 then it is termed as overfitting? anyone can explain me,True
@alfonsoortega3022,2023-10-21T23:37:47Z,0,"Hi Krish. Congrats for your great job on clarifying all these difficult concepts... I have a comment on the way in which you decude the components of the linear kernel that will become the new features. You understand x^T y as a mattrix product between x^t (2x1 dimensions) and y (1x2 dimensions) resulting in the 2x2 dimension with the main components. Nevertheless, as far as I know x^T y  should actually be interpreted as a product (scalar) product between a 1x2 mattrix and another 2x1 one resulting in the typical x1y1+x2y2. I have seen in other references that the polynomial kernel is in fact the dth power of the bynomion ( x^T y  + 1) that in fact generates a polynomial whose terms are in fact a linear combination of the components you identify by means of the mattrix production interpretation... At this point, Im not sure if I am right or wrong.... could you clarify, please?",True
@vrushalipatil3993,2023-08-14T10:46:45Z,0,In interview interviewer will ask about formals or they will ask just about theory in which scenario will use this model like that questions,True
@bash2004,2023-07-07T00:09:10Z,0,"Krish, yr a legend - thanks mate.",True
@ismailkaracakaya260,2023-06-16T15:41:06Z,1,"I think you need to change X1_Square to X2_Square below for y: fig = px.scatter_3d(df, x='X1_Square', y='X2_Square', z='X1*X2',",True
@_ShouravChy,2023-05-02T19:57:19Z,0,Best Best Best,True
@abhilashsingh439,2022-10-11T17:48:11Z,0,You my good sir.... You're a genius :),True
@SESHUNITR,2022-10-03T08:49:34Z,0,Good one,True
@basharatmir428,2022-09-25T06:42:41Z,0,thank you so much for this video,True
@minwin29,2022-03-18T04:44:31Z,2,"Hi when using the RBF classifier, is it possible to get the equation of the plane that it cuts? As I am interested in using that plane as a prediction to further values.",True
@bivasbisht1244,2022-02-20T11:29:38Z,0,"just one word , amazing !!",True
@jamesang8735,2022-02-06T16:13:42Z,0,Thank You!,True
@unmeshmandal3071,2022-02-04T09:38:29Z,0,Best Video.,True
@JohnAmose,2021-11-28T11:33:47Z,0,Simple and neat explanation. Thank you.,True
@prabalghosh2954,2021-11-05T13:46:06Z,0,thanks for this lab,True
@lakhankumawat5289,2021-10-25T14:27:14Z,1,This is the most under rated video on svm topic on youtube..,True
@RinkiSingh-ph6oo,2021-09-29T10:17:25Z,0,wonderful dear want to take tuition ..pls reply,True
@arthurimona5901,2021-09-27T15:37:47Z,0,Anyone knows how to use rbf with a huge dataset? Like 500000+ samples.,True
@swarup7676,2021-09-09T03:57:53Z,1,fantastic video. I am not able to understand the complex concept of SVM. Its all thanks to your exception videos,True
@thepresistence5935,2021-08-13T07:39:17Z,0,"Then sir, poly kernel is overfit?",True
@joydas8213,2021-07-23T16:07:44Z,0,If features are more than two then what will be done sir??,True
