author,updated_at,like_count,text,public
@agbonxoftprince919,2019-04-10T11:45:56Z,0,"Hello @sentdex, can you please give a road guide or any resource on how to begin with Machine Learning ?",True
@ohyeahyeah9098,2019-01-18T16:12:07Z,0,"Hello sir, could you do anymore game development videos if that’s possible? Thanks.",True
@emremer2,2019-01-15T19:40:10Z,0,Hey! You must write like this https://www.youtube.com/watch?v=X3GMUWefTgY&list=PLrjmxwvX6MCNh91_HbgjHhaB4alpD5SqM I dont know maybe there is a plugin for Sublime or you can create one ;) // You are very quick and its Cursor's movement so cool.,True
@goodester6924,2019-01-14T13:32:27Z,0,Sentdex why haven't you created tutorials about numpy?,True
@hardy2167,2019-01-13T14:35:02Z,0,My college suggested(forced) me to use anaconda for Machine learning so should i orr Just follow your playlist,True
@RutgerMusicOnline,2019-01-11T15:19:14Z,1,"Sentdex, could you maybe do a tutorial on how to create a pendulum environment from scratch using for example pygame and then applying reinforcement learning to it using keras? Thanks!",True
@gomenaros,2019-01-08T13:51:27Z,0,Happy New Year Harrison!,True
@christopherz2086,2019-01-07T20:46:35Z,0,"Your videos are the best, I'm trying to build a computer to learn ai. What would your recommendation be?",True
@aman5909,2019-01-07T13:54:19Z,0,"Hi ,,,,,, i have a project and need ur help . How u can pl reply",True
@Cygnus0lor,2019-01-06T08:46:50Z,0,Can we get some Win32API love? There aren't many tutorials on python and Win32API. :(,True
@EastSideGameGuy,2019-01-05T08:00:42Z,0,Hey! I hope you are doing well. I have been learning a lot from your videos and I have a question. Whether I should learn implementing the ML algorithms from scratch or use the pre-built libraries that are available?,True
@bountyhunterj6822,2019-01-03T17:54:57Z,15,"Does anyone else ever write a program, run it, and then all of a sudden... it... works... on the first try... yeah me neither.",True
@CyrusHalcyon,2019-01-02T14:13:00Z,0,"I would try to give them a bias away from each other and also calculate some maximum distance circle that repeals them linearly as they approach. The circle could also be linked to the amount of halite they have mined, so for each unit they mine the circle could shrink my 1 pixel in the radius for every 2 halite (and the circle could start at some ""learning value"" say 1500 to start then deviating up and down over generations), or some similar function.",True
@CryptoAnimated,2019-01-02T12:56:16Z,0,Kaggle is also a great place to participate in AI competitions,True
@hathibelagalproductions2426,2019-01-02T08:20:44Z,0,"IMO, you are single-handedly responsible for the surge in participants the Halite AI challenge is seeing lately.",True
@yingshaoxoslab,2018-12-29T08:26:28Z,0,"Hi, sendex, have you thought about making a tutorial of panda3D?",True
@shortssquad1,2018-12-29T03:53:31Z,0,You are great bro,True
@MinecraftZockaa,2018-12-28T21:31:25Z,0,One of my files which is 4.5mb large will fill my entire RAM when I try to load it using np.load() . Why?,True
@yacine074,2018-12-28T16:47:59Z,1,Next video maybe facial recognition using autoencoders and deeplearning ..,True
@Dinesh-ql1ok,2018-12-25T01:56:51Z,1,Sentdex please make a Udemy course.,True
@dylanriley4364,2018-12-24T23:27:06Z,0,"Here is a free sublime text license:  ----- BEGIN LICENSE ----- sgbteam Single User License EA7E-1153259 8891CBB9 F1513E4F 1A3405C1 A865D53F 115F202E 7B91AB2D 0D2A40ED 352B269B 76E84F0B CD69BFC7 59F2DFEF E267328F 215652A3 E88F9D8F 4C38E3BA 5B2DAAE4 969624E7 DC9CD4D5 717FB40C 1B9738CF 20B3C4F1 E917B5B3 87C38D9C ACCE7DD8 5F7EF854 86B9743C FADC04AA FB0DA5C0 F913BE58 42FEA319 F954EFDD AE881E0B ------ END LICENSE ------",True
@adamdabdoub,2018-12-23T22:09:30Z,0,bro i wanna be you so bad,True
@ahmedbadal3795,2018-12-23T21:51:48Z,0,omg your cup and died hhhhhhhhhhhh,True
@beefling5390,2018-12-23T19:52:41Z,1,Edward Snowden? 😂,True
@FaBNEk,2018-12-20T17:23:00Z,0,"Feel like we're missing a video here. Anyways thanks for another fun and educational series, can't wait for the next one",True
@Bjoern2KiII,2018-12-20T15:27:24Z,0,Do you have a book recommendation for deep learning (beginners),True
@marc-alexandrepaquet7696,2018-12-19T21:45:46Z,3,"is there a video between p.7 and this video ? You talked about implementing naive navigate in your last video, but you didn,t actually did it. Is there something I am missing ?",True
@camdenparsons5114,2018-12-19T16:16:08Z,0,"yea i would say RL would be the best performance such as ppo or HER. although, you would need figure out how to implement it. If i was willing to do it, I would start with openAI gym baseline.",True
@SuperObcy,2018-12-19T11:04:14Z,0,Where you can download the source code for the movie ?,True
@Mr.WhiteBeard,2018-12-19T07:04:33Z,0,Sentdex please make python for affiliate marketing? Thanks,True
@Alex4n3r,2018-12-18T23:19:56Z,4,Why don't you train on the top 50 bots' games and do random moves (<1% probability) with the same map seed?,True
@MichiGombocz,2018-12-18T22:34:59Z,0,"Thanks for all your great videos, i really learned a lot from you and your productions! Happy Holidays from Austria <3",True
@myselfremade,2018-12-18T22:31:09Z,2,"Potential idea: separate NN's for mining ( which chooses where to mine from, and decides the pathing) and depositing, and a 3rd controller NN that decides which ship is controlled by which network.",True
@myselfremade,2018-12-18T22:29:17Z,4,"I wonder, do videos that are 'premiered' have less comments than the norm, because of the availability of the live chat?",True
