author,updated_at,like_count,text,public
@KenJee_ds,2020-04-01T03:15:53Z,1,Hey Everyone - It looks like the free 365 data science courses offer has expired. The rest of the resource that I mentioned in this video are free though: https://www.youtube.com/watch?v=Ip50cXvpWY4,True
@piyushzope10,2021-01-23T17:59:33Z,5,"Hey Ken, I am watching this video late but I have started learning from now...  Thanks for video...",True
@JB8879,2020-09-16T04:23:34Z,1,"Thanks Ken...just seeing this.  Also, that is a sick LLBean fleece!  For real no joke I had one identical to it and wouldn't replace it with anything.  Comfy as a MF'r!!!  Love you're videos and the no non-sense fluff approach.  Just getting started in DS, Python, R and Sports Analytics but have set goals and want to take it far.",True
@haroldtorresmarino1657,2020-08-10T02:44:29Z,1,"Hey Ken, the dropbox link provided isn't working. Cheers.",True
@thefootwizard,2020-05-26T05:15:16Z,1,Would you recommend I learn a language like python first before I dive in to data science?,True
@ishitasadhukhan1,2020-04-01T02:46:36Z,1,thanks for such wonderful word Ken !! But the link you shared above is redirecting to Udemy and are not free,True
@pariponthanthong7227,2020-03-26T20:32:20Z,1,"HI Ken, Great Video, I have a question about the project. Any recommend project to build for portfolio. I have done couple real estate analysis and 2 recommendation project. I want to explore more on the machine learning part during this break.",True
@delara7870,2020-03-26T15:42:16Z,1,"Hey Ken, what tools should I have on my laptop to use for python data science projects? Do you use an IDE?",True
@kapamagicman,2020-03-26T14:40:39Z,1,"Hey Ken, Great video. I’m actually improving my python skills during this time. FYI you got some good Towards Data Science articles👍",True
@importdata95,2020-03-25T16:25:33Z,3,The only constant in data science is that it's always changing! It's important to always learn new technologies. Thanks Ken for the motivation!,True
@donnelly5757,2020-03-24T02:55:48Z,1,"Great video as always, but I will say this is a serious understatement.  Now that I'm out of work,  I am ever so glad that I have decided  to pursue this career path. Three great reasons to pursue data science: 1. Do something positive for society and gain a strong sense of purpose. 2. Something to keep the mind stimulated which can greatly help with depression and anxiety. 3. A solid career that can potentially help someone avoid being homeless and going down a dark path. I think these are solid enough reasons to purse this field.",True
@anathanholland,2020-03-23T19:14:13Z,1,Thanks for finding the positives during this time of uncertainty,True
@definitelynotchris2796,2020-03-23T18:32:03Z,1,still no discord?😂 it’s okay i’ll keep waiting haha,True
@evanle5696,2020-03-23T17:03:39Z,3,"Thanks Ken, just found your channel!    Was an engineer in college, but drifted towards fitness and nutrition coaching as my career went on.    Industry is rocked right now, so I'm learning some Data Science on the side, and your videos are helping :)",True
@devinhorvay,2020-03-23T15:03:36Z,2,"Great video. When you say you expect the work culture to shift towards employees working from home, do you mean in the short-term i.e. while the pandemic is still going on, or do you see this just being the ""new"" working environment? Interesting insight.",True
@krishnasankar6160,2020-03-23T14:20:00Z,1,Can you suggest a good youtube channel or website for learning a good amount of python for data science.,True
@mohitnagarkoti4086,2020-03-23T14:16:23Z,2,Thankyou ken,True
@justinlam5565,2020-03-23T13:47:28Z,4,Whenever I see that Ken Jee notification I drop everything I'm doing to watch it,True
@AndrewAlarcon17,2020-03-23T13:33:05Z,1,Couldn't agree more. Working on a data set about the virus during this time. So many people have created really insightful notebooks on Kaggle already!,True
@t_tek760,2020-03-23T13:25:02Z,1,"I’ve been learning a lot using my iPhone and I’ve gotten to that stage above the usage of a phone, kind of difficult getting a laptop but hopefully someday  I’ll be able get one to practice with, Thanks for your motivations.",True
@BeautyByJuliette14,2020-03-23T13:15:01Z,9,"Sooooo true!!!  No one is realizing that without data scientists right now, millions more would die! They need people to work through statistics on illnesses,  especially COVID-19! Good video!!",True
