author,updated_at,like_count,text,public
@samrat_chauhan,2024-04-09T03:28:02Z,0,"Sir your core knowledge, of what an student is expecting is very good",True
@rishieee887,2024-03-19T23:10:23Z,0,"Best NLP course, even for post graduate course",True
@chessketeer,2023-09-11T08:34:55Z,0,Thank you.  I love the fact that you do 2 videos: concept explanation and programming explanation.,True
@anandtalware2283,2023-09-08T14:30:28Z,0,"Hello, good evening, should we apply PCA after vectorization(BOW or TFIDF) ?  which accuracy is better , with or without PCA ?",True
@AkshatSingh0501,2023-08-08T08:41:25Z,0,"Here one more thing is to add which Krish didn't add is CountVectorizer will be added before Tfidf vectorizer or else it will give error of ""Vocabulary empty "".",True
@amruthasankar3453,2023-06-29T03:32:14Z,0,Thankyou sir❤️🔥,True
@ghali3059,2023-03-16T20:42:02Z,0,The sound is terrible its hurting my ears.,True
@shahidmalik6107,2023-01-28T06:21:42Z,0,thank you so much for a brief and easy lecture. hats off from Pakistan,True
@bradleyadjileye1202,2022-09-12T08:26:42Z,0,Big thanks for this one,True
@indirajithkv7793,2022-05-12T15:49:44Z,0,❤,True
@dasarithejaswaroop1072,2022-02-26T18:42:12Z,0,U R SUPER SIR,True
@datascience3008,2022-01-26T13:50:42Z,0,Thanks krish,True
@debatradas9268,2021-10-28T17:49:40Z,0,thanks,True
@david76383,2021-10-06T16:46:16Z,0,It does not work for me? The final vector still shows only valus of 1 and 0,True
@ArchnaVijay,2021-07-26T11:47:46Z,0,Honestly I searched many videos to understand TFIDF .. this video is “The best” among the rest !,True
@ishantyadav5532,2021-07-20T08:12:07Z,0,Sir this is the best playlist to learn about NLP and saves a lot of time into researching source material. I am referring to it for my internship. Really underrated channel; I wish you much more subscribers and support.,True
@Anjy2709,2021-06-13T01:50:47Z,0,so u haven't implemented the tf-idf completely..i could not understand where is vocabulary,True
@himsinghvi88,2021-05-17T19:42:00Z,0,"Hi @Krish I have tried using the tfidf on the boy-girl example, but it is not doing 0 for the word ""good"", I am getting following result. ['boy', 'girl', 'good'] array([[0.78980693, 0.        , 0.61335554],        [0.        , 0.78980693, 0.61335554],        [0.61980538, 0.61980538, 0.48133417]]) why it is so ?",True
@premranjan4440,2021-05-17T16:18:00Z,1,"Sir, I love your work. I am currently doing specilization in Data Science and AI and I am learned more from than my two years of college. Keep up the good work sir!",True
@manojjena1903,2021-05-07T07:45:07Z,0,is the code workws for odia languagae text,True
@maulindusarkar4581,2021-04-19T13:46:47Z,0,"I used TF-IDF on the para you considered here, but got something like this: paragraph =  """"""The boy is good. The girl is good. The boy and girl are good"""""" array([[0.78980693, 0.        , 0.61335554],            [0.        , 0.78980693, 0.61335554],            [0.61980538, 0.61980538, 0.48133417]]) But I should get two zeroes in the first and second rows right, according to the formula?",True
@suvarnadeore8810,2021-04-19T10:38:52Z,0,Thank you krish sir,True
@dharmendrasingh-iz1by,2021-04-07T18:02:50Z,0,Excellent explanation!,True
@arnoldnana7076,2021-03-01T10:46:17Z,0,Great video,True
@dhirajsharma74,2021-01-13T18:41:34Z,1,"Error: Expected 2D array, got 1D array instead",True
@dhirajsharma74,2021-01-13T18:41:13Z,0,"Hi, Thank you so much for the awesome video. I am getting mention below error, could you please help me with it. Thanks Error : """"",True
@salmanhaider962,2021-01-08T12:58:31Z,0,I m getting error while importing TfidVectorizer package.,True
@HenokGashaw,2020-10-13T10:06:38Z,0,Excellent explanation!!!!!,True
@smvignesh3650,2020-09-30T05:18:04Z,0,Great Video!!!,True
@funtime12345,2020-09-27T00:15:29Z,0,Thank you sir!,True
@arpittiwari6590,2020-09-07T09:52:13Z,0,"Hey Krish, You are the best instructor I had ever seen, You deserve more and more. You explain each thing in a way that it should be.  I gonna will be one of the members all the times, I have learnt something in each of your videos.",True
@anantchourasia3802,2020-09-02T02:07:13Z,0,Bro that was an awesome explanation 🤐 Keep it up ✌🏻,True
@shubhamteke2856,2020-07-27T03:38:47Z,0,Sir  i got 1 error like 'list' object has no attribute 'lower'. How to solve this error,True
@karthip23,2020-07-05T04:05:08Z,0,Amazing Content. No words to thank for explaining so beautifully :),True
@kayodeoyedele1594,2020-06-29T20:25:11Z,0,This is great..You are the best man ..Really nice videos,True
@sandipansarkar9211,2020-06-14T22:23:46Z,0,Superb video Krish to contribute to understand of NLP.Thanks,True
@dnakhawa,2020-06-07T08:16:36Z,0,You are the Best sir in Data Science,True
@sudeshnadutta5702,2020-06-04T11:23:05Z,0,Hi Krish. I had one question. There's a parameter called max_features inside CountVectorizer as well as tdidfvectorizer. How does that work? I am assuming that when the frequency distribution is calculated and sorted then we can choose the top 'n' features? Is that correct? Please let me know. Thank you,True
@adityasharma2667,2020-05-25T18:08:50Z,0,"Fantastic Sir, you are making Data Science easier and easier day by day. One query Sir. when we convert the corpus using Tf-IdfVecorizer or Counter Vecorizer we got array of shape (31,114) what is this 114?",True
@sindhunannapaneni5715,2020-05-08T09:33:56Z,0,"Thanq so much to take a step forward to help all who thrive to learn data science, kudos to your great efforts, your videos are really helpful and am gaining knowledge as well as confidence by watching your videos..God bless you Krish",True
@souvikdas7200,2020-05-05T10:47:58Z,0,Great explanation sir. I've read a few papers where this tf-idf matrix is used to do the text clustering by means of Kmeans clustering . I'm just wondering how it's actually working out. Would you please explain it  in a video?,True
@sandipansarkar9211,2020-03-31T08:09:23Z,0,Superb video for beginners,True
@ayushsingh-qn8sb,2020-03-28T19:59:47Z,0,If we have lemmatizer why do we even need stemming,True
@gulsanbor,2020-03-26T02:40:33Z,0,You are excellent,True
@thiagoribeiro4733,2020-03-20T14:35:30Z,0,"Great video Krish, thanks for your effort!",True
@karthikplrao2715,2020-03-18T12:32:27Z,0,It is very better much better than  udemy,True
@karthikplrao2715,2020-03-18T12:31:38Z,1,Please make a vedio on pca and tda,True
@karthikplrao2715,2020-03-18T12:30:56Z,1,It is very nice,True
@sagarghimire1174,2020-03-09T19:54:52Z,0,Best explanation. Thanks,True
@bismeetsingh352,2020-02-01T04:30:59Z,0,I understand tf idf but still  the intuition as to when and how to use the information for further analysis is not clear. COULD YOU KINDLY EXPLAIN THAT?,True
@arjyabasu1311,2020-01-17T23:41:05Z,2,Thanks a lot sir... your contribution to the data science world is just priceless !!!,True
@girishreddyedula2667,2020-01-12T17:16:08Z,0,You are the real savior Krish  Never ever seen this beauty in explaining NLP hope to see more applications in NLP in the near future,True
@injetiprasad8937,2019-12-20T18:27:54Z,0,"Really Awesome, good explanation. Thank you so much. Actually, u said , in IDF part ""be"" containing in 4 times but u explained in 3 times only.",True
@kafeelbutt,2019-11-17T17:24:02Z,0,but in tf-idf coding where we filter the words in code as you discuss in the theory. i cannot get it from code,True
@srinivaspachika1996,2019-11-16T11:19:55Z,1,"Just a conclusion saying rare words will have high tf-idf scores will be a good addition. Nonetheless, This is the best video I have seen so far on Tf-Idf . thank you for such amazing content",True
@rajsinghmaan3095,2019-10-30T22:49:45Z,3,"In this code 'word' used in WordNetLemmatizer is not defined. It is used in 3rd  tutorial for word tokenization, but if a new person runs code from the above video, it leads to an error.",True
@alphonseinbaraj7602,2019-10-18T03:30:02Z,0,"Sir ,Your Data Preprocessing Techniques playlist was removed .why ? kindly revert it . I am learner .request you to revert that . Because without knowing  DATA PREPROCESSING and without understanding about it ,shouldnt go furthr .please kindly revert it.",True
@sriharshavardhan299,2019-10-16T05:03:31Z,0,the best videos for ML,True
@muhammadusmanakram406,2019-10-10T19:54:36Z,0,sir link to sentimental analysis ection???,True
@arijitRC473,2019-09-30T15:46:12Z,0,"Sir, really this kind of videos help us a lot.....really you are doing a great job, your videos insist data science enthusiasts a lot to become a data scientist",True
@preetyk7615,2019-09-29T07:18:27Z,0,"thanks ,very informative vedio sir,here i have one doubt in IDF we are doing log in which the frequency is in denominator that means as freq of the word in doc is more the idf value will be less that means indirectly proportional that means idf*tf will go down which mean for more freq word the idf*tf value is less then one whose freq is less,that is not correct right ??? for more freq word used in doc its idf*tf product shoul dbe high.",True
@bijaynayak6473,2019-09-27T09:51:02Z,1,Explained very clearly and Nicely Thanks  a TON Krish Naik,True
