author,updated_at,like_count,text,public
@pana71,2020-12-01T12:27:33Z,212,You know it's serious when the thumbnail has the suit,True
@FelipeCampelo0,2024-05-19T18:05:06Z,0,Over seems to work like a cross join right?,True
@user-bb5nc3qj8b,2024-04-16T20:13:11Z,0,"I tried to get ‘partition by’ many times However , only after your video it became clear for me 🎉",True
@medimed-su3ir,2024-04-07T10:21:21Z,0,"I must Say Alex your Course is awsome , i just Started from Scratch , it is really really good",True
@maximillianquaife-larsen3799,2024-03-17T01:36:56Z,0,Great video thank you,True
@frenchkiss609,2024-03-12T11:50:50Z,0,"where is Data types, Creating Views, GETDATE, Primary Key Vs Foreign Key??",True
@user-ey4lp4du3c,2024-02-29T18:28:11Z,0,THANKS,True
@user-lx7tn6tt8b,2024-02-24T17:18:12Z,0,Thanks for explaining so well,True
@JosiahWarren,2024-02-17T22:25:39Z,0,You mean in each line.,True
@djangoworldwide7925,2024-02-14T22:41:15Z,0,Basically the difference between summarise or mutate in R (or count/add_count),True
@gulhermepereira249,2024-02-08T16:06:04Z,0,"simple example, perfect demonstration. Thank you, Alex!",True
@dominiquepenn9477,2024-02-01T10:12:24Z,0,Thank you 😊,True
@SaicharanErram,2024-01-12T17:37:38Z,0,"commendable work , if you start solving more real time problem like from leetcode and hackerrank - it would be a blast",True
@saumyasrivastava1357,2024-01-03T09:35:13Z,0,I am a beginner in SQL and I didn't understand this. Kindly explain things a bit slowly and thoroughly so that beginners can catch up. Thanks.,True
@MrRubyElf,2024-01-01T22:25:35Z,0,"Thank you so much for showing what the difference is. I'm working on a project using ChatGPT, and it used a partition by line. I had no idea what it was but you cleared it up!",True
@sebulva,2023-12-21T16:40:39Z,0,Loved The Office data.,True
@BharatiyaFirstThanHinduMuslim,2023-12-10T18:41:17Z,0,Good explanation .... thanks!,True
@nankundabridget9783,2023-11-28T13:07:10Z,0,Thank you Alex . for the first time i have understood the use of partition by,True
@chrisomoha636,2023-11-26T12:19:21Z,0,awesome lessons,True
@freestylerhus,2023-11-23T14:05:07Z,0,Where the dbo part in the table name??,True
@perrosdeagua9228,2023-11-16T18:08:56Z,0,"Hey guys, Maybe anyone can help me, Last video we deleted row number 1005, how you put it back?  thank you so much for the tutorial in advance mate!!! Very accurate",True
@rnjesus9950,2023-11-13T16:35:07Z,0,"Thanks for the course, Alex. I'm working through for the first time having no prior experience. Playing around I calculated the average pay by gender and how far each employee is from the average using partition by and am completely amazed. This is really cool! You've done a great job laying it out.",True
@maphindelamk2261,2023-11-11T04:48:20Z,0,Hi Alex. I have been practicing the Case Stements while learning I get an error while running this query. It says error next to CASE  SELECT * CASE       WHEN Salary > 50000 THEN 'High Class'       ELSE 'Low Class' END FROM EmployeeSalary,True
@abdallahdikko8137,2023-10-06T21:30:44Z,0,now that's why he's the goat the goat.,True
@ManarTheScientists,2023-10-05T06:53:28Z,0,so this is window finction ?,True
@viktoriaballa4622,2023-10-02T12:53:29Z,0,"DAY 3 of taking this course, and I finished Intermediate level SQL, thank you",True
