author,updated_at,like_count,text,public
@TheIITianExplorer,2024-05-15T17:23:24Z,1,"*He is South Indian, don't watch his videos 😢*",True
@gunap8364,2024-02-15T12:54:51Z,0,slightly mixed up,True
@thrustviper,2023-06-08T02:01:19Z,0,Nice explanation! Watch on 2x for faster learning,True
@rafaykhattak4470,2023-02-08T11:51:59Z,0,so Content based recommendation is based on an individuals own choice of preferences whereas collaborative filtering influences the recommendation of an individual based on other users similar preferences?,True
@_seeker423,2022-12-05T02:21:25Z,2,Content based filtering as the name goes only looks at content for which the user has provided explicit/implicit feedback and the recommender tries to find similar content to recommend. (there is no other user involved)  I think you mixed up collaborative filtering with content based filtering.,True
@sanchitswaggy,2022-11-13T10:36:52Z,2,in between video there is vibration sound📯📯at once i thought my mike got damaged😵‍💫😵‍💫 and also checked my phone 📵once then finally i got that its the sound of your video lol😅😅,True
@fleurytene3089,2022-10-22T18:22:57Z,0,"thanks for your explanation Sir, it's very clear and simple to undastand. God bless you",True
@srishtinagu1857,2022-08-01T14:03:34Z,3,"Hi Krish, very nice explanation! One question: can we categorize documents (on different topics) using a recommender system?",True
@laxmiagarwal3285,2022-07-18T06:17:23Z,0,hello sir as far as i know content based recommendation system involves only 1 user,True
@yash42111,2022-06-12T11:44:47Z,0,https://youtu.be/1-EIOWxsrAo,True
@shreyasks9918,2022-04-09T00:50:39Z,0,It's genre not gender,True
@karthickb6950,2022-03-10T13:19:50Z,0,what are the modules?,True
@skyful9,2022-01-07T07:27:29Z,0,Who  builds the recommender system  The App/web programmer or the data scientist  ?,True
@mersancanonigo2933,2021-09-09T14:54:07Z,0,"Thank you sir, you help us alot.",True
@louerleseigneur4532,2021-07-26T02:20:24Z,0,Thanks Krish,True
@0SIGMA,2021-06-10T12:11:37Z,0,very good video. but the external sound of phone vibration was greatly irritating and distracting.,True
@satyareddy9357,2021-06-09T05:35:49Z,0,Sir Plzz upload tourism recommendation system using decision tree,True
@safrizal513,2021-06-07T03:38:24Z,1,Thank you,True
@ferhatk951,2021-05-02T17:40:40Z,1,can someone please explain me  when the machine learning comes to action? the introduced models can also be used without ML right? whats difference makes ML ?,True
@HeeraDeviJiiii4406,2021-05-02T16:57:34Z,0,"Hlo sir All videos are very helpful, very appreciable as the concepts are so nicely explained.",True
@sumanshu.nankana,2021-04-04T13:04:28Z,2,"Hello Sir, One question -  In the recommendation model - generally user preference changes over time. So, Do we need to retrain the model only on new data or retrain the model both new data + old data",True
@Harikrishna-hj5yg,2021-03-15T13:43:29Z,0,what are modules used in collaborative filtering?,True
@SergoSS79,2021-01-08T16:05:46Z,9,"Hi Krish. Nice video. Two questions:  1. as I understood the Content Based Filtering do not require a User 2. Basically it works within one user, analyse what he/she likes and tries to find movies with similar characteristics/ganre/actors/etc. Right? 2. is it possible to combine those two methods? If yes, how whould it look like? Which method will be used at first and how it will be adjusted with second? or at the same time?",True
@krishnankantyadav2505,2020-09-21T15:42:28Z,0,Nice explanation sir.,True
@satrioprianda,2020-06-12T02:11:54Z,0,"Amazing bro,been watchinh ur  channel. Didnt know its really insightful but explained in quite simple way",True
@prasunprakash2297,2020-05-18T14:15:01Z,0,"Hi Krish, Could you please make a video on Apriori algorithm?",True
@kyachahteho,2020-05-08T09:05:43Z,4,How are User 1 & User 2 related in collaborative filtering? Are they friends? Speak the same language? Reside in the same city? If the system studies the behaviour of User 1 how will it know that it has to recommend the same movies to User 2?,True
@VikasChauhan1809,2020-05-07T19:30:12Z,0,How can we decide what filtering mechanism we have to use?,True
@abhishekjn3390,2020-03-15T15:12:21Z,3,user based collaberative filtering :: Likeminded user,True
@piyushgadhvi634,2019-09-30T16:18:34Z,1,How can we filter and recommend using the features from the data set. For eg. if i am making property recommendation system and i want to filter my list using size of home or number of bedroom etc. How can we do that?,True
@beizhou2488,2019-08-20T12:43:32Z,12,"This tutorial is so nice. Thank you. I want to do a summary here based on what I have learned. Content-Based Filtering is built upon the attribute of movies(like genres, overview, etc.) and no user-generated data is involved. Collaborative Filtering is based on user behaviors, to be specific, which is to recommend movies based on the rating of users. I am not sure what I understood is right or not. Please correct me if you find any errors, please, which will help me a lot. Thank you very much.",True
@cliffkwok,2019-08-03T05:52:51Z,0,Nice video’ I brought ur book in amazon - do u publish deep learning too.?? I am waiting,True
@utkar1,2019-07-26T16:57:04Z,2,so what is the difference between them both ?,True
@shaz-z506,2019-07-26T16:24:12Z,6,"Hi Krish, Could you please make a video on, how we can evaluate Recommendation system whether its a content or collaborative.",True
@ksoftqatutorials9251,2019-07-26T15:54:15Z,2,Concept is very clear Krish.,True
@thealgorithm7633,2019-07-26T15:22:18Z,4,You are awesome bro.,True
