author,updated_at,like_count,text,public
@krishnaik06,2024-03-18T09:41:40Z,13,"AI field is really becoming dynamic.Lot of changes are coming from Traditional Machine Learning to Generative AI.This field is changing dynamically and we need to update ourself as we go ahead.  Join my telegram group where I post and discuss these types of content.Happy Learning!!  Make sure you have telegram installed in it.  https://t.me/+V0UeLG8ji-F8ThNb  Whatsapp group :https://whatsapp.com/channel/0029Va9q4Yh2Jl8NIS1oPX01 https://whatsapp.com/channel/0029Va9q4Yh2Jl8NIS1oPX01",True
@nathimarygrace2973,2024-03-19T03:52:11Z,0,"Hello Sir. I trying to implement the fake news classifier code of your video but i'm getting the error at this line model.add(Embedding(voc_size,embedding_vector_features,input_length=sent_length)) and the error it's showing is Unrecognized keyword arguments passed to Embedding: {'input_length': 20}. If input_length is removed it's giving empty summary table. Can you please help me to resolve this issue.",True
@Keyur904,2024-03-18T20:10:16Z,1,"Hey Krish, really nice video! I was wondering if i can help you edit your videos and also make highly engaging shorts out of them.",True
@blindyogi4997,2024-03-18T18:52:13Z,1,When you realize AI is the virus,True
@adarshwankhade4067,2024-03-18T18:51:09Z,1,"I am very happy  Every company fear from hacker, but community fear from virus. Directly effects job!!!!",True
@gourabbiswas1885,2024-03-18T18:24:34Z,0,Vagban Jo karta ha acha karta ha,True
@babasahebmane4593,2024-03-18T17:50:37Z,1,Anyone suggest what the best way to get Data science job if as fresher..Bcoz now day's fresher are not getting calls.,True
@sastashroud7646,2024-03-18T16:08:18Z,0,humans☕ 😂😂,True
@amritsubramanian8384,2024-03-18T15:57:05Z,1,People do really have to think about this... However seperators and other prompting techniques could be used to averse  this. 😊,True
@Ashish771,2024-03-18T15:40:14Z,0,Think if medical operation going on and virus inters into bot,True
@pavankumarjammala9262,2024-03-18T15:11:37Z,0,Where can I get the article about Morris 2 virtus ?,True
@patss5446,2024-03-18T14:29:38Z,5,"*Bhai, Ye to shuru hote hi khatam hogaya*  - Lord Circuit",True
@superohitmaurya,2024-03-18T14:15:14Z,1,Yesterday I also thinking that what are doing Cyber security experts for AI. Today it come true.,True
@deepghosal7631,2024-03-18T13:33:20Z,0,Now we need AI doctor,True
@PrathameshShete-ik2xo,2024-03-18T13:22:48Z,0,Summary Hacker : you won a lottery of 5cr just tell us the OTP  AI: 97372,True
@PrathameshShete-ik2xo,2024-03-18T13:21:05Z,0,"Ye to Aisa ho gaya  Hacker: I am from SBI, can you tell me OTP for secure your account from hackers Ai : okay 96382 God bless you 😂😂",True
@KumR,2024-03-18T13:13:55Z,0,well thats why we need AI governance,True
@bisheshbiswas7525,2024-03-18T13:11:15Z,2,"It's the same as SQL injection but a bit more advanced, I would really love to see this in action😂",True
@bullyversal5313,2024-03-18T11:59:48Z,15,Ultron has come😂😂,True
@bullyversal5313,2024-03-18T11:58:49Z,0,Of course that AI can't handle human made viruses that easily.. even the prototype of AGI might struggle in that,True
@dhawan177,2024-03-18T11:56:54Z,0,Of course there is an ai virus.,True
@firdousbhat123,2024-03-18T11:30:10Z,1,Abhi kya kya dekhna pade ga.,True
@satvik4225,2024-03-18T11:10:04Z,1,what about woke mind virus in LLMs,True
@santosh_Benkiee,2024-03-18T10:51:40Z,2,Within two years there will be lot of people don't have jobs 😢😢😢 so it's going to effect the manufacturing and production part😢😢😢 so still more jobs are going to be lost by many people in non IT 😂😂😂 so next coming years are very horror 😂😂😂 enjoy 😂😂,True
@santosh_Benkiee,2024-03-18T10:49:21Z,1,Security problem will be highly going to effect on AI softwares 😂😂😂😂 so jobless people will definitely do such kind of virus and destroy the companies 😂😂😂😂 AI can't be controlled by anyone 😂😂😂 so it will be biggest 😉 😜 problem future 😂😂😂😂,True
@swL1941,2024-03-18T10:44:03Z,0,itna hi hai toh...rehnedo fir😂😭,True
@santosh_Benkiee,2024-03-18T10:43:08Z,1,Today morning I guess this 😂😂😂😂,True
@mightytitan1719,2024-03-18T10:23:57Z,39,"Yes we need that ,these company will get taste of medicine 🤣🤣🤣🤣🤣",True
@dn9416,2024-03-18T10:19:52Z,0,😂😂😂😂😂,True
@sand9282,2024-03-18T10:15:21Z,1,"The field of AI might become more restricted to computer science professionals in the future. Recent advancements in AI, coupled with growing concerns about data security and malicious viruses, could lead to stricter entry requirements.  While it's still possible to learn about AI from various backgrounds, transitioning into a technical AI role (like those involving Generative AI) may become significantly more difficult.  However, individuals with domain knowledge in finance, banking, or sales could potentially find it easier to bridge the gap into applied AI roles within their fields.",True
@vinod_jag,2024-03-18T10:12:52Z,0,😂,True
@CrusadeVoyager,2024-03-18T10:00:20Z,19,"Breakthrough, a weapon to kil AI and protect my job 😃",True
@pgsadees,2024-03-18T09:53:42Z,1,"You are amazing, Krish, I'm so blessed to follow your channel longtime",True
@TVAddicts7,2024-03-18T09:43:40Z,2,Sir I am learning machine learning from your channel but I am facing a lot of problems.,True
@TVAddicts7,2024-03-18T09:42:35Z,2,Please sir,True
@gyanbikashmili4012,2024-03-18T09:42:10Z,4,Oh no 😅,True
@user-lk7bt1yz1t,2024-03-18T09:41:52Z,1,hi krish,True
@knight01pruthil,2024-03-18T09:41:38Z,2,First,True
@TVAddicts7,2024-03-18T09:41:33Z,3,Hello sir,True
