author,updated_at,like_count,text,public
@Shaan11s,2024-02-29T16:35:21Z,1,"finally got it, thanks!",True
@boardaddicted,2024-02-29T14:06:54Z,1,"This was a great simplified explanation, helped me get the concept right away!",True
@tyronefrielinghaus3467,2023-07-01T20:20:08Z,0,Background music really irritating.  Way too loud.and detracts.,True
@dragolov,2023-03-14T07:14:30Z,0,Bravo!,True
@kcramone4854,2022-12-13T01:35:53Z,0,this is nothing like talking to a real person...machines are not the way...,True
@nagarajtrivedi610,2022-08-12T05:13:57Z,1,"Most important aspect in your video is your voice which I feel is a God gift. Expand this video to give complete details about unigram, bigram, trigram, etc.",True
@shanmukhasreevatsa728,2022-06-03T07:29:42Z,0,Thank you for the great explanation! Can you help me out in understanding how n-grams can be used in Music Information Retrival?,True
@BlackHermit,2022-04-19T15:23:23Z,0,The music made it sound like an ad! The most informative ad ever!,True
@dasarithejaswaroop1072,2022-02-27T06:44:41Z,1,Super,True
@kachrooabhishek,2022-02-04T16:07:31Z,0,Question is how these grams help in text classfication problem,True
@rockrock5838,2022-01-20T05:01:54Z,0,Really great introductory video,True
@sambacon2141,2021-11-12T18:35:48Z,2,"Awesome! short, sweet, and right to the point.",True
@rjuez00,2021-09-08T10:29:21Z,1,thanks!,True
@vishalkrishnaag2860,2021-05-31T08:19:00Z,1,Thank you mam,True
@apsind3557,2021-03-24T21:32:33Z,0,simple and to the point,True
@versusbattle5916,2021-03-08T04:43:26Z,1,"See I didn't understand much BUT her explanation was like butter smooth xd, she sounded like she has taken hell of a classes on "" how to explain things in-front of camera"" =_________+",True
@abduljameelshaik3751,2021-02-08T04:03:32Z,0,Please reduce background music,True
@batuhandurmaz-seo,2021-02-04T19:38:19Z,0,How can I use the n-gram to write a better content? Do you have any advice?,True
@tankthebastard,2021-01-23T15:17:04Z,0,would an n-gram model be the same as a bag of words? as in an unordered collection of the ngrams from a specific sample? The terminology in the literature I'm reading keeps changing,True
@latoureiffel441,2020-11-16T11:57:09Z,0,eeehree,True
@noreddine,2020-11-05T15:50:17Z,25,"Great explanation, just some positive suggestions:  1- you have a nice voice, please lower the music volume 2- please give example of the algorithm : what to input what to expect as an output and a simple example thank you very much",True
@mileruiz1,2020-09-25T00:46:47Z,0,"Excellent explanation, thanks!",True
@RahulPanickerisanonymousnomore,2020-09-15T18:29:04Z,0,Advances in algorithmic science will improve the accuracy of NLP constructs and vector scoring. Check it out www.engati.com/blog/chatbots-nlp-aspects-deep-dive-2,True
@akshaykhane740,2020-09-14T09:36:10Z,0,Probably the best explaination. Thank you🐳,True
@purplemelodies9482,2020-09-06T11:53:34Z,0,Woww..  a good explanation indeed.,True
@evaldomonteiro6128,2020-08-12T16:44:34Z,0,I'm contente with the música. Want Heard música . Good feeling of Flo. Rida.,True
@rfvdhvvd109,2020-06-01T21:24:31Z,0,هل يمكنك الكلام باللغه العربيه,True
@kartikeykaushiq5278,2020-04-11T19:12:29Z,0,Thanx for such a nice explanation. small and covered everything I wanted to know : ),True
@shivampapat7332,2020-04-01T12:19:35Z,5,Such a smooth explanation!!  Thank you mam,True
@sanketgadge9060,2020-02-23T16:33:39Z,3,"man she is so cute, i got lost looking in her eyes, ok bye i have my exam tomorrow, thanx for explaining.",True
@malishakapugamage7052,2020-01-24T14:32:51Z,7,This video is really helpful. Please continue making this kind of videos. Thank you very much,True
@meryemeelyadari8060,2020-01-24T10:36:03Z,0,thank you a lot...if you just talk a little bit slowly please :),True
@Lastmomenttuitions,2020-01-21T07:50:41Z,16,awesome video great explanation,True
@ranu9376,2019-12-01T01:16:19Z,0,Just WoW!!!!,True
@aaddiis45021,2019-11-29T21:15:32Z,0,Thnx,True
@ZeroBene,2019-11-12T10:58:07Z,1,"awesome video, great voice and explanandum",True
@rajamahesharavapalli,2019-10-28T06:47:43Z,21,"background music is at times very high, except that a clear video",True
@mrrownel,2019-09-25T03:52:10Z,14,"Good diction (nice accent), clear message, excellent presentation. Thank you.",True
@vennify,2019-05-27T00:28:21Z,0,"Thanks you, what a great explanation! For those of you who are interested, I recently uploaded a video that explains how to generate bigrams and trigrams using python https://www.youtube.com/watch?v=-GBgUy6ufUk&t=1s",True
@bridgeburner100,2019-04-10T15:22:12Z,1,"Nice video, thanks!",True
