author,updated_at,like_count,text,public
@user-to9vz6gh4b,2023-10-28T17:33:56Z,0,Hats off to your Work Sir,True
@defiprinter5873,2023-10-18T13:07:02Z,0,Link to part 2?,True
@DaaniaKhalith,2023-03-15T07:44:28Z,0,evaluating confidence interval is the result of hypothesis testing,True
@vedprasad9975,2022-09-23T10:42:42Z,0,Bro where is part 2 of this ?,True
@alihaiderabdi9939,2022-04-12T13:50:05Z,0,awesome explanation,True
@allaboutcomputer8574,2022-04-06T08:49:33Z,0,🙌 thanks for making me get some sense,True
@Trade_with_speed,2022-03-24T02:31:44Z,0,yes it clear now,True
@agirmaus-lh9zi,2022-03-24T01:17:00Z,0,awesome explanation .. Thanks,True
@dhanushreddy4367,2022-03-11T12:59:19Z,0,Very nice explanation sir,True
@Rahul_Singh_Rajput_04,2022-02-24T12:14:35Z,0,thanks a lot,True
@write2ruby,2022-02-04T07:36:30Z,0,Great Session,True
@MySouvik,2022-01-23T13:47:26Z,0,"For the medication - IQ question -- shouldn't we take H1 as mean > 100 -- and it becomes a one-tailed test. However, the question is just whether meds affect IQ or not - could be positive or negative, hence perhaps two-tailed",True
@abhisheksa6635,2022-01-18T02:58:58Z,0,"If I am not wrong, you can never accept the null hypothesis, there is only rejection or enough evidence is not found to reject it.",True
@krishnendusengupta,2021-12-29T09:00:19Z,0,"Krish you are doing a fabulous job to explain such complex topic in your own inimitable style. Thanks a lot for making such off limit topics mainstream and enjoyable at the same time. Wish you health, wealth and lots of energy",True
@aslamuddinmuhammad4694,2021-12-01T19:03:51Z,0,"In the last problem, is null hypothesis not equals to 82%",True
@aslamuddinmuhammad4694,2021-12-01T18:42:10Z,0,If alpha is 0.01 then should we check z value of 0.995?,True
@unezkazi4349,2021-11-17T07:24:18Z,0,see iift videos....they explain much better,True
@priyeshdave3799,2021-11-14T05:43:40Z,0,"Hi Krish, I have a doubt, for One Tail Test with alpha=.05 when we are testing for the nil hypothesis to be rejected or accepted, do we still check if the p value < .05 or should we now check whether the p value < .025 ?",True
@cgqqqq,2021-10-22T01:17:43Z,0,I want this kind of pill so bad,True
@silkygarg4047,2021-10-11T09:44:24Z,0,"The alternate hypothesis condition should be >1.96 and <1.96 instead of >=1.96 and <=1.96 as the alternate hypothesis does not include equal to sign.And as per the other tutorials ,we never say that we accept the null hypothesis we always say that we fail to reject the null hypothesis.",True
@somalishant,2021-09-24T09:44:53Z,0,2 tail,True
@pramodmohandas8692,2021-09-23T08:04:34Z,0,You are doing an amazing job Krish!!! Very simple.,True
@ankitac4994,2021-09-15T06:23:13Z,2,You are the best! Never get bored in your lectures.,True
@ashishkumardas4402,2021-09-14T14:19:12Z,1,"ANOVA is generally used when we want to test the significance of the difference between more than two independent sample means. Here we dont analyze variances.",True
@navinpandey1309,2021-09-01T15:34:13Z,0,Amazing explanation..,True
@pdpbasak,2021-08-31T06:23:54Z,8,"Hi Krish, just a little correction, in this video and even in your previous video you said that p-value and the significance value are the same and are denoted by alpha. Actually they are not the same. Significance value/level (alpha) is defined as the probability of rejecting the null hypothesis if it is true. Also known as the false positive (FP) rate. In contrast, p-value is defined as ""the smallest"" level of significance at which we can ""still"" reject the null hypothesis. For a particular test with a particular level of significance (alpha), p-value obtained can be greater, lesser or even equal to the alpha. The decision rule is to ""reject"" the null hypothesis if p-value < alpha.",True
@adipurnomo5683,2021-08-28T12:18:16Z,0,"Please do many more on Friedman test, Nemenyi test. If we have more than 2 model and more than 2 datasets we use this.",True
@joyalmeida6565,2021-08-20T17:00:17Z,0,godlike explanation!!,True
@madhuravi6182,2021-08-18T13:31:15Z,1,"UR EFFORTS IN TEACHING US IS SIMPLY AWESOME, Sir",True
@data_crafted,2021-08-15T05:53:12Z,0,Great sir !!,True
@prabhamelady1680,2021-08-06T09:42:33Z,8,"Krish this is really awesome video. It clearly explains Null hypothesis, which i was struggling from many months to understand. Thanks. Plz do many more videos for t-test, Anova test, Chi Square test. Thanks a lot",True
@sumeetroy8600,2021-08-05T19:33:54Z,0,Great explanation :),True
@pushpitkumar99,2021-07-28T09:33:01Z,0,Great explanation sir. Please upload part 2 as well.,True
@Vasudha2404,2021-07-20T11:51:12Z,0,really appreciate your effort krish sir...feeling very happy to listen ur teaching and yes u blessed,True
@eengpriyasingh706,2021-07-17T11:44:38Z,0,If we don't have numerical data then can we test the confidence level only if we have some periodogram,True
@louerleseigneur4532,2021-07-10T18:34:09Z,0,Thanks Krish,True
@diptachatterjee8717,2021-07-06T17:15:17Z,1,"Its an irony that what i didn't get paying 40 k you gave it for free. Big brother, Tussi great ho!!",True
@Rana-yc6yt,2021-07-04T11:38:56Z,0,when the 2nd part?,True
@nikhilrathaur9465,2021-07-03T11:28:50Z,0,maza aa gaya,True
@TrackHawk7,2021-07-02T15:43:16Z,0,"can somebody tell , which subject is this , looks difficult but interesting",True
@thepresistence5935,2021-06-20T07:57:22Z,2,bro youre so amazing you opened by eyes on hypothesis testing . i so gald to have you . thankyou so much bro really youre awesome thanks !,True
@madhavilathamandaleeka5953,2021-06-15T12:40:15Z,2,1.96 and -1.96 are nothing but confidance intervals in terms of standard deviation. And we'll get their limits by substituting them in l Point estimate +- Margin error formula . Am I correct sir !?,True
@sowjanyadharmavarapu2653,2021-06-13T19:09:36Z,1,"this is a wonderful video.. thank you sir.. please make videos on other tests as well (t-test, anova test, chi square, f-test)",True
@jainitafulwadwa8181,2021-06-11T20:04:08Z,0,Standard deviation for z test with proportion is p0(1-p0) because it is a Bernoulli's distribution.,True
@jainitafulwadwa8181,2021-06-11T17:18:13Z,0,Why are we considering two tail test for z test? Medically we are trying to test if the medication increases the IQ.,True
@jyothinkjayan6508,2021-06-10T18:10:58Z,1,"14:41 how can we say we accept null hypothesis, we generally say we fail to reject null hypothesis.. Which one is correct",True
@akshayshenoy7417,2021-06-10T17:55:52Z,0,Krish waiting for part 2 please start,True
@kjaisharma,2021-06-08T06:26:55Z,0,"Sir, part 2?",True
@hardikvegad3508,2021-06-06T14:42:37Z,0,Amazing video krish...bring back college memories...when i got KT at stats twice.... I wish you made this video at 2018... Thank you😂😂😂.,True
@devinpython5555,2021-06-06T14:03:22Z,1,"in both the example the value does not fall in range so rejected null and accepted alternate , but in first example conclusion was there is change in IQ , second example conclusion claim is Inaccurate , my understanding  is like claim is accurate . could someone help?",True
@vallimuthaiyah5098,2021-06-06T02:22:02Z,0,Does one sample z test with proportion example refers to Bernoulli distribution? Y it should have Gaussian distribution here?,True
@hamzahjamal8334,2021-06-01T18:39:42Z,0,"After going through 15+ videos on youtube on Inferential statistics, I am finally able to understand the concept. Thank you so much Krish sir for the awsome,detailed explanation. And it is a humble request to continue this series from where you left.",True
@rishabhvarshney2234,2021-05-30T17:24:20Z,0,This is best sir please continue ASAP,True
@OnkarSingh-rg5jp,2021-05-29T07:49:09Z,0,"Krish, Thank you so much for this explanation!  I was literally searching the web to explain me this concept and you did it beautiful with just one video.  Thank you so much ❤️🔥",True
@joeljoseph26,2021-05-26T18:38:54Z,1,95% -> Confidence level,True
@ArchnaVijay,2021-05-26T14:05:23Z,0,"Hi Krish, can you please make a video on the Calibration model /plot",True
