author,updated_at,like_count,text,public
@MrHatoi,2019-10-13T18:57:58Z,0,You should use integer division so you don't have those crazy decimals. That would help the network a lot.,True
@casewhite5048,2018-05-15T13:40:48Z,0,"would it ever be possible to combined the word/language / maths learning systems to eventually solve/recognise word problems and solve them for example ""Two trains leave Chicago, Illinois, traveling in the same direction along parallel tracks. The first train leaves 3 hours before the second, and its speed is 15 miles per hour faster than the second. Find the speed of each train if they are 270 miles apart 3 hours after the second train leaves Chicago.""",True
@edwardhu7883,2018-05-01T01:32:19Z,0,"www.deepsymphony.com is a good resource for generating music with NN. (disclaimer, i'm one of the authors)",True
@rounaqchoudhuri7762,2018-04-30T08:33:17Z,0,"Hi sentdex, Can you create a series on PySpark?",True
@zakarie,2018-04-29T05:42:10Z,0,very informative and high quality videos. Thank you and keep them coming  sentdex,True
@MrKryptoGaming,2018-04-27T02:31:22Z,0,Sentdex have you seen this? https://github.com/JiahuiYu/generative_inpainting  you could possibly do some interesting things with it for this series.,True
@BakiFit2003,2018-04-26T20:25:04Z,1,"SentDex, I was wondering , is there way to compare sounds in python?",True
@bartoszpaternoga5522,2018-04-25T09:37:12Z,0,"Hi Harrison,  TensorFlow.js  has been released. We can use the TensorFlow code  with any JavaScript web app.  We can also use pretrained models and convert them to TensorFlow.js . It seams that ML powered web apps are just behind the corner and it is potentially v good business. Would you create a dedicated tutorial series for ML and javascript?",True
@smartmineofficial,2018-04-23T18:05:27Z,0,"Hey sentdex, I managed to train the model much faster by increasing the batch size from 128 to 2048 on my 1080Ti (3hrs vs 40mins). Hope this helps!",True
@MackTheTemp1,2018-04-23T02:27:40Z,0,"I think your model could be improved by providing an elementary training set where the training data only has ints 0-100. Given that you're trying to train the neural net to 'learn math' consider that humans have seperate neural processes for estimating the multiplication / addition of numbers and actually calculating them. They they take different amounts of energey/time for our brains and are located in different areas of the brain -- Thinking Fast and Slow.  I believe there are axiomatic first principles of math that the bot will never imagine if it's trying to guess what the product of two huge numbers is in a nano second before checking it's reward status. If you think about the data we consume when learning math, it's highly curated.",True
@yb1465,2018-04-22T17:29:39Z,0,can u please tell me how to plot the values on the bars when u plot the bar chart using MATPLOTLIB in python ? i know the question is not related to this video...but i really need your help....thank you !,True
@user-rl7vf6ep7f,2018-04-22T07:05:16Z,0,Interesting,True
@windrises9996,2018-04-21T19:36:28Z,0,satisfying voice!,True
@ajeyajois9186,2018-04-21T14:57:02Z,0,could u plz do a video series on making voice user interface using nlp and python?,True
@rivaanb,2018-04-21T10:12:53Z,1,Could you please do a video series on Pytorch? 😃,True
@Eurley66,2018-04-19T11:41:17Z,0,"What if you trained the model on increasingly complex data -- That is to say, begin with 1 char numbers, then 2, etc. up to 5. Maybe the model would learn the operations? I'm also curious to know if families of neurons activate given a specific operation or order of operations. What if the loss function the model was trying to minimize was an absolute difference function instead of a least squares one? So much questions flow when dealing with these! I'll try and do some research with my own models with basic mathematics, it feels like digging and getting more and more comprehension of the models doing so. Anyway, very impressive to see the model get so close results, given how big the numbers are.",True
@aneeshaneesh4275,2018-04-18T13:25:52Z,0,Hi . I am installing kivy on ubuntu but after installation it is giving importing error . please help me it is wasting my so much time.,True
@_petrok,2018-04-18T10:08:00Z,0,I really like the idea of a computing nn. But is there any way to make an error estimation? The model could be bad at generalizing - an approximation error is fine as long as I know how bad it could possibly become.,True
@polares8187,2018-04-17T19:55:15Z,2,Can we train different neural networks for every operator and create another neural network which learns the proper order of operations of wanted calculations. Based on the order of operation our neural network provides we can use the operator networks to do the computation. Might be interesting to try.,True
@Iwantyoudie1995,2018-04-17T19:11:53Z,0,"I'm wondering if we could use the difference between the expected output number and the output of the network (treated as a float) as the loss function used in training. I mean, I'm guessing that the model is using some sort of character-wise loss function (I didn't study this model), but probably a loss function that takes in account the real purpose that is to minimize the difference can help.  However i'm not an expert, it was more a doubt than an advice.",True
@_jelle,2018-04-17T19:07:50Z,0,"You're asking it to predict 17 digit numbers, maybe you should just let it predict the 8 or so most significant digits to give it more of a chance. Something of the form 1.2345678e+9 instead of 1234567801.23456789. I also think the fact that it's training just as hard on the 17th digit as it does on the 1st digit might be a problem, that could just be adding noise to your training because it's never going to learn to get the 17th digit right anyway.",True
@danweecc,2018-04-17T16:04:13Z,0,I'm wondering what would happen if you gave it a problem with numbers bigger than it trained for. Will it be able to infer the rules and go from there?,True
@wolfisraging,2018-04-17T14:10:56Z,0,"With tensorflow, everything is just beautiful, well there is a new library out too which is tensorlayer, Checkout",True
@MichaelsTechCenter,2018-04-17T14:10:15Z,2,You could try to find the kleptographic backdoor for Dual_EC_DRBG.,True
@dippatel1739,2018-04-17T14:04:42Z,3,use learning rate 0.1 for a longer time and then decay it after 50k or 40k epochs. It should make much faster learning in the initial stage.,True
@adeeb12321,2018-04-17T13:40:24Z,0,thank you ❤️,True
@IamAeone,2018-04-17T13:37:19Z,0,Thank you.,True
@MichaelLikvidator,2018-04-17T13:31:52Z,1,In order to find optimal hyper parameters for your model you could use https://github.com/hyperopt/hyperopt its very easy to use. I used it for optimisation of my model and it worked well. This lib is based on Bayesian optimization.,True
@ayush0477,2018-04-17T13:20:10Z,0,i found nasa open sourse project site.we can try some real stuff.,True
@isayabendera,2018-04-17T13:15:51Z,0,learning a lot from you bless up!!,True
@andreacodutti1313,2018-04-17T12:57:24Z,0,"Just a question, why would anyone doing algebra with AI? Do you get any advantage from it or is just for research?",True
@maspofu2538,2018-04-17T12:48:44Z,0,Complicated :(,True
