author,updated_at,like_count,text,public
@nm425,2023-05-26T18:51:54Z,1,I watch this series about once a year. I don't use Python enough to stay up to speed on the fundamentals. Really helpful!,True
@ChristianEmenike,2023-03-26T10:07:15Z,0,@sendex you are officially my go-to-source on all things python and the official python expert for my python community. Thanks for your content. Big love from Liberia,True
@khamidullokh6056,2022-02-23T18:50:35Z,1,Thanks for an absolute great tutorial!!!!,True
@kingsleyuchenna8937,2021-09-22T22:11:48Z,0,Please my downloaded python looks different from yours. Any clue on what to do to get it working as yours? Thanks boss,True
@kingsleyuchenna8937,2021-09-20T01:56:17Z,0,"Thanks for that clear and beautiful video. Please pardon the nature of my question. I'm a beginner. My question is; after defining X and run, it ran in 1sec unlike when it took 3secs to run when not defined? What does the time running difference mean?",True
@aashishcisco,2021-06-20T05:21:21Z,2,fallen in love with you .I have put a huge poster of yours in my room .....,True
@untilthen2784,2021-04-17T16:13:30Z,6,"I'm 2 years late, but I cannot tell you how much I appreciate your series. I learned the basics before, never really practiced because life was oh so busy 🙄 and now I want to get back in BEYOND basics - unfortunately I must start back from it. So this series is really helpful, not boring, and puts things together way better so I'm not sitting here like ""wait...what?!"" 🤩🥰",True
@cool1123456,2021-02-04T08:32:03Z,0,Hey....Love you.....K bye :),True
@miss_tech,2021-01-03T13:40:31Z,0,i get bored in functions always :(,True
@timeforrice,2020-10-03T21:48:53Z,0,Great course!!!,True
@MuhammadUsamaQamar,2020-05-05T21:33:37Z,0,Is this the tutorial you want us to learn before jumping into actual machine learning tutorial?,True
@chrisdutton2011,2020-03-29T13:51:10Z,0,"Picking up where I left off trying to learn Python (what else am I going to do during lock-down?), I have to say out of all the available videos out there, YOURS are by far the best and easiest to follow/understand, thank you.",True
@alexpedraza6573,2020-02-19T01:27:48Z,0,I started going through your tutorials here and I have to say great explanation on everything. I'm still learning the basics and I have to say that I feel like I got great value form this.,True
@alextapia3810,2020-01-03T21:29:21Z,0,"God bless you, for all your help",True
@fonatic5893,2019-11-14T23:52:54Z,1,"I enjoy ur videos, thanks for filming, rly helpful :D I hope you take one million subscribers in a short time)",True
@nadiiaradionenko8793,2019-08-01T18:00:22Z,7,The  best tutorial on programmng I've ever seen. Thank you for going into details and explaining every move - this is soooo helpful! Thank you so much!,True
@tonipodobnikrozman9919,2019-08-01T08:29:02Z,4,"i tried ""ctrl+]"", but it does not work for me to align tabs in a def of a function, can anyone help me?",True
@marwanabdulhady330,2019-06-17T01:19:54Z,0,"I implemented the same code  game = [[0, 0, 0],        [0, 0, 0],        [0, 0, 0],]   def game_board():     print (""   0  1  2"") for count , row in enumerate(game):     print(count, row)   game_board()    game[0][1] = 1  game_board()   but i got this result   0 [0, 0, 0] 1 [0, 0, 0] 2 [0, 0, 0]    0  1  2    0  1  2 #without the move!",True
