author,updated_at,like_count,text,public
@trimmmm11,2023-02-27T02:12:49Z,0,Can you please how to execute Twitter sentiment analysis based on ordinary regression project code,True
@abdulmanan8228,2022-12-12T13:37:21Z,0,sir websites is not working properly. it showing some error issues.,True
@poonamkadam934,2022-08-28T07:46:25Z,0,Any can help me I need e receptionist chatbot system,True
@thenameissheikh,2022-05-21T16:04:01Z,1,can we add those projects in resume?,True
@abdulqadar9580,2022-05-11T14:57:50Z,0,Nice information,True
@sairamexcellent825,2022-05-02T07:48:48Z,0,Thank you and thanks to him.,True
@sensehumour8290,2022-03-25T15:29:21Z,0,Thanks sir your project help me a lot!!!,True
@silpi5743,2022-03-11T17:20:45Z,0,"Which is best data science or machine learning or artificial intelligence,  to make career ..please reply",True
@Engycation,2022-03-05T09:05:47Z,0,Very Nice Video Go A Head,True
@dreamer9067,2022-01-25T16:59:18Z,0,Sir can you do gym management,True
@prashantkandarkar8993,2021-12-15T08:53:41Z,0,is there java project similar to this ?,True
@tatendamake7307,2021-11-21T18:23:43Z,4,"Thank you Krish this is absolutely amazing. If I may ask, up to what stage/part of the Python playlist must I learn so I can be able to start on Aman Kharwal Python Projects just for beginners stage ? Please advise",True
@enlightningstars7739,2021-11-16T14:52:27Z,0,"Sir,please make a video of project ,topic on image based reminder(A brochure ,and seting reminder automatically by accessing time and date from brochure) application using python",True
@vanavarajanrajnesh2437,2021-11-14T08:15:36Z,0,Sir I'm in class 12 Cbse School In my  computer science investigatory project topic  Patient History using python kindly advise me Sir,True
@taniabanik1047,2021-09-27T20:05:34Z,0,Helpful.,True
@sateeshkarri8178,2021-08-28T04:38:45Z,5,Lot of topics covered Aman sir. Very useful . I am beginner.  I want practice your. Coding real time projects . Thanq,True
@CarlosMagno-hp2bo,2021-08-20T11:14:36Z,1,Tank you very much!!!,True
@justinbala3021,2021-08-19T07:41:03Z,0,OMG. Accidentally I bumped here. It's a treasure for me. Kamaal kardhiya bros.  Best resources for a beginner like me.,True
@SasidharanAnnamalai,2021-08-09T10:37:29Z,0,#SasidharanAnnamalai,True
@MCAAvinya,2021-08-01T10:40:54Z,0,Scrape Wikipedia,True
@kaushalrawat4536,2021-07-30T06:45:44Z,0,Can anyone help me making my python project run on my laptop,True
@Suraj_2120_,2021-06-19T17:38:32Z,0,I need help in ML project please help anyone,True
@c349satyaprakashsingh9,2021-06-04T20:20:03Z,0,Thank you so much bro,True
@dufenshmeitz,2021-04-27T14:10:00Z,3,Please help regarding : project involving basic machine learning using python (students should understand basic machine learning and apply it on specific situation),True
@sANILKUMARTELUKUNTLAanil,2021-04-24T16:57:56Z,0,"need help in ""extract text from videos""",True
@abhayagarwal322,2021-04-15T10:42:49Z,0,Sir where your Python playlist,True
@nagarjunahota4498,2021-04-14T13:57:32Z,1,REALLY A NICE WORK THANK U AMAN.,True
@pratik9822,2021-02-28T16:19:38Z,0,thanks,True
@random.random7631,2021-02-13T07:27:27Z,5,Very very great! Greatest! Thanks to Aman sir and to u also as u brought this to our notice.,True
@manoj686,2021-02-05T09:44:35Z,0,Hello sir we want python.... Project,True
@RupaKumari-wy8wb,2021-01-25T13:00:54Z,0,hi @krish pls suggest good ide for python.as m a biginer and swtiching career  to big data,True
@mayursai7220,2021-01-18T15:57:24Z,1,Bro please explain how to change my career path into cloud computing  Currently i am working as uxdesigner Please do a video on that 🙏🙏,True
@SamsunNaher-gt1yt,2021-01-18T13:13:36Z,0,url does not work.anyone face  this problem????,True
@gunashekarchenna3171,2021-01-18T10:27:53Z,0,can anyone share the object detection tutorials please.,True
@giridharan3678,2021-01-18T09:41:58Z,4,Thank you....🔥. . continue the work...and share the knowledge...❤️,True
@ZahidHasan-cc8tf,2021-01-18T07:25:45Z,10,"Sir, i was wondering could you please do full nosql course from intermediate to advanced level?",True
@benyaminasgari7503,2021-01-18T06:45:48Z,10,Could you please also introduce where we can find projects with R and their solution?,True
@ranasharma2302,2021-01-18T06:43:01Z,3,Sir please upload some full stack web development projects,True
@priyaganji7923,2021-01-18T06:19:01Z,1,Shall we put these projects in resume? @aman,True
@SahilKhan-yu3oh,2021-01-18T05:49:36Z,2,Sir I am 3rd year student can I join full stack data science course,True
@SahilKhan-yu3oh,2021-01-18T05:49:06Z,3,Sir I am 3rd year student can I join full stack data science course,True
@shikharjoshi6349,2021-01-18T05:42:29Z,66,Freecodecamp be like: Ohh! competition,True
@Krishna-yp7vh,2021-01-18T05:26:37Z,6,"Hello sir,  I am mechanical engineering student graduated in 2018. Currently i am working in sugar industry. I want to switch my career towards data scientiest. But i have to do this along with job because of financial problem.  Sir please suggest me the way to switch to get data science job.   Thank you.",True
@ramkumars4658,2021-01-18T05:10:30Z,3,Thank you for sharing such a useful Post.,True
@adityachk2002,2021-01-18T04:55:28Z,2,Nice,True
@krishnad5755,2021-01-18T04:44:27Z,1,Thank you so much bhai🙏🙏❤❤,True
@shashanktripathi5371,2021-01-18T04:43:49Z,1,"Sir kindly give me your email id,I want to some guidance on some issue plz help",True
@amankharwal8612,2021-01-18T04:39:01Z,36,Thank you so much sir,True
@salmansayyad4522,2021-01-18T04:32:38Z,5,Sir looks like data science is hype! not getting job calls!,True
@rakeshkumarrout2629,2021-01-18T04:09:28Z,15,Sir please make a video on fresher's resume building... please sir...we know you posted video on that...but that was for experienced one like you...kindly make video for freshers...and also DSA using python...,True
@prakashkafle454,2021-01-18T04:01:53Z,8,Bert implementation for text classification waiting for this 😊,True
@sivaramapandian3923,2021-01-18T03:25:52Z,1,waiting 🔥,True
