author,updated_at,like_count,text,public
@krishnaik06,2021-05-30T08:07:50Z,19,"Hello All, We at iNeuron are happy to announce 30 Days Fast Track Data Science Interview Preparation from 17th June 2021. The classes will be from Monday to Friday 8 PM IST to 11 PM IST every week. The course fees is 3500 INR including gst.  Prerequisites: Basic Understanding of Python Basic Understanding of ML Basic Understanding of DL   You can find all the other necessary details below https://ineuron1.viewpage.co/30daysinterviewDS  You can fill the below form to reserve your seats. Happy Learning!!",True
@sowmya6471,2023-12-19T11:50:03Z,0,Very nice explanation...👏,True
@saisudha4305,2023-03-01T06:40:53Z,1,Hi bro I want a project in business analytics for MBA.. can you have any info for that,True
@saketdevadiga4580,2023-01-16T13:09:54Z,0,9:33,True
@osamaosama-vh6vu,2022-09-14T16:34:36Z,0,Thank u sir finally i understand very well😍,True
@vivekjoshi3769,2022-07-15T07:23:29Z,0,15:55 Can anyone kindly explain what's scaling up and scaling down here with respect to clouds ? (Mentioned time stamp for the same) thanks :D,True
@pankajzurange4385,2022-05-04T17:55:04Z,0,I saw ur video on turing.,True
@aartisoni89,2022-04-21T13:20:31Z,0,Thank you so much sir,True
@mdzeeshan5926,2022-04-16T12:59:44Z,2,anyone here from KOLKATA preparing Data Analysis,True
@datapeek,2022-03-13T04:50:57Z,2,You should be taking a project and explain what you would as a data analyst. Giving vague idea doesn't help anyone.,True
@btheducationalgroup6981,2021-11-20T05:20:24Z,0,https://youtu.be/qvybByMBva0,True
@sambahadur7218,2021-06-04T05:22:06Z,0,Honeywell ki salary range kya hai for various roles in data science/analytics?,True
@yashramanii,2021-06-03T13:22:47Z,0,Thank You for the explanation.,True
@iammuzan,2021-06-02T07:57:20Z,1,What is your view on the Google data analytics course on Coursera? Is it enough to get interviews for an entry-level data analyst role?,True
@rishabhmishra279,2021-06-01T09:31:03Z,0,"Can anyone tell me the blogs , websites and communities to follow, to get news and updation related to data science, AI field ???? I try to search it but I m really much confused ..",True
@LastManRising,2021-06-01T05:27:48Z,5,"sir,can u suggest some good project ideas  for data anlyst resume for freashers",True
@dheerajkura5914,2021-05-31T03:12:17Z,15,"This is good explanation..👍  But I want to highlight few things here irrespective of the role either Data Analyst / Datascientist ... better the analysis better the inference from ML algorithm which creates the purpose for solving business problem   Technology and tools co-exist during the entire stages of Datascience but getting right inference from the data should utmost importance ..but sadly the prime point of Datascience project is getting sidelined in a very smart way   I suggest you to do the videos not just highlighting what the companies are looking by highlighting the hiring patterns, also focus on excellency while working in Datascience project , excellence with regards to ROI created for a business problem after solving the business problem from Datascience project in conjunction with Technology as well",True
@javedj5338,2021-05-30T18:50:32Z,2,Thanks for providing understanding of REAL-WORLD usage of different tools,True
@shravananantharamakrishnan8461,2021-05-30T17:21:49Z,1,Kindly do a video on some tips for winning or getting good ranks in data science hackathons Though the algorithm i use performs well on my train and test data i don't get good ranks in the competition So kindly do a video regarding that,True
@rajapaul4920,2021-05-30T16:48:14Z,76,I am data analyst and I recommend this video to all who wants to know clear their confusion about what data analyst and a data scientist do. Thank you for creating an amazing content.,True
@roshanvichare6924,2021-05-30T16:43:55Z,2,Can anyone recommend a good detailed book that covers every statistics concept (pure math no python or R),True
@sopanhatwar6235,2021-05-30T16:17:36Z,1,Awsome session sir,True
@amanrauthan1222,2021-05-30T16:12:49Z,1,Thanks for giving us idea  how real project look like,True
@balabharath4511,2021-05-30T12:02:28Z,4,"Sir, Please add ML end to end project 🙏🏻",True
@ishtiakahmed3272,2021-05-30T09:02:18Z,2,"Hello sir, I have completed your machine learning and deep learing playlist and understood them. Do I need to learn additionally for deep learning or your playlist is enough? Please answer my query. Thanks for your easily explained video.",True
@beingrishi6450,2021-05-30T08:10:13Z,2,Wow..... Great....,True
