author,updated_at,like_count,text,public
@priyankagupta-dg4qr,2021-09-22T16:32:41Z,0,Sir I am .net developer I have 1 year experience so what should I do ?? continue .net developer or switch to the data scientist or some other technology I don't understand anything I just want my future bright and financially independent.,True
@sandipansarkar9211,2020-09-13T06:32:13Z,0,Learnt a lot of things,True
@krishnakishorepeddisetti4387,2020-09-06T22:57:16Z,1,My Team should see this video... whenever I ask them to work on a specific task....they say...I don't want to do basic work..I want to work on statistical modelling...I am fed up explaining them ...that data crunching is more important than modelling,True
@raviranjansahay9467,2020-09-05T11:44:26Z,0,how can be domain expertise???,True
@SapnaKumari-is5bv,2020-09-05T07:21:25Z,1,Happy Teachers day sir🙏,True
@Dreamingwithram,2020-09-05T05:15:37Z,0,Sir can u Make a video on Android application in machine learning it will helpful for us,True
@yogendranayak5585,2020-09-05T01:21:28Z,0,*not just,True
@pradeepbhunya9040,2020-09-04T10:18:58Z,0,What if I want to move into data scientist profession after having around 3.5 yrs of experience in Base24 switch ( which is related to development in banking domain) ? I will be treated as a fresher or experienced candidate.,True
@agent54yt57,2020-09-04T05:35:38Z,2,Most required motivation for the Fresher's,True
@adityasoni1639,2020-09-04T05:15:30Z,1,This just made my day..!!!!!,True
@niteshkumarsharma8305,2020-09-04T05:07:58Z,0,"Couldn't agree more to you Krish.! I have been as a data scientist for an year and trust me guys I am learning about software design patterns and other stuffs like that right now! The most important thing that I have learnt is while working is that you should be able explain results of the model, why the model is not performing well?, what are the test samples that it is not able to predict?.  Model building is an iterative process so do don't throw hands if you see poor performance!",True
@shrayasiyer2111,2020-09-04T04:30:22Z,2,Hey.. I switched from commerce to Data Science i.e i am a student of Data Science.. i had no connection with computers . Will the KPO Domain knowledge and off course the banking and commerce that i have studied  be helpful in any aspect,True
@shaikmoosa650,2020-09-04T01:45:20Z,1,Man!!!! I was thinking about the same thing today and you have answered it randomly with an adamant interpretation !!!! Thank you!!! I work for bpo and thought to leave the job,True
@TheMakrayan,2020-09-03T22:33:09Z,1,"Hi!! Krish this is a wonderful video that clarify all my doubts ,as I am on the path of getting knowledge of data science. Even your blogs are mine of resources. Thank you!! and keep it up 👍",True
@animeshmishra4282,2020-09-03T17:51:45Z,1,Sir please tell mein aapne playlist mein deep learning ka pura basics cover kra h? Please update it if not i need your videos.,True
@bestcakesdesign,2020-09-03T16:41:27Z,1,🌹thank for information  Your ear are looking like Hobu a character of Hatim. Because of your head is superimposed on chair but ears of chair are out of convex hull.,True
@swadeshsaha1163,2020-09-03T16:16:50Z,1,"I'm a newbie learner in Data Science. Please, sir, can you give me some advice on how can I become a ""Data Scientist""? I'm currently learning python. How can I learn Machine Learning and get a job and a complete guideline and step by step to become a Machine Learning Engineer then a Data Scientist !!  Please sir help me !! Love from Bangladesh Krish Sir !!",True
@deepak70813,2020-09-03T16:06:19Z,0,"Anyone having 1 year of experience in data science, send their resume at deepak@thesagenext.com",True
@Abhishrek,2020-09-03T16:01:34Z,1,Sir do you workout?,True
@sandeepkumar-mo3mm,2020-09-03T15:59:05Z,2,"Hi sir right now i am working as data analyst in U.S real estate domain and calculating the house price manually by using few factors , will that be helpful for me in getting into datascience for real estate , i have also completed your ML and DL playlist but i am not that good in UI part ,if you can advise me  . Please",True
@hiteshmoharle5840,2020-09-03T15:58:40Z,1,Huge Respect 🙏🙏,True
@bhavyajoshi9857,2020-09-03T15:55:16Z,0,But sir what if someone gets a job as a software engineer (more package) and also in ml (less package)? What should he choose?,True
@enoshsubba5875,2020-09-03T14:17:32Z,1,Respect.,True
@subhamdey6302,2020-09-03T14:09:09Z,6,Exactly Krish Am a software developer and when i do my data science projects every bit of experience is coming handy. From getting a clear idea of the problem statement to developing the code within the given timeline.  SO I WOULD SAY NEVER STOP LEARNING FROM YOUR SITUATIONS (WHATEVER IT IS). ABSORB AS MUCH AS YOU CAN .,True
@rishavdash1272,2020-09-03T13:58:44Z,1,I have an offer for software development internships but I don't see much on DL. I think after your video I should go for it and prepare parallelly.,True
@johnnyfry2,2020-09-03T13:50:09Z,2,"Good advice, I appreciate your passion and I hope new grads listen to this.  As someone with a background in business, sales and work at a large I.T corporation, there is rarely any straight line to a particular career or job.  You will often incorporate all your work and life experience to obtain a career, all experience has value.  Keep your eye on your ultimate goal, but don't corner yourself.",True
@sumitjoshi9972,2020-09-03T13:37:41Z,1,Thank you sir,True
@jagadishreddy5693,2020-09-03T13:19:28Z,1,Thank you Krish... Happy for this video ✌️,True
@josyjoy2836,2020-09-03T13:00:26Z,0,Hello,True
@princejayish,2020-09-03T12:56:52Z,4,"Sir I'm 2015 pass out  engineeringworking in digital marketing field , I want to switch to data science , pls tell me may I get job if I give 100%...... Pls sir reply   And if  yes , pls suggest me an institute",True
@rithwikshetty,2020-09-03T12:51:54Z,22,Krish just slapped some motivation at my face :p,True
@yashsolanki069,2020-09-03T12:39:38Z,1,I'm graduated but didn't placed and now preparing for data science without rushing as i rushed and just end up dabbling among technologies which resulted me in end up quiting soon.,True
@manideepgupta2433,2020-09-03T12:35:02Z,1,Can you please help in understanding with an real time project example.?,True
@mohdhasanrizvi6940,2020-09-03T12:22:13Z,1,"Krish Sir,Does the late transition for (3-5 years )experienced  person into Data Science  in the  one's career will make the expectations  of the employer more high?Or he will be treated as a fresher.",True
@hari-tq1wp,2020-09-03T12:21:48Z,1,"Sir,   Iam  postgraduated in mathematics.  Can i do datascience?",True
@mranaljadhav8259,2020-09-03T12:15:44Z,1,Thanks for this video ❤,True
@tariqanwar8097,2020-09-03T12:10:05Z,3,"2 month ago I got selected for junior software engineer in node.js language ,but I skipped because this is not data science. Asked for your suggestion in telegram no reply.But now I got understand Sir thanks sir.Any job I will go",True
@barathkumarg3461,2020-09-03T12:07:30Z,1,Super sir,True
@deepshah6482,2020-09-03T12:06:37Z,1,Thanks krish for advice 👍.,True
@kunalpatel8208,2020-09-03T12:06:34Z,1,Sir but then after sometime we want to join as DataScientist then the another companies will accept us for DataScience Role.,True
@gnraju1853,2020-09-03T12:05:06Z,1,Helo...Mr.krish very good information and trust me,True
@pratikbhansali4086,2020-09-03T12:04:15Z,1,Sir I'm really confused I'm in final year i only know python and C language and all the concepts of data analysis data visualisation machine learning and deep learning. Should i learn only this or should i also learn software development engineering,True
@sambitbehera8835,2020-09-03T12:04:06Z,1,I have experience in backup and restore  How it will be used in data science,True
@srikanthguggila6558,2020-09-03T12:00:38Z,1,Meaningful information,True
@rajasekhar4833,2020-09-03T12:00:13Z,1,Absolutely true Krish sir,True
@kuldeepsinghdudi,2020-09-03T11:59:58Z,4,I love your videos the most ❤  you have explained everything so simply.,True
@mitultandon5227,2020-09-03T11:56:31Z,1,You are doing a great job! .Need more teachers like you.,True
