author,updated_at,like_count,text,public
@nagrajkaranth123,2023-10-09T07:10:52Z,0,in devops is more about automation automation in simple words I can say like in case of devops  we used configuration management tool such as ansible chef and puppet pulumi   most of the companies use ansible ansible is used in devops or sdlc inorder to reduce manual tasks and reduce tasks which are repeatitive and time consuming,True
@nagrajkaranth123,2023-10-09T07:00:36Z,0,in azure pipelines there are two types of ci/cd one is yaml pipeline and another option is class pipeline,True
@nagrajkaranth123,2023-10-09T06:58:34Z,0,QA dev deployement test comes in azure pipelines sections lastly you need to run yaml pipeline script using windows powershell and run azure pipeline agent and self hosted agent as well,True
@nagrajkaranth123,2023-10-09T06:56:06Z,0,yes sir in azure devops we have sprint section where each team member is assigned with specific task it may be divided into 6 or 3 sprints and where you will be assigned some task like if you have  problems in login page and  task type is bug in description you need to specify what is the issue epic and feature are remaning features in azure devops adminstrator is restricted because manager only has access he will be knowing what task has been assigned to each team member and what is the actual deadline in case of aws devops I'm not sure what is the procedure,True
@not_today60,2023-10-07T12:46:25Z,0,"Thank you so much! I finally understood MLOps from your video, very helpful 👍🏻",True
@lambar0,2023-08-07T03:22:03Z,0,"Hi @krishna awesome videos, could u recommend how I can get capstone project experience without breaking the bank , I am 25 years experienced IC with last  4 years in infrastructure and Devops? Thanks",True
@lambar0,2023-08-07T03:20:18Z,0,Thx for sharing,True
@sovietmah,2023-07-25T06:31:48Z,0,"Hi, one question from me on best practice is that are we going to have 1 ML pipeline for 1 ML model?",True
@learner8053,2023-07-10T17:32:25Z,1,11:52,True
@rajub3704,2023-07-03T08:27:58Z,0,Good discussion but need sample or example pipeline of ml,True
@vaish6859,2023-05-24T17:52:25Z,0,"Thanks for the video sir. If I learn devops first, can I cover half of the mlops part or is that completely a different approach?",True
@R-Kannada-DevOps,2023-01-26T18:32:46Z,0,"Sir we appreciate your effort, But your image itself covering maximum arear of our display, kindly reduce size of your video on top of this sir",True
@Xaito,2023-01-04T09:44:34Z,0,"""Software doesn't degrade, it only improves"" I get what you're trying to say, but as someone who does QA occasionally, I have to say that's a bold statement. ;)",True
@nasimthander9137,2022-12-29T07:24:50Z,0,Good One,True
@gudiatoka,2022-11-20T15:40:44Z,0,Thank you sir,True
@atteleo,2022-11-09T15:17:45Z,0,"A lucid yet effective explanation, Thanks Krish",True
@Raja-tt4ll,2022-09-17T03:37:28Z,0,Nice Video,True
@macmohan9556,2022-09-06T08:15:26Z,1,Krish are you using WACOM tablet to write on the screen. Just wanted to know. If not what is it.,True
@sandipansarkar9211,2022-08-12T16:58:23Z,1,finished watching,True
@chocky_1874,2022-08-10T10:58:21Z,0,"Man, You're Great. You helped a lot in understanding. Thank You :)",True
@hegdes.adventure,2022-07-08T03:09:13Z,0,"boss, if ur handwriting is not good. please 🙏 type it and not write it. we are here to get some info. it shd imprint in mind. so i feel you shd put out in text next time. so in the end it looks good, stick to mind, also we can take screenshot.",True
@sachink9102,2022-07-01T12:43:10Z,0,who does this MLOps work.. ML Engineer or a Data Scientist,True
@whoami2654,2022-06-18T12:09:45Z,0,Diff. Between ML engineer and MLops,True
@AmeerulIslam,2022-04-15T17:46:19Z,0,Nice bhai.. You are always ahead in this field. This is one of the career path I'm eyeing at.,True
@gautamnayak8847,2022-04-15T06:20:00Z,0,Hi krish can you suggest best mlops course on coursera please... I have good experience with ml dl and ds but I want a certification on mlops,True
@gopiraj8312,2022-02-12T17:52:34Z,0,Do we need coding skill to work on MLOps?,True
@sanketlimbekar,2022-01-22T13:25:10Z,0,"What are prerequisite skills for MLOps? I am new to the domain, Pls suggest course to start learning ML ops.",True
@rajeshsomasundaram7299,2022-01-17T09:48:37Z,0,I joined as a ML Ops engineer. Could you help me with any resources where we can read about it,True
@arshadsiddieque7097,2021-12-20T15:08:27Z,0,What are the skill set required for one to become AIOps Engineer or MLOps Engineer?,True
@shresthsaini,2021-12-16T08:29:49Z,0,"Sir ,  DevOps OR  Ai & ML , which course is more promising in upcoming future?  do answer this please",True
@SoumyaDasgupta,2021-11-10T10:26:02Z,0,"I think Krish you missed metrics check, that is from where the retraining comes from. If the model ain’t well which we know from the KPIs, we then retrain. I thought of just mentioning this. Always a treat to watch your things. Learnt everything from you.",True
@vijaym4598,2021-07-12T17:42:45Z,0,thanq krish...bro i like your concept explanation .,True
@rameshroshan8934,2021-06-20T07:18:34Z,0,"dear sir excellent vedio  , sir sometime hr or emplyer description  focuses on 3 things 1  sql in depth internediate level  2 power bi tool as this is best currently.  3 pyspark .   4  ds algo atleast ds level .  are we having playlist on above sir  ,  i mean we can go with your flow only but in case hr or some cpmpany requirement forces us we should return to your portal and study same , why to go other places , for all things if its dataengineering scala or pyspark or even data science we should come to you.",True
@vicsteiner,2021-06-18T06:37:53Z,4,"Hey Krish, thanks for the video man. I was thinking on the issue of model degrading and I have a different point of view. I would not say that the model degrades but rather that the characteristics of the data used to train the model and the characteristic if the data the trained model receives as input later are more and more dispar even though the model still the same. Maybe it is just the way to say it but to me is not that the model degrades but more that data changes. That's why data monitoring is so important if we monitor basic statistics on our training data and continuously compare it to the data coming as input into our model the higher the differences between these statistics the higher the chance the model will work less properly. These can be used for build automated retraining triggers for example.",True
@hassansherwani6407,2021-06-10T09:23:24Z,2,Thanks for such an informative video. I would like to know where does QA comes into play in MLOps? Testing a software vs testing an ML project is very different. Would anyone comment on this?,True
@poolwarrior1876,2021-06-02T18:18:39Z,0,"I'm currently working in devops, I want to switch In machinelearning jobs. In machinelearning is there any use of devops?",True
@sivaprakasht7298,2021-05-29T17:22:41Z,12,CD means Continuous deployment but not development...,True
@JohnMusicbr,2021-05-19T13:23:25Z,0,Great explanation. Thank you.,True
@avinashbaburavi,2021-04-18T14:58:23Z,0,"Thanks for these differences, very informative 👌🏻👌🏻👌🏻 How and where can one start learning if interested to move towards MLops? Could you please let me know? Thanks",True
@Fin-Tuber,2021-03-23T11:12:37Z,0,Pls let me know how these pipe lines are created need to be detailed on but at high level .,True
@Ugyenp13,2021-03-23T06:52:46Z,4,"Thanks for the detailed explanation sir. your videos are really helpful for career guidance. Since B.Tech Data Science is a new programme, many of the students are confused about what to learn . it would be great if you could make a a video on the career guidelines for B.Tech Data Science",True
@rustombhesania7265,2021-03-22T22:00:09Z,0,Sir is the ci+cd + retraining in mlops is also called data flywheel?,True
@hrithikrana840,2021-03-22T13:26:24Z,0,Thanks 🙏🏻,True
@MrSivasubash,2021-03-22T13:25:01Z,1,"Hi, how to switch from devops to mlops??",True
@dadoll1660,2021-03-22T03:08:09Z,0,"I just love this guy. Sir Krish just a quick question, does Model Governance also a part of MLOps?",True
@sukantb1980,2021-03-21T17:53:57Z,3,Hi Krish...enrolled in your ML & DL learning course starting 10th Apr ...just awaiting to get all started ...,True
@akarkabkarim,2021-03-21T14:23:38Z,1,thank you sir krish,True
@rimanshumangal3517,2021-03-21T14:16:58Z,2,"Hello Sir, just to correct you CICD means continuous integration continuous deployment. You said continuous development.",True
@AbhishekMishra-fr7po,2021-03-21T12:15:23Z,1,very detailed explanation,True
@thudimillasaiprasad3983,2021-03-21T10:55:38Z,1,i had learn new things Krish.,True
@yogeshkhandelwal5869,2021-03-21T10:53:01Z,1,Nice video. I think there should be one more step before EDA i.e. Data Collection from various sources.  Please advise.,True
@sawankumar2088,2021-03-21T10:17:11Z,0,Could you please explain this with any live example?,True
@parthagarwal4592,2021-03-21T09:55:29Z,1,cleared a lot. I hope you'd make a video on CircleCI,True
@evarun4175,2021-03-21T09:37:11Z,2,"Hi krish, if someone is practicing devops and want to get into MLops, what should be their approach to achieve this? Also this cicd implementation is also being handled by developers itself in many cases and is being part of job requirement as well. So, getting into these specific roles will be helpful to have good career growth?",True
@rishisingh5581,2021-03-21T09:06:01Z,1,Sir when Devops course will launch?,True
@nareshkatturi3384,2021-03-21T08:33:24Z,3,Not understand pls explain it again,True
@brahmaiahchowdarym1913,2021-03-21T08:25:23Z,29,Thanks for detailed explanation. Now a days two popular terms are AIOps and Cloudops. Can explain AIOps and Cloudops as well.,True
@harshgupta-vn1tl,2021-03-21T08:10:00Z,2,"Hi Krish, i am very interested in iNeuron course but couldn't find the total time it will take to complete this course. So What is the total duration for this course??",True
@emmanuelomosaku8891,2021-03-21T08:04:27Z,4,Thank you for your consistency sir. I have learned so much from you. Keep up the good work sir👍,True
@shrutijain1628,2021-03-21T07:59:03Z,6,Hello sir Just enrolled in ml and dl master course of ineuron and super excited 💯🙌,True
