author,updated_at,like_count,text,public
@bjmaynard01,2024-03-16T22:22:48Z,0,"Hey, not sure if you get these, but I would love for you to breakdown how to read documentation",True
@SoSo11,2024-02-21T10:07:31Z,0,Straight forward and well explained Amazing video 👍👍,True
@trikkee,2023-11-02T11:19:26Z,0,Thank you !,True
@sayanghosh6996,2023-10-08T08:41:22Z,0,6:15 that is split ext not split text. What happens when you memorize without understanding.,True
@GeorgeFoxRules,2023-09-03T16:55:21Z,0,You are very good teacher by the way,True
@EduardoAndreePS,2023-08-04T02:18:48Z,0,"All your videos are amazing, thank you for making content like this!",True
@braveltd,2023-05-27T19:15:00Z,0,Python 2 is too much for me.,True
@fungifaucet3657,2023-02-23T13:44:42Z,0,at 10:04 How is he doing this (selecting multiple things at once and editing them) Thanks!,True
@user-qn5by5iv7u,2023-02-19T08:40:45Z,0,2023,True
@James-xo4hz,2022-09-24T21:13:52Z,0,"Hi, thanks for your excellent video, but it gives me an error of 'PIL.Image' no attribute 'open', someone helo!! my code: from PIL import Image fp = Image.open(""bin.png"") fp.show()  error msg: Traceback (most recent call last):   File ""g:\myprogram\python\GUI\ToDoList\tempCodeRunnerFile.py"", line 1, in <module>     from PIL import Image   File ""C:\Users\11957\AppData\Local\Programs\Python\Python39\lib\site-packages\PIL\Image.py"", line 36, in <module>     import tempfile   File ""C:\Users\11957\AppData\Local\Programs\Python\Python39\lib\tempfile.py"", line 45, in <module>     from random import Random as _Random   File ""g:\myprogram\python\GUI\ToDoList\random.py"", line 84, in <module>     fp = Image.open(""bin.png"") AttributeError: partially initialized module 'PIL.Image' has no attribute 'open' (most likely due to a circular import)",True
@asmadja51,2022-09-09T11:37:18Z,0,you have the blood of a genius! thank you man!,True
@michaelmoore7568,2022-07-24T20:51:37Z,0,good sir.  Your videos are a gift from god,True
@BarziniNwa,2022-06-23T17:24:19Z,0,8:23 you had a chance to make a joke about the spartans,True
@durjaysaha5047,2022-06-09T20:04:01Z,0,"Thanks a Lot, Bro.",True
@lydiafritz5674,2022-04-21T01:41:18Z,0,Oh - and packed with terrific information.,True
@lydiafritz5674,2022-04-21T01:40:57Z,2,Excellent.  Your pacing is terrific - direct and to the point.,True
@edchelstephens,2022-03-10T02:02:04Z,0,Excellent tutorial! Thanks Corey!🙏,True
@Polydipsic21,2022-02-26T16:32:23Z,5,"Corey not only knows how to make python tutorials fun to watch, he also singles out all the best tools a python programmer ever needs. I'm proud to live in an era in which I can watch guys like him. Good job bro. <p> &#9771; </p>",True
@YeekyYeeky,2022-02-05T00:57:46Z,0,"when I want to find some good knowledge about some python topic , the first thing i do is to find if Corey has it in his channel . so good",True
@iamgroot1328,2022-01-25T18:49:32Z,1,I want to know how to open images which are in different directories  C// dell /users like that it didn't work for me,True
@quirix6980,2022-01-24T12:04:28Z,0,whats the IDLE?,True
@bolusaniakhil307,2021-12-01T13:56:38Z,0,Would you please tell that where you running the code is it on jupyter notebook or any other,True
,2021-09-17T04:31:03Z,0,how clear is it!,True
@hailyslone7817,2021-09-09T17:38:18Z,0,Do you know why an image would have missing pixels when using PIL? and how I could fix this? thanks!!,True
@scorpy1971,2021-08-30T12:24:13Z,0,Fantastic. Crisp. Clear. Precise. Thank you!!,True
@gokulhbk,2021-08-17T07:19:51Z,0,How can I use PIL to create multiple PNG images as combinations of PNG images from a holder. You can imagine it as simple as a random avatar generator ( Face+Hat+Clothing+Shades),True
@abrahamofek4485,2021-08-09T18:16:42Z,0,"Very very helpful, thank you very much !!!",True
@ashrafulatik8978,2021-07-01T15:35:13Z,0,"Hi. Thanks for sharing. Do you prefer Autoretouch, an AI-powered image editing tool to automate ghost mannequins, clipping path, background removal, etc. image editing process? I found it super cool and easy to operate. Need your opinion regarding this.",True
@jonathanarias2729,2021-06-28T22:36:49Z,0,great! a great image editor!,True
@rahulrajendrasaw,2021-06-11T15:37:28Z,0,5:51 how did you add hashtag or comment automatically,True
@rahulrajendrasaw,2021-06-11T15:35:39Z,0,We can also use ffmpeg for this,True
@pythonicd1239,2021-06-07T03:21:13Z,0,Amazing tutorial! but I tried to change the size of an image ( image1.thumbnail(size_300).save('Resized_Image.png') ) it said that none type object has no attribute save,True
