author,updated_at,like_count,text,public
@CE-vd2px,2023-01-13T02:07:53Z,1,Big brain idea,True
@_zantetsuken_,2023-01-06T01:15:14Z,1,Bro your faces are just 😂😂😂,True
@michaeldavidson5729,2022-10-06T12:59:59Z,1,This is awesome !!,True
@Esmeralda-ut1br,2022-10-01T18:02:19Z,1,"The title will ""the papaya master viz""",True
@Esmeralda-ut1br,2022-10-01T18:01:41Z,1,"It's a good idea 😂 i find it interesting, to see the jobs posting and make a viz. 😏",True
@toluabbass283,2022-10-01T13:55:20Z,1,Love this !!,True
@ballinspalding11,2022-09-30T11:11:23Z,1,This is going to be FUN to watch,True
@thisisalphaomega,2022-09-29T16:28:13Z,3,Give us the dataset so that we can do a little bit of cleansing 😊,True
@theukulelegod,2022-09-28T16:12:43Z,2,DUDE! I got to get in this next one!!!,True
@rishubhgupta1424,2022-09-28T16:08:03Z,1,Oooooooh yes!,True
@jakewhitworth3116,2022-09-27T22:04:25Z,1,hahaha this is so sick,True
@gregoryg8902,2022-09-27T20:56:30Z,1,🔥,True
@harshitsati,2022-09-27T19:52:54Z,8,Hunger games but data science edition 😂,True
@esosaorumwese,2022-09-27T19:50:42Z,10,Can't wait to see this🔥🔥🤣,True
@averysmith,2022-09-27T18:41:39Z,2,Shashank cheated 😡,True
@LukeBarousse,2022-09-27T17:44:14Z,4,Let’s gooooo!!! 🤓📊,True
@ubayyd,2022-09-27T17:31:28Z,2,Love this lol,True
