author,updated_at,like_count,text,public
@naiwife,2024-03-28T21:32:52Z,0,thanks so much you explained this so easily now i can finally understand it🥰,True
@MC_EDICLEV,2024-01-17T09:07:25Z,0,I still do understand,True
@MrILIVEWITHMUSIC,2023-11-09T06:25:00Z,0,"I'm confused why F is 15, I thought it was (0,1,2,3,4,5,6,7,8,9) which is 10 digits and then you start counting from letters (A,B,C,D,E,F) which is 6 letters. Are you skipping the 0 in the digits, and if so why?",True
@sieglindegeruldis5841,2023-11-02T17:23:32Z,0,Nice❤❤❤❤❤❤❤❤,True
@JanLaalaa,2023-10-26T07:34:53Z,0,Brilliant,True
@daybyday6263,2023-10-20T20:43:54Z,0,"Wow I’m homeschooling my 7th grader,  was looking for something to help me understand this stuff this video did help lol . But I read the comments and most of them are from college students!",True
@Hammadisteachingchemistry,2023-09-04T15:11:29Z,0,Consive and effective lecture,True
@NK-hs7io,2023-08-18T21:15:08Z,0,Thank you so much!,True
@BradCorrupts,2023-06-28T15:58:29Z,0,"Yeah, I'm not going to use a tutorial from some mac bitch. Pass.",True
@vikaswakde,2023-05-23T08:05:58Z,1,Very Easy Thanks,True
@stranger3131,2022-10-27T19:04:44Z,2,My amateurfessor couldn't explain this to save his life. He's a dumbass.,True
@micah2936,2022-10-26T15:47:27Z,0,What about going backwards? I have an 8 bit address where the first bit is just read/write and the last 7 bits are the actual address  I use a converter online to get hex>binary and then remove the first bit (2^0) then use those 7 bits to convert back to hex.  But I want to understand. I can get binary>decimal and hex>decimal But how do you easily figure out Decimal>binary and decimal>hex Or skip the middle man and just do Binary>hex and vise versa?,True
@audiomac,2022-09-15T18:44:49Z,5,"This is a very difficult thing for me to understand. However, after watching the video and rewatching certain parts a few times, I believe I understand it. Thank you so much for your simple explanation!",True
@Kitto1,2022-09-10T20:59:04Z,0,I know its an ancient video but it helped a lot,True
@marklord7614,2022-08-07T03:51:03Z,2,Videos like this make watching youtube better than attending class.  It doesn't get any clearer than this.  Excellent!,True
@zeyadbelal9901,2022-07-21T14:19:47Z,0,thank you !,True
@koki10190,2022-07-04T00:02:44Z,0,wtf thank u dude this made me understand so much,True
@maaahakalgupta4317,2022-06-29T21:52:56Z,0,#,True
@jimmycheong7970,2022-06-26T19:39:16Z,0,This was so fricking well explained. Thank you.,True
@kristoff_t2013,2022-06-21T21:27:36Z,0,"Hi! I'm a 13 years old programmer. Sorry for my bad english, but I'm my own teacher, and I learn english, programming and math. I made a program in C++ 11,  that can convert a number from a base 1-20 number system to an another base 1-20 number system. I'm currently developing this program, and I have done a lot since then. So it's also like 100x time faster when I'm converting from the decimal system to another, added the Mayan vigezimal number system, etc.  Before you watch my video, I want you to read the next things! In the video, NS means number system Sorry for not even trying to edit the video, but I made it just for myself, so I guess you can understand.  Here is the link: https://www.youtube.com/watch?v=SYSZqaqc9cU I hope you will like the program, and the timestamps will help you navigate.",True
@andresbarrero157,2022-05-14T17:06:18Z,0,After this video I finally undestood binary and hexadecimal. Thank you so much Corey Schafer!,True
@AhmedAlaa-um8co,2022-05-14T11:14:30Z,0,"Thank you so much , you made this easy for me and managed to make me understand the whole image",True
@user-ls8pd1pz3h,2022-05-08T22:21:28Z,0,Im not even in college,True
@rennathathomas7055,2022-05-08T20:32:27Z,0,Thank You!,True
@nbachillzone8725,2022-05-07T05:13:26Z,0,Holy Shit i get it now thank you man!!!,True
@grindhard4312,2022-03-31T17:09:38Z,0,Im confused,True
@med3060,2022-03-12T22:35:50Z,0,thank you so much bro lucid explanation !!,True
@agermoune,2022-03-12T13:05:27Z,0,"Wow - this was recorded 7 years ago, and glad to find it today to help me finally grasp this programming concept. Thx For taking time to explain hard and make it easy!",True
@deedewald1707,2022-03-09T00:12:48Z,0,Excellent examples !,True
@user-ng2rb5ob9z,2022-03-04T09:36:03Z,1,very helpful thank you,True
@5leu,2022-02-22T17:38:25Z,0,01001000 01001001,True
@vipulvibhuti8818,2022-02-20T14:41:54Z,1,Thank you soo much. It was driving me crazy and you explained it so simply.,True
@robertcrier3551,2022-02-18T07:45:51Z,1,"Thank you master Corey for teaching me 'The art of base-16' for I have yet to make it to second base. ""Badum tss"". bad joke, but seriously though, thank you.",True
@MrManOverThere,2022-01-28T08:01:09Z,0,I could use without the diction lapses.. very confusing,True
@malusmundus-9605,2022-01-05T01:58:08Z,0,I LOVE YOU.  BEST EXPLANATION EVER. I can even convert seximal easy now!,True
@ralfosha_x,2021-12-20T20:57:01Z,1,Coming back to see people searching; gives more credence to the hope in the future,True
@gheithothman4789,2021-11-07T20:38:25Z,1,thanks,True
@bellboy666,2021-09-13T20:37:16Z,2,Thanks man,True
@matugan,2021-09-08T11:31:18Z,2,"Thank you! Keep up the quality content! You saved me, I got exam on this tmr 🤣",True
@mattz3699,2021-09-06T17:00:36Z,0,"Nugga come here just to bash on their professors, stfu and just learn and go. We understand that's why we here you are not special",True
@cxndy_nguyxn,2021-09-01T21:18:38Z,1,3 hour théories just to understand this in 10 mins🥲 I’m gonna go unalive myself real quick<3,True
@rogueywoguey,2021-08-24T19:31:42Z,0,quality video. Would watch again 10/10 NGL,True
@alphapif,2021-07-16T16:08:25Z,1,"finally, after 10 min video figured it out. thank you so much",True
@bon5100,2021-07-10T02:31:38Z,1,My teacher took 1 hour to explain it I still did not understand the next day my teacher taught did the same I still did not understand and I came Here and learned it in 10 minutes and I have no questions,True
@sinabeyraghdar6292,2021-06-17T09:40:19Z,1,I’m a web developer and now I can feel the colors. Thanks!,True
@xd_hamza_bx5648,2021-06-10T16:00:58Z,1,"you should be a teacher . it's very complicated and i really have been struggling with it alot, but the way you explain it made me understand it very well. I really appreciate it i needed it for my study :)",True
@laylaplays1331,2021-05-23T20:13:18Z,0,I basically understood nothing😭,True
@careditor,2021-05-12T01:32:33Z,1,"Please, please, please, let me understand this for my future...Yes I understood most of it but I need more work. Thanks a ton....",True
@Darth_Lime,2021-05-04T02:03:16Z,0,3D132 wuzzup. IYKYK,True
@tymothylim6550,2021-04-28T08:00:15Z,1,Thank you very much for this video! It was very clear and helpful for me :),True
@forvikramsharma,2021-04-25T17:11:40Z,1,Great Work Corey. Many thanks for this video.,True
@YUNGSTERGAMING,2021-04-12T13:08:00Z,1,better explained than any professor i've had,True
@Alex-eq7uh,2021-03-30T02:50:16Z,1,"Sir, your explanation is the best I have seen, thank you so much for this great content, you are straight to the point, no waste of time, no hesitation, absolutely loved it, looking forward to see more of you!",True
@bruces3575,2021-03-15T17:45:20Z,1,"Excellent explanation Corey, thank you so much.",True
@cynikal5744,2021-03-06T16:14:48Z,1,anyone else did (8 + 2 = 10) + (4 + 1 = 5)  = 15 for 1111,True
@courtneybriska2213,2021-03-01T21:40:34Z,0,Thank God for Youtube!,True
