author,updated_at,like_count,text,public
@Medo17901,2023-08-23T18:07:37Z,1,Hey i was wondering how i install my rasberry pi into the build?,True
@cu1549,2020-07-30T07:40:59Z,0,Pretty late but where are the specific names of the products you used as the components?,True
@pop-cornfuelsllc7924,2020-03-09T02:21:55Z,0,Couldn't find the Bread Board for Raspberry Pi. Can you post a link?,True
@ItsMarcelRL,2019-12-18T00:29:03Z,0,When will you do one with the rasberry ip,True
@waryazkhan7125,2019-08-28T20:28:39Z,0,thanks for the series really was in search of such content please extend it to the point where we can actually retrieve data from the camera boarded on the quadcopter. stayblessed✌😊,True
@user-jm7ir5qn1y,2019-01-31T07:29:46Z,0,Can I get source code??,True
@jyotiradityadeka2905,2018-12-08T14:44:00Z,1,where is the raspberry pi,True
@deekshithgundmi7017,2018-09-28T13:55:45Z,0,Is it possible to sponsor any parts....?,True
@elC0mpa,2018-08-23T03:40:38Z,0,"Hello friend, your video is very good. I want to ask you a question about ESCs. Could I dispense with the flight control card and use Raspberry Pi instead, what do you recommend about this? Thanks again",True
@bhgamer1014,2018-07-24T20:39:55Z,0,Can I use a PlayStation controller for the controls,True
@pg86131314,2018-06-03T22:26:02Z,0,You should build your own frames out carbon fiber sheets. Little expensive but strong and light weight. Why did u choose raspberry pi over an adruino ?,True
@alexanderweinhart4896,2018-04-23T00:42:24Z,0,I have that same iPod... mayday,True
@joshuabrooks2357,2018-02-06T04:07:44Z,1,Could you use a PS4 controller or something similar for a transmitter?,True
@douglasfrior6428,2017-05-22T12:43:17Z,0,i wish when people do videos that they make sure that you can understand what they say. when you talk about the transmitter you start ok and then you suddenly speed up talking and i cant understand what you saying. why do peope do this?,True
@raviraaja1282,2017-01-08T07:59:52Z,4,when can i expect video from you regarding the interfacing of pi and controllers ?,True
@odinpaxton2408,2016-12-08T19:32:39Z,0,is this video up to date or is there anything else thats importnant now?,True
@eduardmedla4243,2016-10-29T10:32:46Z,0,How calls the rapsberry pi module?,True
@LakmalHckz,2016-07-26T11:08:06Z,0,your very cool :),True
@ChleceNealCAL,2016-07-21T03:31:52Z,12,I was looking through the tutorial and didn't see where you use the raspberry pi,True
@STEVENopticus,2016-07-20T12:52:12Z,0,what happends if I put a 5000 mAh battery instead of 2200 mha battery?,True
@ApplySkills,2016-03-28T09:43:39Z,0,great m8,True
@HerbsUniverse,2016-03-26T14:36:07Z,2,do a video on puncturing a lyico battery,True
@rolandschoeneman1891,2016-03-10T05:02:40Z,0,Could you please link some good transmitters?,True
@Bishonen88,2016-03-09T18:07:58Z,0,Any thoughts on building something higher quality that could potentially compete with a DJI? Or do you think that something like that would not be cost effective?,True
@BiggFanDDD,2016-03-09T05:41:51Z,0,why not use an arduino or other microprocessor board for the control of the quadcopter?,True
@michalbogdziewicz,2016-03-08T23:13:23Z,0,"I found this kit, because amazon does not ship to Poland. Can you look: http://www.aliexpress.com/item/RC-Carbon-Fiber-Mini-250-C250-Quadcopter-brushless-emax-Motor-12A-Esc-Flight-Control-with-5030/32409316024.html",True
@leberkassemmel,2016-03-08T18:15:08Z,1,"Mine was pretty Cheap when it comes to the parts I used. A Raspberry Pi Zero as Controller, Wifi hotspot (with a small wifi stick) as receiver, and a Powerbank for power. And it was better than I expected.",True
@TheHamza300,2016-03-08T17:38:32Z,0,How much did the total cost come to?(including extra parts/customisable parts),True
@appiecoolop7201,2016-03-08T16:30:22Z,0,its a real nice project it would bey nice if this serie is done you gone sow how to make a rc car its just would bey fun to learn program and make a rc car at once if you know what i mean  p.s your awoesme :),True
@RajaseelanGaneswaran,2016-03-08T16:00:57Z,1,"I was planning to get a prebuilt fpv, but you've inspired me to start simple with this kind of build :)",True
@MCGameriSrbija,2016-03-08T15:20:19Z,1,frstttttttttttt! i am first and you are best xD!!!!,True
