author,updated_at,like_count,text,public
@fazrikurniawan9643,2024-05-31T07:13:12Z,0,on death's door ,True
@asgard5522,2024-05-24T07:34:46Z,1,On death's door lol,True
@real__memes,2024-05-23T15:59:14Z,0,"Poor Jerry man, he's not only old but doesn't get a raise as well. Feel bad for the bloke",True
@ryanstef,2024-05-18T09:38:18Z,0,"Hi Alex, thank you for these videos. How can i use the case statement as an input data? example:  Case end as Salary_increase, salary + salary_increase as New_salary  SQL is not recognizing salary_increase as a new column that i can use.",True
@areebakhan1838,2024-05-17T15:26:14Z,0,I understand everything he studied us but can't practice because I don't have data,True
@user-kq3tc5tu1c,2024-05-14T02:27:28Z,2,"I use something like a CASE Statement in Excel's Power Query A LOT.  Very powerful.  Same idea as a CASE statement in MySQL (and probably MSSQLSVR, PostreSQL, etc.)  Another ""Thumbs Up"" lesson in my opinion.  Glad to have this treasure trove of knowledge to fall back on if I get stuck going down a MySQL rabbit hole (Read in your best ""Elmer Fudd"" voice - Got to love those rascally rabbits...😁)",True
@rahullshharma3800,2024-04-07T08:04:00Z,0,Where can I find this dataset?,True
@Pragya3421,2024-04-06T04:23:48Z,0,"In case of finance, Isn't it the salary should be as per 5 or 7 %  as per the bracket and Bonus should be 10%? Bcoz bonus is one time only.",True
@LibyaMicro,2024-02-23T10:54:37Z,0,"Question: What distinguishes MySQL from Firebird, and does it have strengths over other databases?",True
@AliAli-li4ys,2024-02-20T08:32:49Z,0,Alex can you please provide a discount code for your website? Can you also suggest/recommend what course should I begin with. Please respond 😇  I don’t mean to spam your comment section. Just hoping to grab your attention.,True
@marabunta1980,2024-02-18T02:33:38Z,0,"Hello Alex, I have about 15 years of software engineering experience in java ecosystem. Been a hard-core programmer throughout my career.  Lately been thinking of adding any worthy skill set to boost my career.  Do you think something like a data analyst would be apt for me?",True
@DivisivelyIndivisible,2024-02-17T22:16:31Z,0,What do you think about rapidly increasing adoption of Databricks?,True
@user-zf3it3vw2e,2024-02-15T19:47:34Z,0,may I know how to download these tables?,True
@alicdngwenya5081,2024-02-15T19:34:33Z,0,"Hello Alex, your positive impact on lives is evident, and I've been following your journey. Your work is commendable. I'm eager to collaborate with you to make a difference in the lives of struggling youth who are losing hope due to unemployment, turning to substances. Together, we can bring positive change.""",True
@MinatoJunior-hl8tb,2024-02-14T18:12:45Z,0,Hello can you do a video into how to download a csv file faster into mysql. I was able to prep the csv file and create table and the datatypes for it but i ran into the problem of error code 1265,True
@collettecollettec,2024-02-13T18:40:44Z,4,"omg, i'm working on a project of my own with the exact same table title. this is great timing!",True
@megan_mackenzie,2024-02-13T17:49:11Z,5,Ron's age/birthday data isn't there 😂😂😂,True
@Seftehandle,2024-02-13T17:36:13Z,2,Loved it!,True
@Seftehandle,2024-02-13T17:35:19Z,1,"Great vid, i would use the statement of finance id as first statement and then add the 2 consequtive when end",True
@user-zf3it3vw2e,2024-02-13T14:24:37Z,0,thank you,True
@TobiDeolu,2024-02-13T14:04:50Z,0,"Hi Alex, this is so interesting and pretty fascinating. I would like to ask, which do you think is pretty simple not to get confused with when writing the ""New_Salary"" equation? Is it writing the full equation as ""Salary + (Salary * 0.05) for 5% increase or writing it as ""Salary * 1.05""",True
@rahulpattnaik4118,2024-02-13T13:19:17Z,3,"Hey Alex, your MySQL lessons are fantastic! Could you please upload them a bit faster? I have an upcoming interview and I'd love to practice more before then. Thanks so much!",True
