author,updated_at,like_count,text,public
@hardikvegad3508,2020-08-17T09:32:35Z,0,"Sir if we have hundreds of columns without the name. Then how can we name them using pandas and a for loop or lambda function because if we try to name them using names=[] it will be a very time-consuming process. The name of the columns can be col1, col2 , col3...etc.",True
@pavankumar-nr4mv,2020-08-14T17:01:26Z,0,"When will devops and full stack development will start please reply sir and also think about python full stack development like django, flask are most used in python please reply",True
@achalagarwal2901,2020-08-13T21:56:53Z,0,What exactly is the giveaway? And will this course be covering both Flask and Django from e2e?,True
@elsyfrancis4268,2020-08-13T17:38:53Z,0,"Sir, How to get chance for the giveaway?",True
@vipinsinghmod,2020-08-12T16:14:22Z,0,"i have 3 year of experience in cognos as developer , is it  possible to switch to data science as i dnt have any knowledge of codeing can i get fresher job in data science.",True
@surajsharma9992,2020-08-12T13:16:21Z,0,"Sir I want to know when u will start coaching for digital marketing, I m interested to enroll for this.",True
@chandras3948,2020-08-12T11:15:17Z,0,Hi bro me and my wife both are learning from your videos  You know what my wife was not interested in Software Eng even though she from CSE (BE) but after watching your videos she got self interest  I am from BE EEE working as an Electrical Engineer,True
@AllinOne-vd9oy,2020-08-11T13:39:43Z,0,Good initiative for the students......,True
@doddatejaswi8796,2020-08-11T13:24:56Z,0,I am interested to get - giveaway,True
@sriteja2731,2020-08-11T05:35:10Z,0,"Hi sir,  I have hands-on experience in Machine learning, can i get Internship opportunity (Internships For Women) in your company.",True
@Shashank0002,2020-08-10T21:24:58Z,0,"@krish sir , i want to ask that can i do regression on images using CNN.",True
@shreyareddy2984,2020-08-10T17:11:43Z,0,🙌🙌🙌🙌🙌,True
@rishisingh5581,2020-08-10T14:55:09Z,0,Sir when big data  course for community launch,True
@FirstNameLastName-fv4eu,2020-08-10T13:06:39Z,1,"Go to Eng. College with papa's money, dont read anything. come out and spend your own money to learn the same thing and cry for a nice salary job!!!! Ha Ha Ha :)",True
@pagadalausharani2719,2020-08-10T12:33:42Z,0,"Hi,krish ,great inspiration. i have started you-tube channelhttps://www.youtube.com/watch?v=bUupFAMk5m4&t=323sDetecting #COVID-19 from #X-Ray using #Deep Learning - PART-1 #Data Preparation| Training a #CNN",True
@sudharsanb9391,2020-08-10T12:04:24Z,0,"hey krish i am planning to buy the book ""Hands on machine learning with scikit learn and tensor flow edition 2(2019 oct)"".Is it a good book for practicing machine and deep learning",True
@abhinavkumar8926,2020-08-10T11:48:20Z,0,I'm last year student of civil engineering. Can i switch to data science. From where I start.,True
@bhagyareddy8205,2020-08-10T11:24:57Z,1,"Hello Krish, can you please share the application form for internship in ineuron",True
@anujbirani3771,2020-08-10T05:25:52Z,1,Thanks for giveaway,True
@tigerbhavesh6905,2020-08-10T03:55:07Z,0,"Should I ever go to  a ml  engineer in a big product base company, then should I get competitive programming?",True
@nitishsingh3470,2020-08-10T03:12:44Z,1,Yes Data structures and algorithms Using C and C++ is very good initiative. I am waiting it for since 4 months 😎😎,True
@batchn222,2020-08-09T20:08:58Z,0,"Is ₹3000 + gst ,the monthly fees or the full course fee for ineuron ml n dl with deployment course????",True
@shwetakumari3571,2020-08-09T19:44:22Z,1,"Sir i am very interested for DLCVNLP course, can i get chance in giveaway?",True
@Celebrating_Life_with_Neha,2020-08-09T19:09:58Z,3,"@Krish Naik .. Learning a lot from your channel and ineuron DLCVNLP classes. Thanks to both of you. I just want to highlight that not all of us get the LIVE session notification as soon as the session begins. Mostly I get it after 30-35 mins of session is already over. So, please do consider this while selecting candidates during Live sessions.",True
@nagendras9696,2020-08-09T18:24:07Z,0,"I don't know python programming, Can I enroll for the machine learning masters course ?",True
@PremKumar-ko8dv,2020-08-09T17:38:57Z,1,Thank you Sudhanshu sir and Krish Naik sir for your continuous contribution to the community.,True
@ruchi162,2020-08-09T17:36:36Z,2,Interested,True
@masudalam8042,2020-08-09T17:22:11Z,2,I completed my 12th from PCB can I became a data scientist.,True
@tanibiswas4064,2020-08-09T16:38:57Z,2,I am very much interested to have that giveaway .,True
@anubhavgupta8146,2020-08-09T15:56:42Z,7,Krish please make END TO END vedios on Vedio and Audio recognition using CNN🙏,True
