author,updated_at,like_count,text,public
@aayushjain3438,2024-04-04T19:14:49Z,0,"I have a question: when we create a S3 in order to store data, what is the size of the S3 bucket?",True
@user-yl7hr5ez8g,2024-01-24T07:26:41Z,0,"Everything made easier, crystal clear !",True
@samik_pal,2024-01-07T21:21:03Z,0,"Hey, I'm getting this error trying to upload the train.csv to s3: S3UploadFailedError: Failed to upload train.csv to bankapplication/xgboost-as-a-built-in-algo/train/train.csv: An error occurred (AccessDenied) when calling the PutObject operation: Access Denied any help will be appreciated!",True
@sujatabehera4428,2023-12-14T12:34:12Z,0,"Hello Krish, I have 6 yrs of experience in finance + Digital marketing , I got to know about AWS from prev organization and I have done the certification, could you please help me how shall I improve my resume to get a good job in AWS?",True
@jayasaichandrareddymandala5453,2023-03-19T17:57:34Z,1,"Hi Krish,  Thanks for guiding us about TrainingInput instead of s3_input.  s3_input_test = sagemaker.TrainingInput(s3_data='s3://{}/{}/test'.format(bucket_name, prefix), content_type='csv'). This is good content and it helps us with Machine Learning😀",True
@ipvikas,2022-12-13T11:50:54Z,0,"Small change required as per the latest release: s3_input_train = sagemaker.TrainingInput(s3_data='s3://{}/{}/train'.format(bucket_name, prefix), content_type='csv')",True
@shariqansari6363,2022-10-26T09:52:43Z,0,"If i am  using my own dataset  I can split X_train ,Y_train split?",True
@kalpatarusahoo6309,2022-08-09T04:40:07Z,0,"hello krish ,,I want to make a video of Rasa --models to save on Amazon Sagemaker.",True
@strongsyedaa7378,2022-05-11T09:02:12Z,0,My autopilot experiment isn't creating 😔,True
@marjan61717,2022-03-12T00:22:07Z,0,"oh my god, this video was too fast.",True
@RishiKumar-dv8ck,2021-12-12T06:16:24Z,2,ClientError: An error occurred (AccessDenied) when calling the CreateBucket operation: Access Denied I'm getting this error. Does anyone have an idea how to solve this error?,True
@tushihahahi,2021-10-20T10:30:30Z,0,Disable your ad-blocker for this channel. So much dedication for free.,True
@pdpro,2021-08-08T09:54:53Z,0,"UPDATE: s3_input sagemaker.session.s3_input has been renamed to sagemaker.inputs.TrainingInput",True
@durgeshmajeti,2021-07-14T09:02:12Z,1,Nice video. I am confused on how the data is actually imported in first place. We are downloading it from some url. But what is that url? How did data end up there? Is that another S3 instance? Can you please explain more on that urllib function and the url that you used to download the data in first place.,True
@johnnyzhao7020,2021-06-07T08:59:12Z,13,"For the latest version of Jupyter, you need to rename 'sagemaker.s3_input' to 'sagemaker.inputs.TrainingInput' and it should work.  So it becomes: s3_input_train = sagemaker.inputs.TrainingInput(s3_data='s3://{}/{}/train'.format(bucket_name, prefix), content_type='csv')",True
@vivekakaviv,2021-06-05T03:53:23Z,3,For Resolving ERROR: 'SageMaker' object has no attribute 's3_input' Use: sagemaker.inputs.TrainingInput(parameters) instead of sagemaker.s3_input(parameters),True
@hqz9380,2021-06-02T14:50:03Z,0,sir ji u cant change the region while accessing the s3 bcoz its a global service :),True
