author,updated_at,like_count,text,public
@sojibbagchi4755,2022-07-12T07:54:42Z,1,I'm a student and I have the one neurone subscription. And it was said that the live courses and the new courses will be added and we can ask for new course which will be prepared also. But now it seems the new courses which are getting introduced are need to purchase again. @krish sir need your help. Got trapped with your marketing strategy.,True
@jagadeesanp6246,2022-07-10T13:57:46Z,0,Sir is this available in one neuron platform?,True
@yasarahmedshaik6623,2022-07-09T15:42:54Z,0,"Hi sir, iam assistant professor in computer science , can i get into IT industry, if yes please provide me some suggestions in how can i get into it.",True
@KhanSameerlolkhanme,2022-07-08T23:38:36Z,1,Is it available on one neuron..?,True
@rampradeesh9216,2022-07-08T04:06:03Z,0,Is Jigsawacedmy’s data science & ML post graduate program good?…..,True
@suryabadlan7954,2022-07-06T18:50:00Z,0,Bhaiya .. Univ. Ai k upr bhi 1 video bna do.. Plzzz 🙏. Kya vo fraud to nhi h? .. Kya usme enroll kr skte h?,True
@mahendertutor8484,2022-07-06T14:17:11Z,0,hello sir please improve assignments evaluation in tech neuron sir very very very very very slowwwwwwwwwwwwwwwwwwwww,True
@koti.katipamu4237,2022-07-06T05:53:50Z,0,"Hi krish sir, right now I'm subscribing a 3 months XY institute data science course and I'm not an IT background student, I'm a fresher. I'm parallelly covering your playlists also, can you plz guide me what are the things I focussed on during course completion and after the course , plzzz guide me, bcz of non IT background I'm not having that much confidence where other IT background people have",True
@rajnimittal1398,2022-07-05T17:58:18Z,0,Can I use i3 core processor laptop for data analytics?,True
@techpedaltech1093,2022-07-05T12:50:41Z,0,Sir what about next hackathon?,True
@sumeshs2119,2022-07-05T11:27:14Z,0,Do you have offline classes in data science?,True
@SatishKumar-vl3lt,2022-07-05T09:19:48Z,0,"I tried to connect by registering , no one seems to responding. No calls no emails please  do  the needful , I want to join",True
@vipulshukla7130,2022-07-05T03:36:54Z,0,"@krish sir going to crack the IT industry, I  am data scientist so I can predict in future this startup will beat the multinational companies.",True
@chaitanyabasotra8830,2022-07-04T21:40:20Z,0,"I m a civil engineer 2015 passout..having 4 years of experience (2015-19) in this field, thn I left the job and starting preparing for government service but unfortunately i couldn't get through. Now I want to restart my career after a gap of 3 year and I also want to switch my field and get into some other field but for this I have to skillup for that plss sir suggest me courses which I do.",True
@chaitanyatabhane8120,2022-07-04T18:09:31Z,0,what will be the avg package after doing this course?,True
@convolutionalnn2582,2022-07-04T17:46:42Z,0,What are maths require for computer vision research scientist?,True
@kalimurigangadhar999,2022-07-04T16:56:43Z,0,Hi sir is  this 1 year internship is mandatory or we need to build products as internship and if intership is for 1 year then is it paid one,True
@chandreshpatidar957,2022-07-04T16:02:01Z,1,Will intership be paid or unpaid,True
@beingrishi6450,2022-07-04T15:46:45Z,0,Congratulations for 6Lakh subscribers,True
@arihantjain7049,2022-07-04T14:54:55Z,4,Will it be available on one neuron as well,True
@venuchowdhary,2022-07-04T14:17:29Z,1,When will full stack data analytics with job assistance program will start again sir.,True
@maheh360,2022-07-04T13:45:04Z,0,🤩🤩🤩❤️❤️definitely I will join,True
@nehabalhara2114,2022-07-04T13:42:00Z,0,Do we have NLP class today?,True
@at_vlogs,2022-07-04T13:41:13Z,1,Is it for working person??I mean how much time it required in week. ??,True
@totaltechg5606,2022-07-04T13:36:56Z,1,Hello sir I am Bsc.IT Student currently graduated I when buy your full stack developer course can get job me,True
@NaveenKumar-pp7cp,2022-07-04T13:35:50Z,1,"sir, please make one video on B.tech in   artificial intelligence, which field is best after AI,",True
@parikshitgurjar5545,2022-07-04T13:35:21Z,0,Great Opportunity ❤️,True
