author,updated_at,like_count,text,public
@utsavsharma9228,2023-08-03T06:58:37Z,0,I’m not getting 0 in data spread counters. Can someone explain me where I’m missing out? @sentdex?,True
@batuhanklloglu7245,2021-03-01T11:49:08Z,0,"guys i got error ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()  https://stackoverflow.com/questions/10062954/valueerror-the-truth-value-of-an-array-with-more-than-one-element-is-ambiguous to solve this i applied .all() to col; but i cant check the result with respect to the video because i use different dataset( different date values) so if anyone has the same error and after applied that can you check the results and say that this is the correct solution or not.  def buy_sell_hold(*args):     # c for c yi anlamak icin  python list comprehension arastir.     cols = [c for c in args]     requirement = 0.02     for col in cols:         if col.all() > requirement:             return 1         if col.all() < -requirement:             return -1     return 0",True
@arunjohn492,2020-11-13T03:08:47Z,1,('XOM') - is a Comapny Name !!!,True
@dikshu3101,2020-09-11T05:44:03Z,0,Every time result is Same i get 150 1 and 1-0 and showing error in pct change,True
@broy.,2020-08-27T08:46:56Z,0,"AttributeError: 'list' object has no atrribute 'values' should I delete the .tolist() from ""vals = df['{}_target'.format(ticker)].values.tolist()?",True
@lewis1435,2020-08-15T15:46:54Z,0,I’m a little confused could someone explain to me what exactly X and y are?,True
@the_top_10_things,2020-08-03T22:26:12Z,0,"When we pass 7 columns to buy_sell_hold function, how does it compare it with requirement and give output? I am confused as we are getting only one target column. Any help is appreciated!",True
@sanjivmadhavan5705,2020-07-27T06:19:05Z,0,Why should the data spread be even ideally?,True
@petersq5532,2020-07-20T21:39:18Z,0,"def buy_sell_hold(x):     for i in x:         if i > req:                     return 1                     elif i < -req:             return -1     return 0  df['{}_target'.format(ticker)] = list(map( buy_sell_hold,.... -->  --> df['{}_target'.format(ticker)] =df.apply(lambda x:  buy_sell_hold(x) , axis = 1)",True
@dakhilish,2020-07-16T14:01:16Z,2,"When I run the script, I keep hitting an SyntaxError for the line vals = df[f""{ticker}_target""].values.tolist() anyone know why?",True
@prempatil3263,2020-07-15T21:57:33Z,4,"for the line :     ""df_vals = df[[ticker for ticker in tickers]].pct_change()"" TypeError: unsupported operand type(s) for /: 'str' and 'str'  can someone please help me out",True
@yogeshdubey5142,2020-06-22T14:39:36Z,0,str_vals = [str(i) for i in vals]  why  is there an syntax error,True
@trevorhinchliffe2195,2020-06-10T08:38:44Z,0,"Hi thanks for the python videos I’m learning fast .  Do you have any tutorials on identifying trends in stock data ?  I would like to identify during backtesting if a stock is in uptrend downtrend or not in trend, I can identify when a stock drops out of trend but am struggling with how to identify entering a trend  Does this require machine learning or can it be coded ?  Any help would be greatly appreciated .",True
