author,updated_at,like_count,text,public
@statquest,2020-06-01T16:40:09Z,5,Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/,True
@rohanbarnabas533,2023-06-15T02:31:45Z,2,People like Josh make me happy that I choose a field where I need to come revisit his channel again and again to learn statistics.,True
@rahulchavan557,2022-12-29T17:37:16Z,1,hey man love from india <3,True
@rocking4joy,2022-02-26T22:27:06Z,1,Do you have a Tabla behind you? So cool.,True
@nstar0708,2022-02-05T04:40:36Z,1,"I like your videos, they are great to start a topic for me. Wondering if you have done a video on Chi sq? Can someone please put a link in reply? :) I couldn't find it!",True
@fadwa2413,2021-09-04T19:07:14Z,1,Egypt LOVES YOU,True
@sajalgarg9069,2021-08-26T08:45:26Z,1,,True
@AjayKumar-id7mb,2021-06-22T11:43:58Z,1,Thank you from India!!!!,True
@davizpoh,2021-06-09T11:59:40Z,1,from Singapore,True
@saiakhil4751,2021-04-08T17:25:08Z,4,This channel literally saved my bam!! Came to me at the right time. can't thank enough...,True
@rahadiyandewangga5141,2021-02-22T16:59:10Z,1,Finally get to see the face behind my fav channel. Double BAM 😍,True
@rubinakhatoon3423,2021-01-16T08:09:58Z,1,"Hello! StatQuest . Your song lyrics shows, how open minded you are.👍❤️",True
@swakal8868,2020-12-28T09:43:39Z,3,salute to you sir. True Guru.,True
@anshadapm1332,2020-12-03T18:43:37Z,0,More India....population matters🤭😀😅,True
@TheClearwall,2020-11-29T17:24:08Z,0,"So I commented a few weeks ago that I was using your videos on Neural Net and PCA to put together my masters class project. I wanted to report that you helped me get a 100! Thanks a ton, Josh. I'm now prepping for the final by going through this video and will be watching (again) the ones on logistic regression, lasso, EN, and others. You're a great teacher.",True
@akshayranpise7487,2020-10-07T06:48:52Z,3,"Hey josh, I love the way you explain things....A big thankyou from me....Triple bam!!!!",True
@shareefshaik9848,2020-09-02T13:23:02Z,0,17:35,True
@weidylan5356,2020-07-06T10:10:40Z,1,I appreciate your works so much. It helped alot.,True
@docjaron,2020-06-30T15:43:40Z,0,"Hi Josh. Greetings from Chile and thanks for your videos.  One thing I don’t understand, is why for calculating the p value we must take de probability of getting the value we got from the sample ( that’s ok I understand) but Also the Sum of the probabilities of the more extreme value as well.  Thanks for your time.",True
@schris3587,2020-06-28T00:39:59Z,1,Thank you josh!! Can u do videos on Econometrics？That would be amazing!,True
@ishmeetsingh5553,2020-06-22T02:51:51Z,2,One of my goals in life is now to meet you Josh. Don't know if anyone on the planet understands better stats than you. #BAM,True
@mainakray6452,2020-06-16T06:27:23Z,1,i my opinion .a teacher /guru makes your amendments strong ..teaches you how to think....ad exactly what you are doing....gr8 job.,True
@taotaotan5671,2020-06-13T03:42:22Z,0,"Thanks Josh for this great course. I was wondering what statistical tests should be used if the data is not normally distributed. Specifically, I am interested in RNA-seq differential expression analysis, in which case the read counts have a negative binomial distribution. However, t-test/ANOVA assumes normally distributed data. What will be a good way to handle this situation? Should I use log transformation? However, from what I know, log transformation does not necessarily correct the skewness of the data.   I know this question is not quite relevant to the content of this video, but it's much appreciated if you could reply.  Thank you very much.",True
@adiflorense1477,2020-06-09T07:07:19Z,1,DOUBLE BAMMM!!!,True
@magtazeum4071,2020-06-04T20:29:48Z,2,"There  should be a special place in heaven for so nice people like Josh,  and may be a VIP lounge too..Thanks for the great content",True
@thatbrowngirlnextdoor,2020-06-04T18:14:35Z,2,"Hi Josh, your videos have been really helpful for me to grasp the basics of statistics, did a binge watch of your statistics fundamentals playlist 😁 Could you please do a video on Parametric vs Non Parametric Tests?",True
@user-bz8nm6eb6g,2020-06-04T12:39:43Z,1,🌽👍👍👍👍,True
@XtremeTerror100,2020-06-02T21:41:52Z,0,Can you do a video about fixed and random effect models?,True
@holyprogrammer8335,2020-06-02T11:37:43Z,1,Happy to see u live,True
@diencai1812,2020-06-02T08:34:56Z,1,Josh BAM! You are a legend . Double BAM !  !,True
@diencai1812,2020-06-02T08:32:01Z,1,Worldwide crowd; from Australia !!!,True
@aeroumroh6007,2020-06-02T05:49:51Z,1,could you explain me about multinomial log.regression with likert scale data for credit scoring..tx From Jakarta,True
@aeroumroh6007,2020-06-02T05:47:06Z,1,Thanks a lot..,True
@nursahidassafaat6283,2020-06-01T23:10:04Z,1,BAM!!! the opening song heal my soul,True
