author,updated_at,like_count,text,public
@sureshtrichy3,2022-01-21T12:52:20Z,0,Sir what are the study materials for data science,True
@louerleseigneur4532,2021-08-01T02:12:16Z,0,Thanks Krish,True
@Monica-hb7io,2021-02-02T12:43:55Z,0,"I am not sure if you will see this, but if we join the membership can you make videos explaining on what we ask?",True
@ThwcontentPaige,2020-11-01T07:02:30Z,0,Hi @Krish Can you please make a video on Semi-supervised learning?,True
@dhuhadler789,2020-04-07T14:48:55Z,0,Thank you   But i want the reference of your lesson because i want to write project about machine learning,True
@souvikmukherjee6979,2020-02-05T20:46:29Z,1,"Hello Krish, can you please upload the slides, from where you are teaching..because it's not possible to write each and every point from the slide. It's very time consuming",True
@kirankumarbalusu4517,2019-11-28T13:23:34Z,0,"Hi Krish, I loved it very much. Can you plz share the document?",True
@dipankarrahuldey6249,2019-11-06T20:09:11Z,0,Thank you,True
@rajivsarkar277,2019-10-17T10:38:00Z,3,"Hi Krish , Started going through the playlist but few videos which are in shown as private videos. Are those required???or without that i can proceed with the playlist.",True
@naveennaveen-mb6mc,2019-09-22T06:00:13Z,0,Krishna brother your explanation is good... I'm stated preparation on AI... I'm 2014 B.E EEE Passed out...  I'm interested on AI... Your the my AI Teacher....,True
@varungupta2727,2019-08-25T13:41:00Z,2,Sir please tell me what are the prerequisite of this course,True
@tinumathews,2019-04-28T08:40:10Z,3,Krish I liked this. Neat... very neat description.,True
@houdamoudrik5147,2018-07-29T15:38:50Z,2,"thank you so much is the best tuto for machine Learning, that i have seen. Good Luckk",True
@neerajshukla927,2018-04-24T16:53:54Z,3,Can't you be louder.. you are really good but pitch your voice,True
