author,updated_at,like_count,text,public
@bharat_buzz,2024-03-28T19:44:58Z,0,conda command not working,True
@jothsna195,2024-03-26T01:02:13Z,0,"Hi Krish, your videos are really easy to understand. I have a doubt about openai migration in widnows. Can you please make a video about that",True
@arjun_1989,2024-03-25T12:14:44Z,0,"Getting this message ""APIRemovedInV1Proxy"" but I can see that my API key is active. Any suggestions to solve this?",True
@niluthonte45,2024-03-11T02:31:43Z,0,Hi sir make such video for generate creative text and modifing text provided by user using api key.,True
@Ravi-sh5il,2024-01-25T05:26:08Z,0,"Heyy Krish ,I have an llm hosted at x.x.x.x or a local hot and I wish to chat with it using the open ai API rather than REST APIs how do i do that?",True
@ushapandey1538,2024-01-23T19:13:14Z,2,"U:\OpenAI>conda create -p venv python=3.9 -y 'conda' is not recognized as an internal or external command, operable program or batch file. Can you help me on this?",True
@notterboutuyer2781,2023-11-22T03:34:23Z,0,OK?,True
@sardulraajendran,2023-11-14T06:12:35Z,0,is not it paid??,True
@pulkitmehta2203,2023-11-10T10:53:07Z,1,"It's saying openai.ChatCompletion is no longer supported in openai>1.0.0. Please help, thanks.",True
@AshnaImtiyaz,2023-10-11T10:15:55Z,0,please make more videos about openai api,True
@spacespectale,2023-10-09T13:17:46Z,0,"The error i am getting :  RateLimitError: You exceeded your current quota, please check your plan and billing details.  kindly help me to resolve this issue..seems like need to pay for the service",True
@simcoder5541,2023-09-17T21:36:13Z,2,I'm a big fan and supporter. Thanks for quality content. That .env has been my hardest concept to grasp.,True
@devrajsinhrajput8041,2023-09-09T11:05:40Z,3,Right?? 😂😂😂😂😂,True
@MariadeLourdesAniesSanch-ze7hf,2023-08-30T15:29:32Z,0,I like freedom because people never every one is my body,True
@abhinayyadav9416,2023-08-21T10:10:32Z,0,PLEASE MAKE LANGCHAIN USING HUGGINGFACE,True
@avniarora1998,2023-08-16T06:24:33Z,0,Is openai api paid?,True
@user-hq3qp1ds5j,2023-08-10T20:31:54Z,0,so all of these openai model cost money? I get rate limit exceeded errors all the time,True
@user-wu5qw2qe1k,2023-08-10T10:43:55Z,0,"I am getting error on first trial only ""RateLimitError: You exceeded your current quota, please check your plan and billing details."" How to resolve this?",True
@abhishekjoshi5949,2023-07-29T10:04:44Z,0,"RateLimitError: You exceeded your current quota, please check your plan and billing details.",True
@abhishekjoshi5949,2023-07-29T09:38:08Z,0,ModuleNotFoundError: No module named 'dotenv',True
@abhishekjoshi5949,2023-07-29T08:11:17Z,1,"'conda' is not recognized as an internal or external command, operable program or batch file.",True
@osikoyaadeola2530,2023-07-23T16:51:43Z,0,Thanks as always 🎉.,True
@shwetanksingh9571,2023-07-16T12:15:19Z,0,❤,True
@mehersaik1873,2023-07-15T05:58:24Z,0,Does the text-curie model api not work with free account?,True
@611artificialintelligence,2023-07-07T04:30:46Z,0,"I was waiting for this playlist, please create all API work related python and api",True
@sharadsisodiya3853,2023-07-06T06:51:28Z,0,"sir i am using the openai first time still i am getting the error -: RateLimitError: You exceeded your current quota, please check your plan and billing details.",True
@malleswararaomaguluri6344,2023-07-04T12:26:08Z,0,"Hi krish, very interesting. Can you please make a video on our own custom data. Thanks",True
@confusedmind3843,2023-07-02T18:56:53Z,0,Sir can you advise me a thing. My seniors are telling me to use linus os. Which os distro i should use and how it will help. Which distro will most beneficial?,True
@PAVANKUMAR-vx9ty,2023-07-02T05:59:13Z,1,Nice information sir,True
@NaryVip,2023-07-02T05:04:50Z,0,Hey Krish need a video on document querying with langchain and vector DB. (store the book vector data and retrieve it any time using chroma with unique ID),True
@salmanmohammed7904,2023-07-02T04:57:48Z,0,sir why does the openapi key does not work ? does it only works for paid subscription?,True
@priyamghosh508,2023-07-01T18:16:16Z,1,"Whatever promises you guys gave us about the Ineuron platform, such as course requests and the addition of new courses every month, are not being fulfilled from your end. I am saying this because I have requested a few courses in the past 3-4 months, and they have not been released yet. What is the reason behind this? Should I give up hope for this platform?",True
@genai142Kumar,2023-07-01T16:26:33Z,3,So far this is the best video to get started on Open AI. Thank you Krish.,True
@arunavobasu2926,2023-07-01T04:29:49Z,1,sir how to identify in the documentation of openai that which apis are for chat completion or which apis are for other functionalities?,True
@cocgamingstar6990,2023-07-01T03:04:06Z,0,Finally ty sir,True
@KokkeOP,2023-06-30T20:18:52Z,2,2 typos on title! <3,True
@rishabguggali3411,2023-06-30T18:37:01Z,0,How to solve the SSL CERTIFICATE error,True
@ameygujre7674,2023-06-30T18:29:04Z,5,"There’s been so much heat about LangChain ,if it is possible can you please cover that as well  Since there are very less resources available, a mentor like you would help the community a lot",True
@amanaman3177,2023-06-30T15:26:46Z,0,Thanks Krish for sharing this useful information.,True
@rahulyeole6411,2023-06-30T14:19:52Z,0,How to install visual studio,True
@movieworld-xu6qr,2023-06-30T14:11:44Z,1,"Hi sir, do some videos on text prompts",True
@saikoushik7026,2023-06-30T14:04:32Z,6,oh my god this is game changer in all of the projects love your content sir cant wait for the next video,True
@dheerajmishra976,2023-06-30T13:45:56Z,1,Thank you sir ❤,True
@IS--FaisalBaig,2023-06-30T13:30:31Z,0,Keep it up sir❤❤,True
@akankshm9639,2023-06-30T13:23:43Z,0,Thank you sir!,True
