author,updated_at,like_count,text,public
@saurabhgangwar7654,2020-02-06T16:58:55Z,0,"Can you please make a video on PLM technology , PLM Consultant",True
@kolukuluriaditya2284,2020-01-09T07:05:16Z,0,When u making a carrer in datascience .u should have a long term vision.,True
@kolukuluriaditya2284,2020-01-09T07:03:43Z,0,Be updated with latest things..curiosity to learn is important ..,True
@TheRollsP,2019-12-28T08:02:59Z,1,What's your vision for DS? @Krish,True
@techbenchers69,2019-12-26T13:45:58Z,1,Please give some links for the research papers regarding data science,True
@soumyaranjansethi1790,2019-12-26T10:31:48Z,1,Nice video really help me in my career thank you,True
@ashishranjanpatel4756,2019-12-26T05:13:41Z,1,Second Point is very valid.,True
@rodrigolumi,2019-12-25T19:59:19Z,1,I like your channel very much. I only suggets you speak a little bit slower. Some times you get excited and is difficult to understand you. Thank you.,True
@samiurrehman2056,2019-12-25T19:46:30Z,2,Hi...I am from Pakistan. How can i get your membership? I have tried but youtube says its not available in my country?,True
@saiduluchallagundla3831,2019-12-25T19:12:49Z,1,Nice video and motivating,True
@BiancaAguglia,2019-12-25T19:01:57Z,4,"Data scientist Chip Huyen (who has just left NVIDIA), recently tweeted this: ""The article I’d love to read: Become a machine learning expert in 200 weeks with these 10,000 easy steps."" 😁 It's a great reminder that, as you said, Data Science is not easy. It is incredibly fulfilling as a job, but it's not easy to learn, nor is it easy to stay good at it. Again, just as you mentioned, you never stop learning. Personally, I think that's one more thing to love about data science. One other main thing to love is how powerful data science can be as a tool for solving all sorts of problems (big or small). 😊",True
@nasiksami2351,2019-12-25T17:40:38Z,2,"As this field is quite new and many company have not yet migrated towards the ML and data science, what kind of skills do you suggest to keep as a backup for career and job's perspective and which will be somehow related to the data science field if i want to implement later. Thanks in advance.",True
@PoojaDesai0728,2019-12-25T17:20:59Z,2,Hello sir I am working on text analysis and I wanto improve the accuracy of the model do u hav any suggestion for dat,True
@princejayish,2019-12-25T16:48:39Z,2,"Hello sir  , I was preparing govt exam , now my age is 26 now I wanna do data science course, may I do?? 4yr completed of Engineering so may I do? Which is best institute  for placement and course ??? With minimum budget",True
@JaiSreeRam466,2019-12-25T15:58:36Z,2,I am really confused trying alot to get the job 😔,True
@praneethtt6052,2019-12-25T15:48:18Z,5,thank u for ur motivation now i dig up my laziness and uninstalled my games and gonna utilse my time in continuous learning bcs im doing the data science for the past 2 months....once again thanks...buddy,True
@SaiKiran-sd6wp,2019-12-25T15:17:45Z,1,hi krish is sas with machine learning can be preffered,True
@avinashgore5617,2019-12-25T12:49:58Z,1,What should we do have to keep in mind money or intrest. Or we do develop intrest in this area,True
@poojamankar,2019-12-25T12:28:36Z,1,Merry Christmas krish... U  always motivating to do towards our goal.. Thanks Also for a beginner's it is necessary to know deep learning,True
@ashitkamila594,2019-12-25T12:27:38Z,3,"Hii sir,,, This z Ashit.i hv done b- tech in mechanical  nw I wanna 2 switch my track as software field..4 dt many of my friends and senior suggest me lot's of course bt I can't decide.. Please kindly suggest me which course can I start 2 approaching job and long lasting.. Please reply me..I m waiting ..",True
@subhaniguddu2870,2019-12-25T12:19:58Z,2,Sir...you too plzz....plan some Meetup ? ..,True
@dr.b.srinivas5505,2019-12-25T12:09:06Z,2,Sir could you explain CNN model with code for segmentation problem. Thanking you sir.,True
@dr.b.srinivas5505,2019-12-25T12:07:23Z,1,Excellent work you are doing sir.,True
@vimalasuram8610,2019-12-25T10:04:49Z,0,Sir can you please make a video on the domains in which data scientists work ...in brief,True
@sadnanasif1056,2019-12-25T10:00:15Z,0,"Krish, is Data science and Business Analytics is the same thing?",True
@newonedum7305,2019-12-25T09:16:32Z,0,"Hi krish, I've completed dp-200 and preparig for dp-201 to learn the platform first clearly and then planning to learn ai/ml (az-100)...am i in right path? Or pls suggest me",True
@adisuns,2019-12-25T08:57:46Z,2,"Hi Krish, can you share a roadmap to become data scientist? I have seen Google doc which you had shared. But still can you help in creating plan what to learn first including python and ml and dl ...",True
@pkvlog333,2019-12-25T08:48:04Z,0,Sir actually I have masters degree in statistics and working in other domain but I want to shift towards data science. But I m confused how and where to start. Should I directly take any data science course or first go to online free tutorials to get basic idea about data science tools and tech? Please help me and answer me.,True
@souravpakhira,2019-12-25T08:39:10Z,0,Good suggestion,True
@VinitNeogi,2019-12-25T08:21:47Z,2,Please create more videos on NLP and Chatbot,True
@akhilsrinath159,2019-12-25T08:19:10Z,0,Hi krish!  Can you make a video on doing Master's in Data Science,True
@akshaybaluapuri2259,2019-12-25T07:58:26Z,0,Krish bhaiya plz guide kriye kha se kaise pdhu data science plz plz plz  akshaybaluapuri@gmail.com,True
@mdejazuddin4939,2019-12-25T07:58:21Z,1,"Hello Krish, i have completed 4.8 years as Performance tester and i have interest in DS...can i do transition into DS after this much experience?",True
@veerabmalluri800,2019-12-25T07:44:10Z,0,Good explanation...thank u...,True
@devinanda6935,2019-12-25T07:24:44Z,1,"Sir github me code upload kaise karna hai, ek video bana sakte hain kya. Thanks and great video.",True
@Oakley-The-MaineCoon,2019-12-25T07:22:12Z,2,Merry Xmas Sir.,True
@SandipKumar-yo6yw,2019-12-25T07:19:49Z,1,"I said to be already ,it's not easy to get job in data science. Becz of at least we should have 4 year experience and as well m.tech degree or Ms in data science.it make probability to getting job in data science . Data scientist they r always think about Data... Whatever we r looking around us. they all r Data, how to find out useful data from unstructure Data..",True
@milindbharankar1256,2019-12-25T07:06:48Z,1,Mastering MS-Excel is necessary for data-scientist?,True
@mks7846,2019-12-25T07:00:08Z,2,Whats the vision u r talking bout.....I don't understand the type of vision u r saying?,True
@RashmiUdupa,2019-12-25T06:41:18Z,2,Hi can you review Datatrained online course?,True
@GokulThiagarajan1,2019-12-25T06:36:52Z,4,Merry Christmas Krish,True
@ga43ga54,2019-12-25T06:33:06Z,3,Great stuff!,True
@balakrishnaprasad8928,2019-12-25T06:31:58Z,1,Krish sir how much time it will take to learn complete statistics for data science can you please answer my question,True
@akhilrapalli4118,2019-12-25T06:28:44Z,4,Great suggestion krish and merry Christmas,True
@calpoltab4681,2019-12-25T06:28:07Z,1,Of course this is common sense once you get into it start working on projects you will gain expertise.,True
@prepptspsc4476,2019-12-25T06:20:13Z,8,Could you please cover  chatboat using NLP,True
@prepptspsc4476,2019-12-25T06:19:04Z,3,Thanks Krish.,True
@Sanatani_kattar,2019-12-25T06:17:58Z,2,Bhai hindi m kb la rhe ho wo video,True
@amoghht5655,2019-12-25T06:17:18Z,1,Hello sir,True
