author,updated_at,like_count,text,public
@in.meraki,2023-12-27T19:00:56Z,0,"Watching in Dec 28 , 2023. Sentdex never gets old.  ❤",True
@pfabiszewski,2022-12-05T17:18:40Z,1,Watching in Dec 2022,True
@leonardosoligo1959,2022-10-13T04:13:30Z,0,"2022, and im here bro, like u said, ""someone in somewhere in the future, found me"", in this time the reasons for py3 are inquestionable, i just find this video learning python, but, i liked your channel, im a brazilian begginer developer, sorry my bad english.",True
@Retrosenescent,2022-01-31T15:38:53Z,0,There's essentially no benefit to using Python 3 over 2. That's why no one uses 3.,True
@QuantumGaming423,2022-01-20T15:48:50Z,0,Can I still learn from this series or shall I look for some other video since it's 7 years old,True
@VeAndVili,2020-12-22T21:09:31Z,0,the presenter must be autistic,True
@SDNTechForum,2020-11-08T04:29:50Z,0,The Best Python channel you can find anywhere. Huge respect and I am a fan. Cannot thank you enough but I am going to share this channel with 1000+ of my linekdin connection.,True
@MegaArti2000,2020-10-21T22:44:09Z,0,Maybe not so good advise today,True
@mrxerg9845,2020-09-30T05:40:13Z,0,Thanks from 2020,True
@alterguy4327,2020-07-26T03:32:31Z,0,.,True
@spyler1565,2020-07-14T00:57:54Z,0,I love ms Paint animations!!,True
@aetukurisrinath9475,2020-04-06T12:51:13Z,0,Can someone tell me the total exact duration of this playlist ??,True
@tarunasudhakar6684,2020-02-24T13:42:55Z,0,You're a cutie - 1.,True
@siemen_subbaiah,2019-06-21T06:51:07Z,1,LOVE YOU 300TH COMMENT,True
@user-iw4bo1db7k,2019-06-10T09:14:31Z,0,you only like py2 because of nostalgia,True
@bryangarcia4153,2019-05-08T22:01:26Z,0,You didn't explain why Python 3 is the future. You just said it was.,True
@dropdatabase2569,2019-04-26T18:51:51Z,0,"I'm from the future. Python3 is supported really well now. However, sometimes, I still have to read Python2 docs and hope it'll work for Python3 as  well",True
@jodybeckers4683,2019-03-25T00:21:10Z,0,I looked you up after the code bullet video and I wanna learn python anyway in 2019 how different is python 2 and python 3 ?,True
@toffel,2019-03-21T13:58:25Z,0,"So, to sum up: there are exactly ZERO reasons to switch.",True
@gianlucavernia9444,2019-03-05T12:36:43Z,0,Are this tutorials still up to date?,True
@SonNguyen-ot9sf,2019-02-09T18:04:11Z,0,Can you insert english sub please? You speak to fast for me to understand. im Vietnamese Thank you for your lessons!,True
@runder2022,2019-01-04T23:23:31Z,0,Python 2 most stable.,True
@stuffstudio_,2018-12-02T17:26:04Z,0,looking for help. https://stackoverflow.com/questions/53286484/python27-post-requests-fails,True
@shuwu5779,2018-11-12T02:59:44Z,0,lmao he's not an Indian tutor,True
