author,updated_at,like_count,text,public
@statquest,2022-05-08T11:16:01Z,3,Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/,True
@koustubhmuktibodh4901,2024-05-30T08:46:27Z,1,Everything is temporary except 'BAM' 😀😀😀,True
@RabbitK-rf6we,2024-05-06T14:53:09Z,0,"If there are only two groups of data and we reject the null hypothesis, then we ACCEPT THE ALTERNATIVE HYPOTHESIS?",True
@nishtha-wagh-1041,2024-03-05T22:35:43Z,0,Can you explain how is failing to reject null hypothesis related to overfitting in machine learning?,True
@lokeshmadiga6215,2024-02-26T12:30:54Z,1,BAM BAM BAM,True
@viratzz,2024-02-20T13:28:50Z,0,5:09 Maybe I am feeling slow mentally today but I could not quite grasp the overfitting part. Can someone explain this?,True
@vivianmac8168,2024-02-15T00:13:17Z,0,"Can you explain why failing to reject the Null Hypothesis means that we have overfit the data? I am familiar with Machine Learning lingo, but I guess not enough to connect the dots 😆",True
@trolltoll440,2024-01-28T15:21:38Z,0,does rejecting the null hypothesis mean an automatic acceptance of the alternative hypothesis?,True
@zehramarziyacengiz6011,2023-12-07T02:23:25Z,1,BAAM !!,True
@SergeySenigov,2023-11-19T07:07:01Z,0,Hi Josh! Suppose I want to check if the real (population) mean recover time of people taking (new improved) drug D is 10 hours less compared to people taking (old) drug C. How would I formulate the H0 and H1?,True
@user-ix8mo6ui5g,2023-10-21T11:43:32Z,1,your videos are enjoying and helpful. thank you very much,True
@88NA,2023-08-05T11:24:10Z,1,00:02 it's actually raining here,True
@pillarliang,2023-08-04T12:38:58Z,0,i think this part is so boring... the youtuber was so verbose.,True
@Video_Hamster,2023-03-04T04:26:52Z,32,You guys have accompanied me all throughout my degree so I just wanted to thank you.,True
@hungariantornado,2022-11-01T12:51:55Z,0,thank you you really simplify and help me learn these difficult concepts! I want to buy a T-shirt but it looks like they’re only extra large. How do I get a medium? Or small?,True
@SergeySenigov,2022-09-10T10:45:17Z,1,"Josh, could you elaborate on the idea on 8:35 - you said «And depending on which one (of alternative hypotheses) we use in the statistical test we can end up making a different decision about the Null». I didn’t get how varying alternative hypothesis can affect rejecting/not rejecting the Null hypothesis.",True
@pandaria930,2022-07-26T05:41:15Z,0,"Come back from machine learning statquest, I still cannot understand ""Fail to reject the null hypothesis is the same thing as realizing that using two averages means that you have overfit the data."" Can you elaborate it? Thank you very much.",True
@user-uq7ri1pz2c,2022-07-03T11:18:26Z,1,your music is amazing :),True
@kowalski1111,2022-07-02T07:18:35Z,1,Quadruple BAM,True
@himeshkoli8607,2022-06-26T22:35:14Z,1,"Bam this was good explanation on hypothesis, if you dont mind will you cover A/B testing please, like its used cases and all, that will really help and strengthen this video more",True
@SS-ve1jm,2022-05-29T09:55:45Z,1,Your channel is truly amazing! Triple BAM!,True
@lorysherd1155,2022-05-14T02:21:12Z,1,"Josh,one of the best on earth.",True
@LucijaC,2022-05-02T12:36:53Z,0,Can you please explain why is rejecting a null hypothesis the same thing as realising that using two averages means that you overfit the data?,True
@viduradias4646,2022-03-23T12:05:22Z,1,Thank you!!,True
@priyasharmax,2022-03-03T15:33:00Z,1,Understood it finally!! Thankyou Josh.,True
@DataInsightsNepal,2021-12-29T06:22:35Z,1,"Its winter and its raining, too cold to go outside and watching StatQuest  Fortunate",True
@Alfa1M,2021-12-25T14:40:10Z,1,I wish you were my instructor.,True
@Anthony-zp3ii,2021-12-06T21:51:11Z,3,I really appreciate this tutorial. It’s like a saving grace for my introduction to AI course Thank you so much Josh,True
@shanggao9970,2021-11-11T04:43:18Z,3,The explanation of why we don’t accept alternative hypotheses instead just fail to reject the null is GREAT!,True
@thearunrams,2021-11-10T21:29:43Z,3,you're way better at explaining this than some profs at one of the most prestigious universities in the world. can personally confirm.,True
@kal5211,2021-10-27T02:39:34Z,1,My man.👞,True
@raccoonduck5406,2021-10-23T21:19:35Z,1,Thanks Josh you are saving my stats grade. Can't wait to go triple BAM when I have exam this Monday!,True
@akhilteja2674,2021-09-22T13:38:07Z,1,Now it's time for SHAMELESS SELF PROMOTION! LoL! You got me here! ;D,True
@bharathsf,2021-08-08T16:59:12Z,1,Your song is exactly what I am doing. Definitely a lot better than watching netflix and wasting our lives!,True
