author,updated_at,like_count,text,public
@niluparupasinghe8581,2024-02-11T06:03:58Z,0,I had to use canvas.draw() instead of canvas.show(),True
@charlvantonder5247,2024-01-27T14:32:06Z,1,"Thanks for these tutorials. Ive been battling for weeks trying to find the answer to switching frames for my menu window.  I agree, online content is limited. And have found that ChatGPT isnt that smart as it cant reason.  Thanks again, finally I can make ptogress! Will be checking the rest after I redisgned my menu.",True
@JurinoH,2023-04-26T20:09:24Z,0,"Hi sentdex, how can i change color of graph or set background graph transparent or dark mode. Thank you",True
@andrasnemeth128,2023-03-06T15:18:46Z,0,Is this code available somewhere on github or any other site?,True
@gretagraeler6781,2022-05-17T20:32:34Z,3,"On my Python version, 3.9.7, it did not like the ""NavigationToolbar2TkAgg"". Instead, it accepted ""NavigationToolbar2Tk"". Just a heads up if anyone now is having the same problem",True
@abhilashtalankar3952,2022-01-30T06:38:27Z,1,16:00 haha that was very natural,True
@alkane9671,2021-07-29T11:41:03Z,0,Great tutorial! How can I add a title and axis labels to the graph?,True
@mohamedasma8949,2021-05-24T12:18:57Z,0,hi so how can i upload a geodatabase to read it and show it and apply tools in it in my gui,True
@maximilianb.7728,2021-04-16T22:44:39Z,1,"Hey, thanks for that tutorial! I have a question: how can I delete or overwrite this canvas object? I want to plot the data from different csv files. It works for the first dataset, but the second dataset is plotted below the first one and also very ugly and without any interactive features. For the third dataset, nothings happens.",True
@jaspervandenbrande,2021-03-29T22:05:51Z,0,"I know this video is 6 years old, but here goes nothing.   Is there anyone who can tell me how I can add 2 graphs in one figure. To specify I want to be able to plot a quadratic equation, and the y=0 line to solve quadratic equations visually.  How would I add these two plots to 1 figure so they share x and y axis?",True
@cntrlengr,2021-01-27T16:21:05Z,5,"Using Python 3.9...I had to change the line ""from matplotlib.backends.backend_tkagg import (FigureCanvasTkAgg, NavigationToolbar2TkAgg)"" to ""...NavigationToolbar2Tk)"" and I needed to remove the canvas.show in the PageThree class.  But it seems to work great now!  Great tutorial!",True
@brandonmerrithew317,2020-11-30T17:04:11Z,1,"Note: To those watching this six years later, the canvas.show() function will no longer work. There is an easy fix, instead just use canvas.draw()",True
@jimmiller9386,2020-10-08T15:21:05Z,0,"Again, issues with Pack and Grid.  I have been following along, trying to modify the code for grid() and not pack() and run into this _tkinter.TclError: cannot use geometry manager pack inside .!frame.!pagethree which already has slaves managed by grid canvas = FigureCanvasTkAgg(f, self) # canvas.show() canvas.draw() canvas.get_tk_widget().grid(row=2, column=0, padx=5, pady=5)  toolbar = NavigationToolbar2Tk(canvas, self) toolbar.update() # canvas._tkcanvas.grid(row=4, column=0, padx=0, pady=0)  So back to pack() it is.    By the way, sorry for being a Jerk.  You've put SOOOOOO much work into these.  I do appreciate it.",True
@sohaibrahman6240,2020-09-23T09:27:57Z,0,"If canvas.show() gives you the compilation error, then replace it with canvas.draw()",True
@jonathanbollig666,2020-08-21T10:45:13Z,0,"canvas.show() doesn't work anymore, canvas.draw() does instead.",True
@Bruno_Felipe,2020-08-11T22:51:00Z,1,"""I can't  win today guys""  it's the sentece that I more reapet when I 'm coding.",True
@henrywang4361,2020-08-03T19:57:36Z,0,can I change the background image of the graph?,True
@forus6813,2020-07-05T05:46:30Z,0,"line 107, in __init__     canvas.show() AttributeError: 'FigureCanvasTkAgg' object has no attribute 'show'   apakah canvas.show diabaikan saja? jika diabaikan, maka program dapat berjalan",True
@forus6813,2020-07-05T05:17:54Z,0,ImportError: cannot import name 'NavigationToolbar2TkAgg' from 'matplotlib.backends.backend_tkagg' (/home/recki/.local/lib/python3.8/site-packages/matplotlib/backends/backend_tkagg.py),True
@ViralKiller,2020-05-28T12:38:54Z,0,great tutorial but always so unnecessarily long and complicated. Just need to see a simple bare bones example then set,True
@Max-lr6dk,2020-05-28T01:47:12Z,0,The graph isn't showing. Even if i use canvas.draw() and FigureCanvasTk,True
@sadfool,2020-05-05T10:55:22Z,0,"Im getting an errror  TclError: wrong # args: should be ""wm iconbitmap window ?bitmap?""",True
@ganeshkumarpatil3751,2020-05-01T22:00:08Z,0,Is this code available on any repository please,True
@SudhirSasane,2020-04-14T00:45:02Z,0,"@sentdex  I am using spyder IDE from Anaconda envirmont. I am getting following error  :-> ""  Cannot load backend 'TkAgg' which requires the 'tk' interactive framework, as 'qt5' is currently running ""  Can you please suggest me the solution. thanks in advance.",True
@johnf4275,2020-04-13T15:01:50Z,0,"I am following along in the tutorial and am wondering if this app can be made to be open ended to grab a variety of live data sets, such as Corona virus stats etc?",True
@johnf4275,2020-04-13T14:56:58Z,0,"FigureCanvas needs to be updated, has anyone found one that works?",True
@pasindusamaranayake9672,2020-04-08T05:46:28Z,2,Using any button on the toolbar gives this: AttributeError: 'FigureCanvasTkAgg' object has no attribute 'manager',True
@jnchacon,2020-03-28T19:46:01Z,1,"Hi, I'm following the video (actually the playlist) and I have the following problem: when I press save, I get this error:     master=self.canvas.manager.window, AttributeError: 'FigureCanvasTkAgg' object has no attribute 'manager'   Can you help me to solve it?",True
@vegardpig8634,2020-01-29T21:29:03Z,0,Is it possible to instead add background images and entry fields in this code? If so i don't know how and i would like to do it.,True
@khalidvlogger,2019-12-29T22:22:49Z,0,thanks for this amazing video bro,True
@natsagnyamnamkhai749,2019-12-06T12:01:40Z,0,good job,True
@alperenalperen2458,2019-12-04T19:30:30Z,0,Would you look at that! That's exactly what I need :D,True
@jhonya.zavaleta6736,2019-11-19T15:20:29Z,15,"14:55  -""Why am I failing?"" I relate to this on a spiritual level",True
@mauritsdogterom5907,2019-09-23T13:57:08Z,1,"I got the ImportError: 'Cannot load backend 'TkAgg' which requires the 'tk' interactive framework, as 'qt5' is currently running'  if I call matplotlib.use('TkAgg'). The backend TkAgg cannot be found or something. Any idea how to fix this?",True
@TheMrGuevara,2019-09-11T14:35:41Z,0,AttributeError: 'FigureCanvasTkAgg' object has no attribute 'manager' when using the Toolbar. How can we use e.g. the 'save' Button?,True
@user-jc4oi1xg1z,2019-09-08T20:22:51Z,0,AttributeError: 'FigureCanvasTkAgg' object has no attribute '_tkanvas',True
@user-jc4oi1xg1z,2019-09-08T20:13:30Z,1,Instead of show() use draw(),True
@user-jc4oi1xg1z,2019-09-08T20:12:25Z,0,AttributeError: 'FigureCanvasTkAgg' object has no attribute 'show',True
@marcoslorhan8351,2019-09-01T21:24:12Z,0,"My Graph is a pizza Style (axl pie) so i am having problems with this, can someone help?",True
@ruffnck4637,2019-07-31T21:42:26Z,2,"bro, if u ever doubt about: ""am not the best at matplotlib"" smack uself ¡",True
@pablodiaz1811,2019-07-29T19:32:01Z,0,Why this video just has +500 likes,True
@Marvin34565,2019-07-13T11:17:53Z,0,"What's the difference between get_tk_widget() and _tkcanvas at 13:30 and why do you even call up ""canvas."" twice? Seems to work for me either way, was expecting an error somewhere when trying to switch these around...",True
@gerald5028,2019-06-05T11:13:09Z,0,would you be so kind and paste the code in you describtion?,True
