author,updated_at,like_count,text,public
@mamtavenugopal841,2022-04-12T08:04:51Z,0,I am not able to make a payment for Colab Pro. I am not able to find out the reason why it is not accepting the debit card payment,True
@anjumali8454,2022-01-03T11:31:23Z,0,Hello I am from Pakistan how can I purchase this account,True
@MH-ur1jm,2021-11-11T12:56:47Z,0,what about the middle east and saudi Arabia ?,True
@yasminbanu2597,2021-10-16T07:48:54Z,0,Sir my card is not accepting while purchasing colab pro because it's a debit card. Now my question is if I use my friends credit card for subscription.. Do I get subscribed or my friend. Because I am giving her name and address in it. Pls clarify my doubt sir,True
@haripriyankac4116,2021-10-12T13:43:56Z,0,Could someone give information about payment methods..indian c/d cards are not being accepted.,True
@pujabhakta8408,2021-10-12T10:18:42Z,0,How to payment? I do not able this plz help,True
@louerleseigneur4532,2021-06-30T22:32:17Z,0,Thanks Krish,True
@mobilemm9597,2021-05-07T09:32:25Z,2,Form Thailand 🇹🇭🇹🇭🇹🇭,True
@akashdebnath3631,2021-04-28T19:19:27Z,2,I am not able to subscribe collab pro. I have tried both dabit and Visa card. Everytime i am getting error. can anyone tell me please how to subscribe ?,True
@aasiarehman3903,2021-04-18T09:38:08Z,0,Which debit card to use for subscription?,True
@santoshkumar-bz9mg,2021-04-16T17:58:32Z,3,NOT ACCEPTING Any Debit card,True
@ajithkumarpanja3714,2021-04-07T19:27:29Z,0,Ram option not available now Sir,True
@mianadnan4130,2021-04-06T12:03:45Z,1,Sir does can  Pakistani can use pro colab?,True
@arunbohare,2021-04-06T06:06:58Z,3,"Hi Krish, I am not able to subscribe colab pro as it is not accepting any card. Did you face the same issue ? any workaround for the same?",True
@saivamsydhulipala7746,2021-03-31T18:59:39Z,4,"Unable to buy the subscription, have tried using multiple browsers but no result. Is anyone else facing the same issue?",True
@jaysoni7812,2021-03-28T06:30:38Z,1,After watching this video i have bought colab pro then i have trained YOLO V4 model with custom dataset having 5 classes and 35 images and it took 8 hours to complete training on colab pro on Tesla V100-SXM2 GPU with 16GB RAM ​@Krish Naik Is it gives you same speed to you?,True
@biswajitroy-zp6lk,2021-03-27T05:49:22Z,2,krish can we cancel the subscriptions at any time,True
@kishankalariya9086,2021-03-27T00:42:53Z,1,It's better to use kaggle for student,True
@suhass6628,2021-03-26T11:48:14Z,2,Can i connect colab pro to kaggle notebook?,True
@JaiSreeRam466,2021-03-26T11:40:08Z,2,😭 750rs,True
@pranithaj5068,2021-03-26T08:19:01Z,3,Does anyone know how to use azure notebook,True
@raunakak2289,2021-03-26T08:11:14Z,2,Colab I am using from 2019 it's good sir,True
@kenrosenberg8835,2021-03-26T07:52:34Z,3,"Wow! this is amazing, Colab is very powerful!",True
@rameshwarsingh5859,2021-03-26T07:12:15Z,3,kool,True
@saravanakumarg140,2021-03-26T07:08:49Z,4,Good NEWS,True
@pranayp1950,2021-03-26T06:51:39Z,7,Thank goodness. I had a LOT of trouble training DistilBERT in collab. The noteboook used to crash due to memory overflow. Even if it didn't crash the code used to run double the time of Kaggle notebooks.,True
@yashsolanki069,2021-03-26T06:51:25Z,3,That's an amazing step taken by google. Thanks krish for making video on this.👍,True
@myyriadsolutions6798,2021-03-26T06:48:51Z,18,"Im getting my offer letter today , this is cherry on top.",True
@sarangtamrakar8723,2021-03-26T06:47:49Z,3,Thank a lot to inform..,True
@ashu-,2021-03-26T06:40:40Z,3,Nice nice nice,True
@sohamgaikwad909,2021-03-26T06:40:35Z,14,Waited for this to come to India and it's finally available!,True
@prajwalsananse6819,2021-03-26T06:39:34Z,1,IN INDIA MONEY COST??,True
@sudoupdate,2021-03-26T06:37:50Z,3,😍,True
