author,updated_at,like_count,text,public
@coreyms,2019-06-15T15:06:42Z,35,"I hope everyone finds this video helpful. The next video of the series will be posted tomorrow at the same time. The next video will cover how to create scatter plots. We will use YouTube API data to plot views/likes from trending videos. We will also learn how to use color and size to add even more information to our plots, so be sure to check that out.  I'd like to thank Brilliant for sponsoring this series. If you'd like to check them out then you can sign up with this link and get 20% off your premium subscription: https://brilliant.org/cms",True
@RegisFregene,2024-03-26T21:50:57Z,0,the thing says the code is fine but no plots are showing up,True
@arduh,2023-12-14T13:53:07Z,0,bu hayat insanazor,True
@markkennedy9767,2023-10-30T03:10:01Z,1,The lack of nonagenarian programmers is worrying.,True
@iitjee3578,2023-10-15T12:53:17Z,0,"Where's the csv file of Responder_id, Age?",True
@SoftwareEngineering226,2023-04-04T16:37:25Z,0,Data which you have used is not in the description,True
@PaoloCondo,2023-01-10T20:40:48Z,1,"Thank you again for these amazing, useful videos!",True
@bobalbania5464,2022-12-28T16:50:58Z,0,"for people who suffered with the csv file: copy the file to a text file, then use the following code to remove the ""  file_handle = open('New Text Document.txt') for line in file_handle:   line.replace('""', '')   # replace "" with '' which is empty string  after that copy the New Text Document to any CSV file you have and name it data",True
@mygrowthdiary8799,2022-11-16T08:47:46Z,0,"While I appreciate all the course and amazing level of detail in which you have explained. It would've been so much better if there was just 1 dataset that you used to show all the charts, or at least only a couple of variations.",True
@patjaproduction1119,2022-09-22T10:46:38Z,0,07:56,True
@pivotai525,2022-05-02T16:41:09Z,0,The best!!,True
@Coney_island23,2022-04-25T20:05:49Z,0,recommend,True
@richie8498,2022-03-23T22:11:11Z,0,"thank you so much, great explanation. Helped me so much!",True
@tigistmimi7888,2021-12-06T00:26:08Z,0,thank you,True
@danishday6954,2021-11-18T16:12:39Z,0,"Lifesaver video for my engr class, I was having trouble with defining bins, and this helped me understand better",True
@anvayawalgaonkar4119,2021-09-18T02:59:21Z,0,"Can I know, how to calculate the bin size of histogram?",True
@SyedMohammedOmerFarooq,2021-08-14T07:37:28Z,0,Thanks for a great lesson on histogram.,True
@Dante-ot8xg,2021-06-24T00:03:57Z,0,"I wrote the code verbatim, but no histogram showed up. It ran without issue though...  Any tips on how to do this with excel sheets saved as cvs files? Any resources I could look at?",True
@Techinfosolutionsall,2021-05-18T11:21:04Z,0,Frequency polygon Frequency polygon (Theory) and Creation of Frequency polygon https://www.youtube.com/watch?v=WuiSS0HhTm0,True
@gamerforever9137,2021-05-01T09:49:22Z,0,Who disliked this video?,True
@norayrhayruni2622,2021-04-30T07:06:51Z,0,Can anybody give me some hints on how to put text(respective year in my case) in the stacked bars of histogram. I have a series of stock's return (1900-2020).,True
@ET_History,2021-04-16T10:25:40Z,0,There are 6 dislikes. Probably 6 professors who are insecure about your lecture. :D,True
@qqiangg1,2021-04-15T16:23:49Z,0,"How do I download your csv file? Or, can you make the csv file downloadable?",True
@akshat2778,2021-04-01T14:42:49Z,0,"Hey corey, thanks for these awesome videos. But I am not able to download the data.csv file from github",True
@danielalegriasallo5551,2021-03-15T17:10:53Z,0,Is it possible to change the color of each bin  individually?,True
@pratikjanani743,2021-03-09T15:04:59Z,0,"Great Video, thanks for uploading. Quick question :- Can we define overflow and underflow bins in Python similar to Excel?",True
@wenhanzhou5826,2021-03-08T19:52:39Z,0,legend,True
@mdnahianimtiazhasan7373,2021-03-04T20:22:45Z,0,Can anyone suggest a data set on which I can apply the things I learnt in this video?,True
@testchannel4695,2021-01-17T09:38:53Z,0,"Thanks man. I was trying to understand this from Datacamp, which is PAID service... but I had to come to YouTube, which is FREE to get the explanation that I wanted. Thank you and please keep up this great work.",True
@haoliu2686,2020-12-21T16:50:27Z,0,Could you tell me how you make multiple command lines to comment (with #)?,True
@daksharya5767,2020-12-12T03:46:01Z,0,thanks ❤️,True
@henriquepousacaltram9733,2020-11-30T23:07:05Z,0,"Hello, people.  Does anyone know how to express the frequencies in terms of percentages relative to the total amount of observations in the data set?",True
@Felix-gh3sx,2020-11-19T13:31:32Z,0,Why did you create new variables of age and id?,True
@abhinav9561,2020-10-16T11:16:09Z,0,Thanks man!!,True
@lucacambursano2172,2020-10-13T14:05:14Z,0,Thank you this really helped me out,True
@JIGGAO,2020-10-08T10:28:28Z,0,how to add the number of average line?,True
@KK-wq6zw,2020-10-07T15:11:58Z,0,Love your tutorials ! Thank you!!!!!,True
@NhiVo-mk9xn,2020-10-04T19:01:44Z,0,Thank you! This helped me,True
@mahamanoumar1802,2020-09-17T01:13:25Z,0,I can't find the ID and ages data on GitHub website. any help?,True
@ahkkhans,2020-09-08T01:03:32Z,1,"Im getting error in this video   To verify i cant see code from top to bottom   Before ending video , you should show complete code of the file.... for people like us.",True
@mouleshm210,2020-07-27T08:03:32Z,0,"sir, how to input different colors for different bins in one plot of histogram? any codes? please help me?",True
@mifrahfatma3616,2020-07-21T13:06:46Z,0,Hii corey..your videos are really helpful...it makes everything so easy and makes programming fun...,True
@faycalnabaoui9550,2020-07-14T11:03:08Z,0,"hey, great video, just wanna ask you what is the diffrence between range and bins of a hist ? thank you in advance",True
@fakhriddinmakhmadiyorov7269,2020-07-12T07:41:39Z,0,only 1 person disliked:),True
@pearltextiles5681,2020-06-25T04:29:17Z,0,Great video and u teaches as simple as easy way . We can easily understand. Every topic u saws us with all options and deeply. Great work.,True
@finndevitt5117,2020-06-18T05:09:26Z,0,"sorry i have a question when i installing the package "" plt"" .  That is displayed     "" ERROR: Could not find a version that satisfies the requirement plt (from versions: none) ERROR: No matching distribution found for plt  ""    I need help :/ pls",True
@daniel_narh,2020-06-16T22:04:09Z,2,"@Corey you are the best, am gonna leave a thank you on my portfolio in your name",True
