author,updated_at,like_count,text,public
@vineetkrpandey7641,2024-04-13T09:36:24Z,0,tut-7//13/04/2024,True
@JacklinSibiyal,2024-02-18T06:36:26Z,0,Day 3 - 18/02/2024,True
@user-wt8sp2xk3n,2024-02-17T06:38:18Z,0,"how does your output look so nicely arranged with shading , mine op looks like list numbers when reading from html",True
@khushboochhabra2136,2024-01-16T11:54:46Z,0,"You skipped the part that you couldn't answer! In the second html page, there were other tables as well with ""Country"" as column names, but you tried to deviate from the explanation by quickly switching the tabs.  2. You didn't mentioned to install lxml for reading xml file. I believe such small small things are important to tell a newbie",True
@codingbeast4625,2023-12-22T09:35:16Z,1,"import pandas as pd import requests  url = 'https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/' response = requests.get(url) dfs = pd.read_html(response.content) this  code isworking at the time stamp of  9:56 sec",True
@veltechunivalumnidept2171,2023-11-01T22:21:22Z,0,Learning day by day from your videos.  Thank you so much. Learning from basics,True
@w.g.ogaming2210,2023-04-15T01:02:13Z,0,HTML is not installing... Help someone 😔,True
@adityanaik1800,2022-11-01T08:08:21Z,0,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1129)>   This type of error coming after i type.. df = pd.read_html(url),True
@sunnysolanki2460,2022-10-19T00:40:45Z,0,at 2:30 you are using pd.read_csv to read a json file,True
@curious_bird,2022-09-30T03:58:08Z,0,"Hi, You told that the next tutorial will be of mongodb but there is no mongodb tutorial.",True
@EcExplorer,2022-04-22T19:44:20Z,0,read_html does not work. Do I need something else to install as well?,True
@indirajithkv7793,2022-02-15T15:37:27Z,0,❤,True
@saumyagupta2606,2022-02-04T15:17:19Z,1,"Hello Krish after scraping the table from web, how do I save the list to csv ?",True
@chiragkapoor32,2021-12-07T12:10:27Z,4,"at 11:11 i am getting error ""No tables found""",True
@sapnilpatel1645,2021-12-04T05:36:14Z,1,"when i run this line -> df=pd.read_csv('https://archive.ics.uci.edu/ml/machine-learning-database/wine/wine.data',header=None)   i am getting the error that 404:not found. so anyone have new link for the same data?",True
@aryanrana5658,2021-10-05T11:06:31Z,1,"When i read excel file  by using pd.read_excel(file name.xlsx) ,even that file my laptop contains but  i still get the error of ""there is no such file or directory "".",True
@hometvfirestick,2021-09-04T14:29:37Z,0,thanks,True
@karansaini7855,2021-08-25T13:09:32Z,0,"when i write any website address for data,i get   <urlopen error no host given> .How to fix this",True
@praveenshenoy8064,2021-08-06T10:50:43Z,0,"i am getting error as invalid syntax while working on first Json example statement , what may be the reason..?",True
@ashishbrahmankar2143,2021-08-02T16:57:37Z,0,"I am getting below error while converting Data to json, could anyone help please ? df1=pd.read_json(Data) ValueError: Invalid file path or buffer object type: <class 'dict'>",True
@ankitgupta8797,2021-07-16T09:16:05Z,0,"if wine data is in json format,  how are you reading at as csv using read_csv ?",True
@ashutoshsharma6883,2021-07-15T17:35:56Z,0,Sir in the video you said that the wine data is in json but you are reading it with read_csv.,True
@louerleseigneur4532,2021-07-07T22:28:30Z,0,Thanks Krish,True
@imteyaz5160,2021-07-01T17:09:55Z,0,Hi sir when I practice my jupyter notebook showing  Name error: name ' pd' is not defined  Name error: name 'df' is not defined What I should do sir,True
@srikanthchandana4485,2021-06-22T15:25:42Z,0,"Hi Krish,  If there are multiple tables with same column headers(for eg: in mobile country code data, there are other tables as well, with same column headers), then how to extract that specific table. Kindly let us know!...Thanks in advance.",True
@sachinbairi6353,2021-06-15T09:52:15Z,1,"Sir, doubt !!! you said [ 2:25 ] that wine.data is in JSON format so why are you reading a JSON data using read_csv ???",True
@md.omankhan8648,2021-06-07T17:20:45Z,0,"I am soo glad that I did not skip this video, learned a lot",True
@robinfelix3879,2021-05-25T11:54:33Z,0,vera level content bro,True
@suraushareddy4454,2021-05-15T05:59:46Z,0,"Hii sir  , i have smAll doubtpython is enough   through this vedios",True
@suchitanaik6728,2021-04-21T11:11:55Z,10,"Being a fresh learner in Python, your videos are been a blessing. Once I finish all the videos, it will be easy to get through proper certification course",True
@ashwini4683,2021-04-01T09:05:29Z,0,df1 = pd.read_json(Data) is showing error ValueError: Expected object or value please help,True
@sudeeprajput1830,2021-03-17T13:42:40Z,0,Thanks brother for this informative video,True
@arrooow9019,2021-03-07T11:36:37Z,0,What a amazing video🤩🤩🤩,True
@ranaasad6132,2021-02-27T09:50:05Z,0,"Thank you,Sir Love from Pakistan",True
@rishabhtewari4357,2021-01-25T04:18:47Z,2,The way you explained  everything looks like too easy and interesting .Thanks for providing all the stuff. I am following  the same path as suggested by you .THANKS,True
