author,updated_at,like_count,text,public
@NickDoddTV,2024-02-26T14:47:53Z,0,I just got a 288GB RAM Dell R710 with dual 3.33Ghz Xeons....this is my first project on it 😅....time to run some Bloom.,True
@TylerMatthewHarris,2023-09-02T16:18:23Z,0,Where can downlOAd 1 TB RAM???,True
@zacharypump5910,2023-06-25T17:16:50Z,0,"With your prompts how important is the precise formatting of the context? For example you use two * characters wrapping each heading, does that actually make a difference. Question:   Vs *Question*",True
@gaurangsolanki2542,2023-06-18T07:05:44Z,0,"2:18, that's incorrect translations btw.",True
@robertfontaine3650,2023-04-14T21:00:55Z,0,5 milion dollar AI projects are tiny.     To compete with the billion dollar training projects we will need to establish community based open compute projects on the same scale as seti@home.,True
@microgamawave,2023-03-18T00:40:02Z,0,So you can create with it a like GPTchat bot?,True
@zilog1,2023-03-07T06:31:29Z,2,can you actually show how to download and run it locally? I actually have the compute power needed.,True
@kevinok8021,2023-02-22T08:29:49Z,0,"Bloom is not a good option, they have the right to terminate your license if they deem ur promoting hate speech, look at canada and jordan peterson",True
@HaseebHeaven,2023-02-07T18:52:15Z,0,"This Bloom AI is not that good , I asked him to implement some logic it says no output, It only give coding Questions which are on internet on GitHub or StackOverflow. Its like a search engine for Coders. Thats very unimpressive i was hoping it to solve any logic in coding.",True
@LALA-dw2ez,2023-01-28T19:35:19Z,0,Danke!,True
@arunnair7584,2023-01-28T11:44:15Z,0,How do I get to the page at https://youtu.be/3EjtHs_lXnk?t=738?  Thank you for sharing this.,True
@laisgregor5596,2023-01-28T00:54:51Z,0,"Bloom is not powerfull it is trained on messy data, it hardly recognise simple language pattern",True
@lanzer22,2023-01-20T22:28:21Z,0,I'm barely having enough memory to watch this YouTube video.,True
@gamemaster7164,2023-01-17T17:59:14Z,0,he looks a lot like the orginal character from Snowden movie,True
@AChadi-ug9pg,2022-12-28T21:16:21Z,2,"Hey sentdex, hope you're doing well. I wonder if we can fine-tune the BLOOM model using reinforcement learning (just like openAI did) for one's own task? if yes, can you make a video about that !  Thanks",True
@ScottJWaldron,2022-12-28T01:23:50Z,0,"Great job on the video!  Totally agree with as I start messing around with ChatGPT. So much versatility based on, as you called it, ""prompt engineering""!",True
@yousufleads,2022-12-26T22:09:26Z,0,is this better than openAI gpt3?,True
@JustynChaykowski,2022-12-21T22:29:39Z,2,"Holy crap. This is my first time back to this channel since I learned Python from you in like, idk, 2010?? Amazing evolution, never thought I'd be back here. Of course GPT3 is the thing that eventually brings me back ;D",True
@TheZowwee,2022-12-20T01:03:53Z,0,"If someone had to take a SHOT of whiskey every time you said, ""code"" they wouldn't just have alcohol poisoning, they would be DEAD!!! lol",True
@andu896,2022-12-13T09:45:03Z,2,I really enjoy your last dozen videos that broadly cover different AI advancements.,True
@NierAutomata2B,2022-12-07T23:05:31Z,0,Is the `from youtube import get_members` stuff real?! What package is this?,True
@jasonabc,2022-12-04T19:19:20Z,5,Not liking the direction current ML is going. These massive language models have quickly fallen into the realms of being owned by the big players and the small researcher can maybe get api access to use them. Sure there will be players that open source smaller versions of them but those models will be a magnitude or more below what open ai or google/meta will have at the time.,True
@dialecticalmonist3405,2022-12-04T05:39:29Z,44,"This is an ACTUAL ""open"" AI.  I think its disgusting that ""OpenAI"" COMPANY gave themselves the name ""open"" for marketing.",True
@dabi_,2022-12-04T02:10:46Z,2,Thank you so much for sharing this.,True
