author,updated_at,like_count,text,public
@KumR,2024-01-24T10:18:16Z,0,Beautiful .,True
@Kishor-ai,2023-08-10T06:21:48Z,0,Thanks for making this video❤,True
@johnmangino3925,2022-05-27T19:29:13Z,0,Coltrane. Nice.,True
@danieljones2152,2021-12-22T16:49:26Z,0,Does number of features equals to number of parameters? Can we say GPT-3 has 175Billion features ?,True
@youmnaification,2021-11-04T14:37:08Z,0,"I'm glad I came across your channel, while learning about ML. I can say that now I have a clear understanding about linear regression model. Other tutorials dive right into the mathematical technicality of ML.",True
@anurag17091977,2021-08-04T14:50:30Z,0,Wonderful explanation Jay. Keep it up.,True
@louerleseigneur4532,2021-06-08T01:21:08Z,0,Thanks Jay,True
@I-_-I_SB,2021-02-20T06:06:48Z,0,\-_-/,True
@dhamija80,2020-11-30T08:32:09Z,0,Amazing introduction to Predictions using AI. I was getting distracted by your bookshelf a lot :) Can you please share a screen shot of your. bookshelf too ?,True
@anishjain3663,2020-08-08T15:25:24Z,0,Yes sir please upload vedios to frequently,True
@rmunjuluri,2020-08-08T15:01:33Z,1,Excellent video Jay. Lots of content found online focuses on the technical aspects. I think videos such as these provide the context and help people think about the impacts they will have on everything around them. Please add as many such examples as possible.,True
@user-or7ji5hv8y,2020-08-05T17:11:42Z,0,"How about do videos on some articles you have already written on NLP, like the attention model.",True
@therealraad,2020-08-04T13:47:00Z,0,How about exploring areas of human activity that can totally be taken over by AI applications... implications for human development,True
@darlynvictorianobremont4737,2020-08-04T13:31:40Z,1,"Talking about the applications of AI is a great idea.  Great explanations by the way. Thanks, for sharing your knowledge !!!",True
@riis08,2020-08-04T09:38:39Z,0,"Great stuff... for next videos, why not discuss about Transformer....",True
@its_me7363,2020-08-04T07:28:51Z,5,Sir I would request you to please upload videos frequently. And it's good to see you back on YouTube 👍,True
@khaledadrani3184,2020-08-04T06:41:11Z,6,"For the next topic, I think you should keep the same direction and expand upon the use of AI in real life and business problems. Good stuff!",True
